PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-31,4,3,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25
2018-04-03,4,4,0,1,1,0,0,0,0,1,0.143,0.25,0.286,0.536
2018-04-04,4,4,0,0,0,0,0,0,0,2,0.091,0.167,0.182,0.348
2018-04-05,4,3,1,1,1,0,0,1,1,0,0.143,0.25,0.286,0.536
2018-04-06,6,5,0,1,0,0,0,0,1,1,0.158,0.273,0.263,0.536
2018-04-07,4,4,0,0,0,0,0,0,0,0,0.13,0.231,0.217,0.448
2018-04-08,6,6,1,3,0,0,1,3,0,1,0.207,0.281,0.379,0.661
2018-04-09,4,4,0,0,0,0,0,0,0,3,0.182,0.25,0.333,0.583
2018-04-10,3,3,0,1,0,0,0,0,0,1,0.194,0.256,0.333,0.59
2018-04-11,0,0,0,0,0,0,0,0,0,0,0.194,0.256,0.333,0.59
2018-04-14,3,3,1,1,1,0,0,0,0,1,0.205,0.262,0.359,0.621
2018-04-15,3,3,0,0,0,0,0,0,0,3,0.19,0.244,0.333,0.578
2018-04-17,1,1,0,0,0,0,0,0,0,1,0.186,0.239,0.326,0.565
2018-04-19,4,4,0,1,0,0,0,0,0,0,0.191,0.24,0.319,0.559
2018-04-20,3,3,0,0,0,0,0,0,0,1,0.18,0.226,0.3,0.526
2018-04-21,3,3,0,0,0,0,0,0,0,0,0.17,0.214,0.283,0.497
2018-04-22,3,3,0,0,0,0,0,0,0,1,0.161,0.203,0.268,0.471
2018-04-23,3,3,0,0,0,0,0,0,0,0,0.153,0.194,0.254,0.448
2018-04-25,4,4,1,1,1,0,0,0,0,1,0.159,0.197,0.27,0.467
2018-04-26,4,4,0,3,0,0,0,0,0,0,0.194,0.229,0.299,0.527
2018-04-27,0,0,0,0,0,0,0,0,0,0,0.194,0.229,0.299,0.527
2018-04-28,4,4,1,2,0,1,0,0,0,1,0.211,0.243,0.338,0.581
2018-04-29,4,4,1,1,0,0,0,0,0,1,0.213,0.244,0.333,0.577
2018-05-01,3,3,0,0,0,0,0,0,0,0,0.205,0.235,0.321,0.555
2018-05-02,1,0,1,0,0,0,0,0,1,0,0.205,0.244,0.321,0.564
2018-05-03,4,4,0,0,0,0,0,0,0,1,0.195,0.233,0.305,0.537
2018-05-05,5,4,0,2,1,0,0,0,1,1,0.209,0.253,0.326,0.578
2018-05-06,3,3,0,0,0,0,0,0,0,0,0.202,0.245,0.315,0.559
2018-05-08,5,4,0,1,0,0,0,1,1,0,0.204,0.253,0.312,0.564
2018-05-09,0,0,0,0,0,0,0,0,0,0,0.204,0.253,0.312,0.564
2018-05-10,2,2,0,1,0,0,0,1,0,0,0.211,0.257,0.316,0.573
2018-05-11,4,3,1,0,0,0,0,0,0,0,0.204,0.257,0.306,0.563
2018-05-12,3,3,0,0,0,0,0,0,0,0,0.198,0.25,0.297,0.547
2019-05-01,4,2,2,1,0,0,1,1,1,1,0.5,0.75,2.0,2.75
2019-06-07,5,5,1,2,1,0,0,0,0,1,0.429,0.556,1.0,1.556
2019-06-08,4,4,0,1,0,0,0,0,0,2,0.364,0.462,0.727,1.189
2019-06-09,4,3,0,0,0,0,0,0,1,0,0.286,0.412,0.571,0.983
2019-06-11,4,4,1,3,1,0,0,1,0,0,0.389,0.476,0.667,1.143
2019-06-12,5,4,1,0,0,0,0,0,1,0,0.318,0.423,0.545,0.968
2019-06-13,4,4,0,3,0,0,0,2,0,0,0.385,0.467,0.577,1.044
2019-06-14,4,4,1,1,1,0,0,0,0,0,0.367,0.441,0.567,1.008
2019-06-15,4,3,0,1,0,0,0,0,1,2,0.364,0.447,0.545,0.993
2019-06-16,5,4,0,1,0,0,0,0,1,1,0.351,0.442,0.514,0.955
2019-06-17,4,4,0,0,0,0,0,0,0,0,0.317,0.404,0.463,0.868
2019-06-18,4,3,0,0,0,0,0,0,1,0,0.295,0.392,0.432,0.824
2019-06-19,5,4,0,0,0,0,0,1,0,0,0.271,0.357,0.396,0.753
2019-06-20,4,4,0,0,0,0,0,0,0,1,0.25,0.333,0.365,0.699
2019-06-21,5,5,2,2,1,0,0,0,0,1,0.263,0.338,0.386,0.724
2019-06-22,4,4,1,1,0,0,1,2,0,2,0.262,0.333,0.426,0.76
2019-06-23,4,4,1,1,0,0,0,1,0,0,0.262,0.329,0.415,0.744
2019-06-25,4,4,0,2,0,0,0,0,0,1,0.275,0.338,0.42,0.758
2019-06-26,4,4,0,0,0,0,0,0,0,2,0.26,0.321,0.397,0.718
2019-06-28,5,4,2,3,1,0,1,4,1,0,0.286,0.349,0.468,0.816
2019-06-29,5,5,1,2,0,0,1,1,0,0,0.293,0.352,0.5,0.852
2019-06-30,4,4,0,0,0,0,0,0,0,2,0.279,0.337,0.477,0.814
2019-07-01,5,4,0,1,1,0,0,0,1,1,0.278,0.34,0.478,0.818
2019-07-02,4,4,0,0,0,0,0,0,0,3,0.266,0.327,0.457,0.784
2019-07-03,2,1,1,1,0,0,0,0,1,0,0.274,0.34,0.463,0.803
2019-07-05,4,3,0,0,0,0,0,0,0,1,0.265,0.33,0.449,0.779
2019-07-06,4,4,1,3,0,0,0,2,0,0,0.284,0.345,0.461,0.806
2019-07-07,4,4,0,0,0,0,0,0,0,0,0.274,0.333,0.443,0.777
2019-07-12,4,4,0,1,0,0,0,0,0,1,0.273,0.331,0.436,0.767
2019-07-13,3,3,1,2,0,0,0,0,0,1,0.283,0.339,0.442,0.781
2019-07-13,5,4,0,0,0,0,0,0,1,1,0.274,0.333,0.427,0.761
2019-07-14,4,4,0,1,0,0,0,1,0,2,0.273,0.331,0.421,0.752
2019-07-16,4,4,0,0,0,0,0,0,0,1,0.264,0.321,0.408,0.729
2019-07-17,4,3,1,2,0,0,0,2,0,0,0.273,0.326,0.414,0.74
2019-07-19,5,4,3,2,0,0,1,3,1,0,0.28,0.336,0.439,0.775
2019-07-20,5,5,2,4,0,1,1,1,0,0,0.299,0.351,0.489,0.84
2019-07-21,4,4,0,0,0,0,0,0,0,2,0.291,0.342,0.475,0.817
2019-07-22,4,4,1,1,0,0,0,0,0,1,0.29,0.34,0.469,0.809
2019-07-23,4,4,1,2,0,0,1,2,0,1,0.295,0.344,0.49,0.834
2019-07-24,5,5,1,2,1,0,1,1,0,1,0.299,0.345,0.513,0.858
2019-07-25,8,8,0,1,0,0,0,1,0,1,0.29,0.335,0.494,0.829
2019-07-26,5,4,1,3,1,0,0,3,0,0,0.301,0.343,0.506,0.849
2019-07-27,5,5,1,2,1,0,0,1,0,1,0.304,0.344,0.509,0.853
2019-07-28,4,3,0,0,0,0,0,0,1,0,0.299,0.342,0.5,0.842
2019-07-29,4,4,0,1,0,0,0,1,0,0,0.298,0.34,0.494,0.835
2019-07-30,5,5,1,2,2,0,0,0,0,1,0.301,0.342,0.503,0.844
2019-08-01,4,4,0,0,0,0,0,0,0,1,0.294,0.335,0.492,0.827
2019-08-02,4,3,0,2,0,0,0,0,1,0,0.3,0.343,0.495,0.838
2019-08-03,4,3,0,0,0,0,0,0,1,1,0.295,0.341,0.487,0.828
2019-08-04,4,3,1,1,0,0,0,0,1,0,0.296,0.344,0.485,0.829
2019-08-05,5,5,0,2,2,0,0,0,0,0,0.299,0.345,0.493,0.838
