PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,4,2,0,0,0,0,0,0,2,1,0.0,0.5,0.0,0.5
2018-03-30,4,4,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25
2018-03-31,3,3,0,2,1,0,0,0,0,1,0.222,0.364,0.333,0.697
2018-04-01,4,4,0,2,1,0,0,0,0,0,0.308,0.4,0.462,0.862
2018-04-03,4,4,1,1,0,0,0,0,0,0,0.294,0.368,0.412,0.78
2018-04-04,4,3,2,1,0,0,0,0,1,0,0.3,0.391,0.4,0.791
2018-04-07,6,5,1,1,0,0,1,2,1,1,0.28,0.379,0.48,0.859
2018-04-08,1,1,0,1,0,0,0,1,0,0,0.308,0.4,0.5,0.9
2018-04-09,3,3,0,2,0,0,0,0,0,0,0.345,0.424,0.517,0.942
2018-04-10,4,3,0,2,0,0,0,1,0,1,0.375,0.432,0.531,0.964
2018-04-11,4,4,1,2,0,0,1,2,0,0,0.389,0.439,0.611,1.05
2018-04-12,5,4,0,1,1,0,0,2,1,0,0.375,0.435,0.6,1.035
2018-04-13,4,4,0,0,0,0,0,0,0,0,0.341,0.4,0.545,0.946
2018-04-14,4,4,0,0,0,0,0,0,0,1,0.313,0.37,0.5,0.87
2018-04-17,3,3,0,0,0,0,0,0,0,0,0.294,0.351,0.471,0.822
2018-04-18,5,4,1,1,0,0,0,0,1,3,0.291,0.355,0.455,0.809
2018-04-19,4,4,0,1,0,0,0,0,0,1,0.288,0.348,0.441,0.789
2018-04-20,4,4,0,0,0,0,0,0,0,0,0.27,0.329,0.413,0.741
2018-04-22,5,5,0,1,0,0,0,0,0,0,0.265,0.32,0.397,0.717
2018-04-23,4,3,0,2,1,0,0,1,1,0,0.282,0.342,0.423,0.764
2018-04-24,4,4,0,1,0,0,0,0,0,0,0.28,0.337,0.413,0.751
2018-04-27,4,4,0,1,0,0,0,0,0,1,0.278,0.333,0.405,0.738
2018-04-28,4,3,1,0,0,0,0,0,1,1,0.268,0.33,0.39,0.72
2018-04-29,4,3,2,1,1,0,0,0,1,1,0.271,0.337,0.4,0.737
2018-04-30,5,3,2,1,1,0,0,1,2,0,0.273,0.35,0.409,0.759
2018-05-01,4,3,0,2,1,0,0,1,1,0,0.286,0.365,0.429,0.794
2018-05-04,5,5,1,2,0,0,0,1,0,0,0.292,0.367,0.427,0.794
2018-05-05,5,5,2,3,0,0,0,2,0,0,0.307,0.377,0.436,0.813
2018-05-07,3,3,0,2,0,0,0,0,0,1,0.317,0.385,0.442,0.827
2018-05-08,4,4,0,0,0,0,0,0,0,2,0.306,0.372,0.426,0.798
2018-05-09,4,4,0,1,0,0,0,0,0,0,0.304,0.368,0.42,0.788
2018-05-11,5,5,1,2,1,0,0,0,0,2,0.308,0.369,0.427,0.797
2018-05-12,5,4,0,1,1,0,0,0,1,0,0.306,0.37,0.43,0.8
2018-05-14,5,4,2,2,1,0,0,1,1,1,0.312,0.379,0.44,0.819
2018-05-15,4,4,0,1,0,0,0,0,0,0,0.31,0.375,0.434,0.809
2018-05-17,5,4,1,0,0,0,0,0,1,0,0.301,0.369,0.421,0.79
2018-05-18,4,3,0,1,0,0,0,0,1,0,0.301,0.373,0.419,0.792
2018-05-19,5,4,1,2,0,0,0,0,1,0,0.307,0.38,0.421,0.801
2018-05-20,5,4,1,1,0,1,0,0,1,0,0.306,0.38,0.431,0.811
2018-05-22,4,4,0,1,0,0,0,0,0,2,0.304,0.377,0.426,0.803
2018-05-23,4,3,0,1,1,0,0,1,0,0,0.305,0.374,0.43,0.805
2018-05-25,4,4,0,0,0,0,0,0,0,1,0.297,0.366,0.419,0.785
2018-05-28,5,4,1,1,0,0,0,0,0,0,0.296,0.367,0.415,0.782
2018-05-29,4,4,1,1,0,0,1,1,0,1,0.294,0.364,0.429,0.794
2018-05-30,5,4,0,2,0,0,0,2,1,1,0.299,0.37,0.431,0.802
2018-06-01,5,4,0,1,0,0,0,0,0,1,0.298,0.371,0.427,0.798
2018-06-03,4,4,2,2,0,0,1,2,0,1,0.303,0.374,0.446,0.82
2018-06-04,5,5,0,2,1,0,0,2,0,1,0.306,0.374,0.45,0.824
2018-06-05,5,5,0,1,0,0,0,1,0,1,0.303,0.37,0.443,0.813
2018-06-08,5,5,1,1,0,0,0,0,0,0,0.3,0.366,0.437,0.803
2018-06-09,5,3,1,1,1,0,0,0,2,0,0.301,0.372,0.44,0.812
2018-06-10,4,4,0,0,0,0,0,0,0,0,0.294,0.365,0.431,0.796
2018-06-11,5,5,1,2,0,0,0,0,0,0,0.297,0.366,0.431,0.796
2018-06-12,4,3,0,0,0,0,0,0,1,0,0.293,0.364,0.424,0.788
2018-06-13,5,4,2,3,1,0,0,0,1,0,0.301,0.373,0.435,0.808
2018-06-14,7,6,1,0,0,0,0,0,1,2,0.293,0.366,0.423,0.79
2018-06-15,1,1,0,0,0,0,0,0,0,0,0.292,0.365,0.421,0.786
2018-06-16,4,4,0,0,0,0,0,0,0,0,0.286,0.359,0.414,0.772
2018-06-18,4,4,1,2,1,0,0,0,0,0,0.29,0.361,0.42,0.781
2018-06-19,5,4,1,1,0,0,1,1,0,1,0.289,0.362,0.43,0.792
2018-06-21,4,3,1,1,0,0,0,1,1,0,0.29,0.364,0.429,0.793
2018-06-22,4,4,0,0,0,0,0,0,0,1,0.285,0.358,0.421,0.78
2018-06-24,5,4,1,2,1,0,0,0,1,1,0.289,0.363,0.427,0.79
2018-06-26,5,3,0,0,0,0,0,0,2,0,0.285,0.364,0.421,0.785
2018-06-27,4,3,0,0,0,0,0,0,1,0,0.282,0.362,0.416,0.778
2018-06-28,1,1,0,1,0,0,0,0,0,0,0.285,0.364,0.419,0.783
2018-06-29,4,4,1,1,0,0,0,0,0,0,0.284,0.363,0.416,0.779
2018-06-30,5,5,1,3,0,0,0,0,0,1,0.29,0.367,0.42,0.786
2018-07-02,4,3,0,2,2,0,0,1,1,1,0.295,0.372,0.43,0.802
2018-07-03,3,3,0,0,0,0,0,0,0,0,0.291,0.368,0.425,0.794
