Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,6,5,2,3,1,0,0,0,1,2,0.6,0.667,0.8,1.467
1,2021-04-03,4,4,2,2,1,0,0,0,0,0,0.556,0.6,0.778,1.378
2,2021-04-04,5,4,1,0,0,0,0,1,0,0,0.385,0.4,0.538,0.938
3,2021-04-05,4,4,0,0,0,0,0,0,0,2,0.294,0.316,0.412,0.728
4,2021-04-06,4,4,1,2,0,0,0,0,0,1,0.333,0.348,0.429,0.776
5,2021-04-07,4,4,0,0,0,0,0,0,0,3,0.28,0.296,0.36,0.656
6,2021-04-09,1,1,0,0,0,0,0,0,0,0,0.269,0.286,0.346,0.632
7,2021-04-10,4,3,0,0,0,0,0,0,0,0,0.241,0.258,0.31,0.568
8,2021-04-12,4,4,0,0,0,0,0,0,0,2,0.212,0.229,0.273,0.501
9,2021-04-13,5,5,0,0,0,0,0,0,0,1,0.184,0.2,0.237,0.437
10,2021-04-14,5,5,1,2,1,0,0,2,0,1,0.209,0.222,0.279,0.501
11,2021-04-16,4,4,1,1,0,0,1,1,0,2,0.213,0.224,0.34,0.565
12,2021-04-17,4,4,0,2,0,0,0,1,0,0,0.235,0.245,0.353,0.598
13,2021-04-18,4,4,0,0,0,0,0,0,0,2,0.218,0.228,0.327,0.555
14,2021-04-19,5,5,0,1,0,0,0,0,0,3,0.217,0.226,0.317,0.542
15,2021-04-20,5,4,0,0,0,0,0,0,1,1,0.203,0.224,0.297,0.521
16,2021-04-23,1,1,0,1,0,0,0,0,0,0,0.215,0.235,0.308,0.543
17,2021-04-24,2,2,0,0,0,0,0,0,0,1,0.209,0.229,0.299,0.527
18,2021-04-25,4,3,1,1,0,0,1,1,1,1,0.214,0.243,0.343,0.586
19,2021-04-26,4,3,0,0,0,0,0,1,0,1,0.205,0.231,0.329,0.56
20,2021-04-28,4,4,0,0,0,0,0,0,0,0,0.195,0.22,0.312,0.531
21,2021-04-29,3,2,0,0,0,0,0,0,0,0,0.19,0.224,0.304,0.527
22,2021-04-30,4,4,0,1,0,0,0,0,0,1,0.193,0.225,0.301,0.526
23,April,90,83,9,16,3,0,2,7,3,24,0.193,0.225,0.301,0.526
24,2021-05-01,2,2,0,0,0,0,0,0,0,2,0.188,0.22,0.294,0.514
25,2021-05-02,4,4,1,1,0,0,0,2,0,1,0.191,0.221,0.292,0.513
26,2021-05-03,4,3,1,1,0,0,0,0,1,1,0.196,0.232,0.293,0.526
27,2021-05-04,3,3,0,1,1,0,0,0,0,0,0.2,0.235,0.305,0.541
28,2021-05-06,3,3,0,1,0,0,0,0,0,0,0.204,0.238,0.306,0.544
29,2021-05-07,4,4,0,1,1,0,0,0,0,0,0.206,0.239,0.314,0.552
30,2021-05-08,3,3,1,1,1,0,0,0,0,1,0.21,0.241,0.324,0.565
31,2021-05-11,3,3,1,2,0,0,1,1,0,1,0.222,0.252,0.361,0.613
32,2021-05-13,5,4,0,0,0,0,0,0,1,2,0.214,0.25,0.348,0.598
33,2021-05-14,4,4,0,1,0,0,0,0,0,1,0.216,0.25,0.345,0.595
34,2021-05-15,4,3,1,0,0,0,0,0,1,0,0.21,0.25,0.336,0.586
35,2021-05-16,4,4,1,2,0,0,1,2,0,1,0.22,0.258,0.366,0.623
36,2021-05-17,4,4,1,1,1,0,0,0,0,2,0.22,0.257,0.37,0.627
37,2021-05-18,3,3,0,1,0,0,0,0,0,1,0.223,0.259,0.369,0.628
38,2021-05-19,1,1,0,0,0,0,0,0,0,0,0.221,0.257,0.366,0.624
39,2021-05-20,3,3,0,1,0,0,0,0,0,1,0.224,0.259,0.366,0.624
40,2021-05-21,3,3,0,0,0,0,0,0,0,2,0.219,0.253,0.358,0.611
41,2021-05-23,4,4,0,0,0,0,0,0,0,1,0.213,0.247,0.348,0.594
42,2021-05-25,3,3,0,0,0,0,0,0,0,0,0.208,0.242,0.34,0.582
43,May,64,61,7,14,4,0,2,5,3,17,0.23,0.266,0.393,0.659
44,2021-07-01,1,1,0,0,0,0,0,0,0,0,0.207,0.24,0.338,0.578
45,2021-07-02,4,4,0,0,0,0,0,0,0,2,0.201,0.234,0.329,0.563
