Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-02,4,4,0,1,1,0,0,0,0,0,0.25,0.25,0.5,0.75
1,2021-04-03,4,4,1,1,0,0,0,0,0,2,0.25,0.25,0.375,0.625
2,2021-04-04,6,4,1,0,0,0,0,1,2,1,0.167,0.286,0.25,0.536
3,2021-04-05,3,3,0,1,0,0,0,0,0,0,0.2,0.294,0.267,0.561
4,2021-04-06,4,4,0,0,0,0,0,0,0,3,0.158,0.238,0.211,0.449
5,2021-04-07,4,3,0,0,0,0,0,0,0,1,0.136,0.208,0.182,0.39
6,2021-04-08,4,4,0,0,0,0,0,0,0,3,0.115,0.179,0.154,0.332
7,2021-04-10,5,5,0,1,0,0,0,1,0,3,0.129,0.182,0.161,0.343
8,2021-04-11,2,1,0,1,0,0,0,0,1,0,0.156,0.229,0.188,0.416
9,2021-04-13,3,3,0,0,0,0,0,0,0,1,0.143,0.211,0.171,0.382
10,2021-04-13,3,2,2,1,0,0,0,0,1,0,0.162,0.244,0.189,0.433
11,2021-04-15,3,2,0,0,0,0,0,0,1,0,0.154,0.25,0.179,0.43
12,2021-04-15,3,3,1,1,0,0,1,1,0,0,0.167,0.255,0.262,0.517
13,2021-04-16,3,3,2,2,1,1,0,0,0,1,0.2,0.28,0.356,0.636
14,2021-04-17,4,4,2,4,2,0,0,0,0,0,0.265,0.333,0.449,0.782
15,2021-04-18,4,4,0,0,0,0,0,0,0,1,0.245,0.31,0.415,0.725
16,2021-04-20,4,3,1,2,0,0,1,2,1,0,0.268,0.339,0.482,0.821
17,2021-04-21,3,3,0,1,0,0,0,0,0,1,0.271,0.338,0.475,0.813
18,2021-04-23,4,4,0,0,0,0,0,0,0,0,0.254,0.319,0.444,0.763
19,2021-04-24,4,4,0,1,0,0,0,0,0,1,0.254,0.315,0.433,0.748
20,2021-04-25,4,4,0,1,1,0,0,0,0,1,0.254,0.312,0.437,0.748
21,2021-04-26,1,1,0,1,1,0,0,1,0,0,0.264,0.321,0.458,0.779
22,April,79,72,10,19,6,1,2,6,6,19,0.264,0.321,0.458,0.779
23,2021-05-01,3,3,1,1,0,0,0,0,0,0,0.267,0.321,0.453,0.774
24,2021-05-02,4,4,0,1,0,0,0,1,0,0,0.266,0.318,0.443,0.761
25,2021-05-03,4,4,1,1,0,0,1,2,0,1,0.265,0.315,0.47,0.784
26,2021-05-04,4,2,0,1,0,0,0,0,1,0,0.271,0.333,0.471,0.804
27,2021-05-07,4,4,0,2,1,0,0,0,0,1,0.281,0.34,0.483,0.823
28,2021-05-08,2,2,1,1,0,0,1,1,0,1,0.286,0.343,0.516,0.86
29,2021-05-09,4,4,0,1,0,0,0,0,0,0,0.284,0.34,0.505,0.845
30,2021-05-10,4,3,0,0,0,0,0,1,0,1,0.276,0.327,0.49,0.817
31,2021-05-11,4,4,1,2,0,0,0,1,0,0,0.284,0.333,0.49,0.824
32,2021-05-12,4,2,1,0,0,0,0,0,2,1,0.279,0.339,0.481,0.82
33,2021-05-14,4,4,0,0,0,0,0,0,0,1,0.269,0.328,0.463,0.791
34,2021-05-15,3,3,0,0,0,0,0,0,0,0,0.261,0.32,0.45,0.77
35,2021-05-16,4,4,0,1,0,0,0,1,0,1,0.261,0.317,0.443,0.761
36,2021-05-18,4,2,1,0,0,0,0,0,2,1,0.256,0.323,0.436,0.759
37,2021-05-19,4,4,1,2,0,0,1,1,0,0,0.264,0.328,0.463,0.791
38,2021-05-20,4,3,0,0,0,0,0,0,0,1,0.258,0.326,0.452,0.778
39,2021-05-21,4,3,1,1,0,0,1,2,1,1,0.26,0.331,0.472,0.803
40,2021-05-22,5,5,1,1,1,0,0,1,0,1,0.258,0.327,0.47,0.796
41,2021-05-23,5,5,2,2,1,0,0,0,0,0,0.263,0.329,0.474,0.803
42,2021-05-24,4,4,0,2,1,0,0,0,0,0,0.27,0.333,0.482,0.816
43,2021-05-25,5,5,0,0,0,0,0,0,0,2,0.26,0.323,0.466,0.789
44,2021-05-26,4,4,0,0,0,0,0,0,0,3,0.253,0.315,0.453,0.768
