Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2021-04-03,4,4,2,2,2,0,0,1,0,0,0.4,0.4,0.8,1.2
2,2021-04-04,4,4,0,1,1,0,0,1,0,1,0.333,0.333,0.667,1.0
3,2021-04-05,4,4,0,1,0,0,0,0,0,1,0.308,0.308,0.538,0.846
4,2021-04-08,0,0,0,0,0,0,0,0,0,0,0.308,0.308,0.538,0.846
5,2021-04-11,1,1,0,0,0,0,0,0,0,1,0.286,0.286,0.5,0.786
6,2021-04-12,4,4,0,0,0,0,0,0,0,1,0.222,0.222,0.389,0.611
7,2021-04-15,3,3,2,2,1,0,0,1,0,0,0.286,0.286,0.476,0.762
8,2021-04-17,2,2,0,0,0,0,0,0,0,0,0.261,0.261,0.435,0.696
9,2021-04-17,3,3,0,1,0,0,0,0,0,1,0.269,0.269,0.423,0.692
10,2021-04-18,4,4,0,0,0,0,0,0,0,0,0.233,0.233,0.367,0.6
11,2021-04-19,4,3,0,0,0,0,0,0,0,0,0.212,0.235,0.333,0.569
12,2021-04-20,4,4,1,1,0,1,0,0,0,0,0.216,0.237,0.378,0.615
13,2021-04-21,2,1,0,1,0,1,0,2,0,0,0.237,0.256,0.447,0.704
14,2021-04-24,3,3,0,1,0,0,0,0,0,0,0.244,0.262,0.439,0.701
15,2021-04-25,1,1,0,0,0,0,0,0,0,0,0.238,0.256,0.429,0.684
16,2021-04-26,1,1,0,0,0,0,0,0,0,0,0.233,0.25,0.419,0.669
17,2021-04-27,3,3,0,0,0,0,0,0,0,0,0.217,0.234,0.391,0.625
18,2021-04-28,2,2,0,1,0,0,0,0,0,1,0.229,0.245,0.396,0.641
19,2021-04-30,1,1,0,0,0,0,0,0,0,0,0.224,0.24,0.388,0.628
20,April,51,49,5,11,4,2,0,5,0,6,0.224,0.24,0.388,0.628
21,2021-05-01,1,1,0,0,0,0,0,0,0,0,0.22,0.235,0.38,0.615
22,2021-05-02,1,1,0,0,0,0,0,0,0,0,0.216,0.231,0.373,0.603
23,2021-05-04,4,4,0,1,0,0,0,0,0,1,0.218,0.232,0.364,0.596
24,2021-05-07,3,3,0,1,0,0,0,0,0,0,0.224,0.237,0.362,0.599
