Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2021-04-04,3,3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2,2021-04-05,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
3,2021-04-06,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,2021-04-10,2,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
5,2021-04-12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6,2021-04-13,1,0,0,0,0,0,0,0,1,0,0.0,0.143,0.0,0.143
7,2021-04-14,4,3,0,0,0,0,0,0,1,1,0.0,0.182,0.0,0.182
8,2021-04-15,1,1,0,1,0,0,0,0,0,0,0.1,0.25,0.1,0.35
9,2021-04-18,4,4,0,3,0,0,0,2,0,1,0.286,0.375,0.286,0.661
10,2021-04-21,3,3,0,1,0,0,0,1,0,1,0.294,0.368,0.294,0.662
11,2021-04-24,3,3,0,1,0,0,0,0,0,0,0.3,0.364,0.3,0.664
12,2021-04-26,5,3,0,0,0,0,0,0,2,1,0.261,0.37,0.261,0.631
13,2021-04-29,3,3,0,1,0,0,0,0,0,0,0.269,0.367,0.269,0.636
14,2021-04-30,4,4,0,0,0,0,0,0,0,2,0.233,0.324,0.233,0.557
15,April,34,30,1,7,0,0,0,3,4,9,0.233,0.324,0.233,0.557
16,2021-05-01,1,1,0,0,0,0,0,0,0,0,0.226,0.314,0.226,0.54
17,2021-05-02,3,3,0,0,0,0,0,0,0,1,0.206,0.289,0.206,0.495
18,2021-05-06,5,5,1,3,0,0,0,2,0,0,0.256,0.326,0.256,0.582
19,2021-05-08,5,4,1,3,0,0,0,0,0,0,0.302,0.362,0.302,0.664
20,2021-05-11,5,5,0,2,0,0,0,0,0,1,0.313,0.365,0.313,0.678
21,2021-05-14,3,3,0,0,0,0,0,0,0,1,0.294,0.345,0.294,0.64
22,2021-05-15,6,6,0,1,0,0,0,2,0,3,0.281,0.328,0.281,0.609
23,2021-05-16,4,4,1,2,0,0,0,0,0,0,0.295,0.338,0.295,0.634
24,2021-05-18,4,4,1,3,1,0,0,0,0,0,0.323,0.362,0.338,0.701
25,2021-05-19,5,5,0,3,0,0,0,3,0,0,0.343,0.378,0.357,0.736
26,2021-05-22,5,4,0,2,0,0,0,1,1,0,0.351,0.392,0.365,0.757
27,2021-05-25,4,4,0,2,0,0,0,0,0,0,0.359,0.398,0.372,0.769
28,2021-05-26,4,4,0,0,0,0,0,0,0,2,0.341,0.379,0.354,0.733
29,2021-05-27,4,2,0,0,0,0,0,0,2,0,0.333,0.385,0.345,0.73
30,2021-05-28,4,4,0,1,0,0,0,0,0,1,0.33,0.379,0.341,0.72
31,2021-05-31,5,5,1,1,0,0,0,0,0,2,0.323,0.37,0.333,0.703
32,May,67,63,5,23,1,0,0,8,3,11,0.365,0.394,0.381,0.775
33,2021-06-01,1,1,0,0,0,0,0,0,0,0,0.319,0.366,0.33,0.696
34,2021-06-05,4,4,0,0,0,0,0,0,0,0,0.306,0.352,0.316,0.669
35,2021-06-11,5,5,0,0,0,0,0,0,0,1,0.291,0.336,0.301,0.637
36,2021-06-12,4,4,1,1,0,0,1,2,0,1,0.29,0.333,0.327,0.66
37,2021-06-13,3,3,0,0,0,0,0,0,0,1,0.282,0.325,0.318,0.643
38,2021-06-14,5,5,1,1,0,0,0,0,0,1,0.278,0.32,0.313,0.633
39,2021-06-16,5,5,0,1,1,0,0,0,0,3,0.275,0.315,0.317,0.632
40,2021-06-17,2,2,0,0,0,0,0,0,0,0,0.27,0.31,0.311,0.622
41,2021-06-18,2,1,1,0,0,0,0,0,1,1,0.268,0.313,0.309,0.622
42,2021-06-19,4,4,0,0,0,0,0,0,0,1,0.26,0.304,0.299,0.603
43,2021-06-22,4,2,1,0,0,0,0,1,1,0,0.256,0.304,0.295,0.599
44,2021-06-24,4,3,1,0,0,0,0,0,1,2,0.25,0.303,0.288,0.591
45,2021-06-26,3,3,1,1,0,0,0,0,0,1,0.252,0.303,0.289,0.592
46,2021-06-28,4,3,0,0,0,0,0,0,1,2,0.246,0.302,0.283,0.585
47,2021-06-30,4,3,2,3,1,0,0,3,1,0,0.262,0.32,0.305,0.625
48,June,54,48,8,7,2,0,1,6,5,14,0.146,0.226,0.25,0.476
49,2021-07-02,4,4,0,1,0,0,0,0,0,2,0.262,0.318,0.303,0.622
50,2021-07-04,4,4,0,2,0,0,0,1,0,2,0.268,0.323,0.309,0.632
51,2021-07-07,4,4,1,2,0,0,0,0,0,1,0.275,0.327,0.314,0.641
52,2021-07-10,4,4,0,2,0,0,0,1,0,0,0.28,0.331,0.318,0.65
53,2021-07-11,3,3,1,1,0,0,0,0,0,1,0.281,0.331,0.319,0.65
54,2021-07-17,3,2,0,0,0,0,0,0,0,0,0.278,0.328,0.315,0.642
55,2021-07-19,5,3,1,2,1,0,0,1,1,1,0.285,0.335,0.327,0.662
56,2021-07-20,3,3,1,2,0,0,0,1,0,0,0.292,0.341,0.333,0.674
57,2021-07-21,3,3,1,2,0,0,0,0,0,0,0.298,0.346,0.339,0.685
58,2021-07-22,4,4,0,0,0,0,0,0,0,2,0.291,0.339,0.331,0.67
59,2021-07-24,4,4,0,1,0,0,0,0,0,0,0.291,0.337,0.33,0.666
60,2021-07-26,3,3,0,0,0,0,0,0,0,1,0.286,0.332,0.324,0.656
61,2021-07-27,2,1,0,0,0,0,0,0,0,0,0.284,0.33,0.322,0.652
62,2021-07-28,5,4,2,2,0,0,0,1,0,1,0.289,0.332,0.326,0.658
63,2021-07-30,2,2,0,2,0,0,0,0,0,0,0.296,0.338,0.333,0.672
64,July,53,48,7,19,1,0,0,5,1,11,0.396,0.392,0.417,0.809
65,2021-08-01,4,4,1,1,1,0,0,0,0,1,0.295,0.337,0.337,0.673
66,2021-08-03,3,2,0,0,0,0,0,1,0,2,0.292,0.332,0.333,0.665
67,2021-08-04,1,1,0,0,0,0,0,0,0,1,0.291,0.33,0.332,0.662
68,2021-08-06,4,4,0,1,0,0,0,0,0,1,0.29,0.329,0.33,0.659
69,2021-08-07,4,4,0,0,0,0,0,0,0,0,0.284,0.323,0.324,0.646
70,2021-08-08,1,1,0,0,0,0,0,0,0,1,0.283,0.321,0.322,0.643
71,2021-08-10,1,1,0,0,0,0,0,0,0,0,0.282,0.32,0.32,0.64
72,2021-08-11,4,4,1,0,0,0,0,0,0,2,0.276,0.314,0.314,0.628
73,2021-08-13,4,4,0,0,0,0,0,0,0,1,0.271,0.309,0.308,0.617
74,2021-08-15,3,3,0,1,0,0,0,0,0,0,0.272,0.309,0.309,0.618
75,2021-08-17,4,4,0,0,0,0,0,0,0,1,0.267,0.304,0.303,0.607
76,2021-08-18,3,3,0,1,0,0,0,0,0,1,0.268,0.304,0.304,0.608
77,2021-08-20,1,1,1,1,0,0,0,1,0,0,0.271,0.307,0.307,0.614
