PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-05-15,5,5,0,3,0,0,0,0,0,0,0.6,0.6,0.6,1.2
2019-05-18,3,2,0,0,0,0,0,0,1,1,0.429,0.5,0.429,0.929
2019-05-20,2,2,0,0,0,0,0,0,0,2,0.333,0.4,0.333,0.733
2019-05-25,1,1,0,1,0,0,0,1,0,0,0.4,0.455,0.4,0.854
2019-05-26,4,4,1,1,1,0,0,0,0,3,0.357,0.4,0.429,0.829
2019-05-27,1,1,0,0,0,0,0,0,0,0,0.333,0.375,0.4,0.775
2019-05-29,6,5,1,2,0,0,0,1,1,3,0.35,0.409,0.4,0.809
2019-05-31,4,4,0,0,0,0,0,0,0,1,0.292,0.346,0.333,0.68
2019-06-03,1,1,0,0,0,0,0,0,0,1,0.28,0.333,0.32,0.653
2019-06-04,3,3,0,0,0,0,0,0,0,1,0.25,0.3,0.286,0.586
2019-06-06,4,4,1,1,1,0,0,0,0,1,0.25,0.294,0.313,0.607
2019-07-19,1,1,0,0,0,0,0,0,0,0,0.242,0.286,0.303,0.589
2019-08-04,1,1,0,0,0,0,0,0,0,1,0.235,0.278,0.294,0.572
2019-08-05,3,3,0,0,0,0,0,0,0,2,0.216,0.256,0.27,0.527
2019-08-06,1,1,0,1,0,0,0,0,0,0,0.237,0.275,0.289,0.564
2019-09-04,1,1,0,0,0,0,0,0,0,1,0.231,0.268,0.282,0.55
2019-09-05,0,0,0,0,0,0,0,0,0,0,0.231,0.268,0.282,0.55
2019-09-06,4,3,0,0,0,0,0,0,1,0,0.214,0.267,0.262,0.529
2019-09-09,1,1,1,1,0,0,1,1,0,0,0.233,0.283,0.349,0.631
2019-09-10,3,3,0,0,0,0,0,0,0,1,0.217,0.265,0.326,0.591
2019-09-11,1,1,0,0,0,0,0,0,0,1,0.213,0.26,0.319,0.579
2019-09-13,4,3,0,1,1,0,0,0,0,1,0.22,0.278,0.34,0.618
2019-09-14,4,4,0,0,0,0,0,0,0,3,0.204,0.259,0.315,0.573
2019-09-15,3,3,1,1,1,0,0,1,0,0,0.211,0.262,0.333,0.596
2019-09-17,4,3,0,0,0,0,0,0,1,2,0.2,0.262,0.317,0.578
2019-09-19,3,3,0,1,0,0,0,0,0,1,0.206,0.265,0.317,0.582
2019-09-20,4,3,0,1,0,0,0,0,1,1,0.212,0.278,0.318,0.596
2019-09-22,4,3,1,1,0,1,0,1,1,1,0.217,0.289,0.348,0.637
2019-09-24,4,4,0,0,0,0,0,0,0,3,0.205,0.275,0.329,0.604
2019-09-25,3,3,0,1,1,0,0,0,0,2,0.211,0.277,0.342,0.619
2019-09-28,4,3,0,0,0,0,0,0,0,2,0.203,0.276,0.329,0.605
2020-07-24,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-07-26,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-07-28,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-07-29,3,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-07-31,3,3,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
2020-08-01,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-02,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-28,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-31,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-09-02,1,1,1,1,1,0,0,0,0,0,0.071,0.071,0.143,0.214
2020-09-03,3,3,1,1,1,0,0,0,0,0,0.118,0.118,0.235,0.353
2020-09-04,5,3,1,1,0,0,1,2,1,0,0.15,0.182,0.4,0.582
2020-09-05,4,4,0,0,0,0,0,0,0,2,0.125,0.154,0.333,0.487
2020-09-06,4,3,1,2,0,0,0,2,0,0,0.185,0.2,0.37,0.57
2020-09-08,4,4,1,1,0,0,1,1,0,2,0.194,0.206,0.452,0.658
2020-09-10,4,4,1,2,0,1,1,3,0,1,0.229,0.237,0.6,0.837
2020-09-11,4,4,2,2,0,0,1,1,0,0,0.256,0.262,0.667,0.929
2020-09-12,6,5,1,2,0,0,1,3,0,1,0.273,0.292,0.705,0.996
