Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,4,3,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25
1,2021-04-03,4,4,0,1,0,0,0,2,0,2,0.143,0.25,0.143,0.393
2,2021-04-04,4,3,0,1,0,0,0,0,1,0,0.2,0.333,0.2,0.533
3,2021-04-05,4,2,1,0,0,0,0,0,2,1,0.167,0.375,0.167,0.542
4,2021-04-06,4,3,2,1,0,0,1,1,1,0,0.2,0.4,0.4,0.8
5,2021-04-07,5,5,0,0,0,0,0,0,0,2,0.15,0.32,0.3,0.62
6,2021-04-09,4,4,0,0,0,0,0,0,0,2,0.125,0.276,0.25,0.526
7,2021-04-10,3,3,0,0,0,0,0,0,0,2,0.111,0.25,0.222,0.472
8,2021-04-13,3,3,0,1,1,0,0,0,0,1,0.133,0.257,0.267,0.524
9,2021-04-14,4,4,0,0,0,0,0,0,0,2,0.118,0.231,0.235,0.466
10,April,39,34,3,4,1,0,1,3,5,13,0.118,0.231,0.235,0.466
0,2021-04-01,4,3,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25
1,2021-04-03,4,4,0,1,0,0,0,2,0,2,0.143,0.25,0.143,0.393
2,2021-04-04,4,3,0,1,0,0,0,0,1,0,0.2,0.333,0.2,0.533
3,2021-04-05,4,2,1,0,0,0,0,0,2,1,0.167,0.375,0.167,0.542
4,2021-04-06,4,3,2,1,0,0,1,1,1,0,0.2,0.4,0.4,0.8
5,2021-04-07,5,5,0,0,0,0,0,0,0,2,0.15,0.32,0.3,0.62
6,2021-04-09,4,4,0,0,0,0,0,0,0,2,0.125,0.276,0.25,0.526
7,2021-04-10,3,3,0,0,0,0,0,0,0,2,0.111,0.25,0.222,0.472
8,2021-04-13,3,3,0,1,1,0,0,0,0,1,0.133,0.257,0.267,0.524
9,2021-04-14,4,4,0,0,0,0,0,0,0,2,0.118,0.231,0.235,0.466
10,April,39,34,3,4,1,0,1,3,5,13,0.118,0.231,0.235,0.466
0,2021-04-01,4,3,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25
1,2021-04-03,4,4,0,1,0,0,0,2,0,2,0.143,0.25,0.143,0.393
2,2021-04-04,4,3,0,1,0,0,0,0,1,0,0.2,0.333,0.2,0.533
3,2021-04-05,4,2,1,0,0,0,0,0,2,1,0.167,0.375,0.167,0.542
4,2021-04-06,4,3,2,1,0,0,1,1,1,0,0.2,0.4,0.4,0.8
5,2021-04-07,5,5,0,0,0,0,0,0,0,2,0.15,0.32,0.3,0.62
6,2021-04-09,4,4,0,0,0,0,0,0,0,2,0.125,0.276,0.25,0.526
7,2021-04-10,3,3,0,0,0,0,0,0,0,2,0.111,0.25,0.222,0.472
8,2021-04-13,3,3,0,1,1,0,0,0,0,1,0.133,0.257,0.267,0.524
9,2021-04-14,4,4,0,0,0,0,0,0,0,2,0.118,0.231,0.235,0.466
10,April,39,34,3,4,1,0,1,3,5,13,0.118,0.231,0.235,0.466
0,2021-04-01,4,3,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25
1,2021-04-03,4,4,0,1,0,0,0,2,0,2,0.143,0.25,0.143,0.393
2,2021-04-04,4,3,0,1,0,0,0,0,1,0,0.2,0.333,0.2,0.533
3,2021-04-05,4,2,1,0,0,0,0,0,2,1,0.167,0.375,0.167,0.542
4,2021-04-06,4,3,2,1,0,0,1,1,1,0,0.2,0.4,0.4,0.8
5,2021-04-07,5,5,0,0,0,0,0,0,0,2,0.15,0.32,0.3,0.62
6,2021-04-09,4,4,0,0,0,0,0,0,0,2,0.125,0.276,0.25,0.526
7,2021-04-10,3,3,0,0,0,0,0,0,0,2,0.111,0.25,0.222,0.472
8,2021-04-13,3,3,0,1,1,0,0,0,0,1,0.133,0.257,0.267,0.524
9,2021-04-14,4,4,0,0,0,0,0,0,0,2,0.118,0.231,0.235,0.466
10,April,39,34,3,4,1,0,1,3,5,13,0.118,0.231,0.235,0.466
