PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018-03-30,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018-04-01,4,4,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
2018-04-02,8,7,1,2,1,0,0,1,1,0,0.154,0.214,0.231,0.445
2018-04-07,2,1,0,0,0,0,0,0,1,0,0.143,0.25,0.214,0.464
2018-04-08,1,1,0,0,0,0,0,0,0,0,0.133,0.235,0.2,0.435
2018-04-10,1,1,0,0,0,0,0,0,0,1,0.125,0.222,0.188,0.41
2018-04-11,5,5,1,1,1,0,0,0,0,1,0.143,0.217,0.238,0.456
2018-04-13,1,0,0,0,0,0,0,0,1,0,0.143,0.25,0.238,0.488
2018-04-14,4,4,0,1,0,0,0,1,0,0,0.16,0.25,0.24,0.49
2018-04-15,1,1,0,0,0,0,0,0,0,0,0.154,0.241,0.231,0.472
2018-04-16,3,1,1,0,0,0,0,0,2,0,0.148,0.281,0.222,0.504
2018-04-17,0,0,0,0,0,0,0,0,0,0,0.148,0.281,0.222,0.504
2018-04-18,5,5,2,2,0,0,0,1,0,1,0.188,0.297,0.25,0.547
2018-04-20,3,2,1,0,0,0,0,0,1,1,0.176,0.3,0.235,0.535
2018-04-21,4,4,1,2,0,0,1,1,0,2,0.211,0.318,0.342,0.66
2018-04-22,2,2,0,0,0,0,0,0,0,0,0.2,0.304,0.325,0.629
2018-04-23,1,1,0,0,0,0,0,0,0,1,0.195,0.298,0.317,0.615
2018-04-24,2,1,1,0,0,0,0,0,1,0,0.19,0.306,0.31,0.616
2018-04-25,4,4,0,2,0,0,0,1,0,2,0.217,0.321,0.326,0.647
2018-04-27,3,2,0,1,0,0,0,0,1,0,0.229,0.339,0.333,0.673
2018-04-28,6,5,0,4,1,1,0,4,1,0,0.283,0.387,0.434,0.821
2018-04-28,4,2,1,0,0,0,0,0,2,0,0.273,0.394,0.418,0.812
2018-04-29,1,1,0,1,0,0,0,1,0,0,0.286,0.403,0.429,0.832
2018-04-30,4,3,0,1,0,1,0,2,0,2,0.288,0.394,0.458,0.852
2018-05-01,5,2,0,0,0,0,0,0,2,1,0.279,0.408,0.443,0.85
2018-05-02,4,3,0,0,0,0,0,0,1,0,0.266,0.4,0.422,0.822
2018-05-03,1,1,0,0,0,0,0,0,0,1,0.262,0.395,0.415,0.81
2018-05-04,2,2,0,0,0,0,0,0,0,1,0.254,0.386,0.403,0.788
2018-05-05,4,4,1,2,1,0,0,0,0,1,0.268,0.391,0.423,0.813
2018-05-06,1,1,0,1,0,0,0,0,0,0,0.278,0.398,0.431,0.828
2018-05-08,6,5,0,0,0,0,0,0,1,0,0.26,0.383,0.403,0.786
2018-05-10,3,2,1,0,0,0,0,0,1,0,0.253,0.381,0.392,0.774
2018-05-11,4,4,0,0,0,0,0,0,0,0,0.241,0.366,0.373,0.74
2018-05-12,4,4,0,2,0,0,0,1,0,0,0.253,0.371,0.379,0.751
2018-05-13,4,4,0,0,0,0,0,0,0,2,0.242,0.358,0.363,0.72
2018-05-15,2,2,0,0,0,0,0,0,0,0,0.237,0.351,0.355,0.706
2018-05-16,5,5,1,1,1,0,0,0,0,0,0.235,0.345,0.357,0.702
2018-05-17,1,1,0,0,0,0,0,0,0,0,0.232,0.342,0.354,0.695
2018-05-19,5,5,1,2,0,1,0,0,0,1,0.24,0.344,0.375,0.719
2018-05-19,4,3,1,1,1,0,0,0,1,1,0.243,0.349,0.383,0.732
2018-05-20,1,1,1,1,1,0,0,1,0,0,0.25,0.354,0.398,0.752
2018-05-21,4,4,0,0,0,0,0,0,0,1,0.241,0.344,0.384,0.727
2018-05-22,0,0,0,0,0,0,0,0,0,0,0.241,0.344,0.384,0.727
2018-05-23,1,1,0,1,1,0,0,0,0,0,0.248,0.348,0.398,0.747
2018-05-25,0,0,0,0,0,0,0,0,0,0,0.248,0.348,0.398,0.747
2018-05-26,4,4,0,1,0,0,0,1,0,1,0.248,0.346,0.393,0.739
2018-05-27,1,1,0,0,0,0,0,0,0,0,0.246,0.343,0.39,0.733
2018-05-28,3,3,1,1,1,0,0,1,0,0,0.248,0.343,0.397,0.74
2018-05-29,1,1,0,0,0,0,0,0,0,0,0.246,0.34,0.393,0.734
2018-05-30,5,4,1,2,0,0,0,1,0,0,0.254,0.342,0.397,0.739
2018-05-31,4,4,0,0,0,0,0,0,0,2,0.246,0.333,0.385,0.718
2018-06-01,1,1,0,0,0,0,0,0,0,0,0.244,0.331,0.382,0.713
2018-06-02,5,5,4,4,1,0,2,2,0,0,0.265,0.346,0.449,0.795
2018-06-03,2,2,0,0,0,0,0,0,0,0,0.261,0.342,0.442,0.784
2018-06-05,4,4,1,1,0,0,1,2,0,0,0.261,0.34,0.458,0.797
2018-06-06,0,0,0,0,0,0,0,0,0,0,0.261,0.34,0.458,0.797
2018-06-07,5,5,3,3,1,0,2,3,0,1,0.272,0.347,0.51,0.858
2018-06-08,4,4,1,1,0,0,1,1,0,1,0.272,0.345,0.523,0.868
2018-06-09,2,2,0,1,1,0,0,0,0,0,0.275,0.347,0.529,0.876
2018-06-12,4,4,2,3,2,0,1,2,0,0,0.287,0.356,0.567,0.923
2018-06-13,3,3,0,0,0,0,0,0,0,1,0.281,0.35,0.556,0.906
2018-06-15,0,0,0,0,0,0,0,0,0,0,0.281,0.35,0.556,0.906
2018-06-16,0,0,0,0,0,0,0,0,0,0,0.281,0.35,0.556,0.906
2018-06-17,3,3,0,0,0,0,0,0,0,0,0.276,0.344,0.546,0.89
2018-06-19,4,3,1,1,0,0,1,1,1,0,0.277,0.348,0.56,0.908
2018-06-19,1,0,0,0,0,0,0,0,1,0,0.277,0.351,0.56,0.911
2018-06-22,4,3,1,0,0,0,0,0,1,1,0.272,0.349,0.55,0.899
2018-06-23,5,4,0,1,0,0,0,0,1,1,0.272,0.35,0.543,0.894
2018-06-24,5,4,1,1,0,0,1,1,1,0,0.271,0.351,0.554,0.905
2018-06-25,4,4,0,0,0,0,0,0,0,2,0.265,0.345,0.541,0.886
2018-06-26,1,1,0,0,0,0,0,0,0,1,0.264,0.343,0.538,0.882
2018-06-27,5,3,1,1,0,0,1,2,2,0,0.265,0.349,0.551,0.9
2018-06-28,1,1,0,0,0,0,0,0,0,0,0.263,0.347,0.548,0.896
2018-06-30,4,4,0,0,0,0,0,0,0,1,0.258,0.341,0.537,0.878
2018-07-01,4,4,0,3,1,0,0,0,0,0,0.268,0.348,0.546,0.895
2018-07-02,6,6,1,1,0,0,1,1,0,0,0.265,0.344,0.55,0.894
2018-07-03,4,3,1,1,0,0,1,1,0,1,0.266,0.346,0.562,0.908
2018-07-04,5,4,0,0,0,0,0,0,1,1,0.261,0.343,0.551,0.894
2018-07-06,4,4,0,0,0,0,0,0,0,2,0.256,0.338,0.54,0.878
2018-07-07,4,3,0,0,0,0,0,0,0,2,0.252,0.333,0.533,0.866
2018-07-08,1,1,0,0,0,0,0,0,0,0,0.251,0.332,0.53,0.862
2018-07-09,5,5,0,0,0,0,0,1,0,1,0.245,0.325,0.518,0.844
2018-07-11,0,0,0,0,0,0,0,0,0,0,0.245,0.325,0.518,0.844
2018-07-12,4,3,0,2,1,0,0,1,1,0,0.251,0.332,0.525,0.857
2018-07-13,5,5,1,1,1,0,0,0,0,1,0.25,0.329,0.522,0.851
2018-07-14,2,1,0,0,0,0,0,0,1,0,0.249,0.331,0.52,0.85
2018-07-15,4,2,0,0,0,0,0,0,1,0,0.247,0.333,0.515,0.848
2018-07-20,0,0,0,0,0,0,0,0,0,0,0.247,0.333,0.515,0.848
2018-07-21,3,3,1,2,0,0,0,0,0,1,0.252,0.337,0.517,0.854
2018-07-22,0,0,0,0,0,0,0,0,0,0,0.252,0.337,0.517,0.854
2018-07-23,5,4,2,2,0,0,1,1,1,1,0.256,0.342,0.529,0.871
2018-07-24,7,7,1,4,2,0,0,1,0,1,0.265,0.348,0.539,0.886
2018-07-25,4,4,2,2,1,0,0,0,0,0,0.269,0.35,0.542,0.892
2018-07-26,5,5,1,1,1,0,0,1,0,1,0.268,0.347,0.539,0.887
2018-07-27,5,5,0,0,0,0,0,0,0,3,0.263,0.341,0.529,0.87
2018-07-28,1,1,0,0,0,0,0,0,0,0,0.262,0.34,0.527,0.867
