PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,6,5,1,1,0,0,1,2,1,1,0.2,0.333,0.8,1.133
2021-04-01,6,5,1,1,0,0,1,2,1,1,0.2,0.333,0.8,1.133
2021-04-01,6,5,1,1,0,0,1,2,1,1,0.2,0.333,0.8,1.133
2021-04-01,6,5,1,1,0,0,1,2,1,1,0.2,0.333,0.8,1.133
2021-04-03,1,0,1,0,0,0,0,0,1,0,0.2,0.429,0.8,1.229
2021-04-03,1,0,1,0,0,0,0,0,1,0,0.2,0.429,0.8,1.229
2021-04-03,1,0,1,0,0,0,0,0,1,0,0.2,0.429,0.8,1.229
2021-04-03,1,0,1,0,0,0,0,0,1,0,0.2,0.429,0.8,1.229
2021-06-03,4,4,1,2,0,1,0,0,0,1,0.333,0.455,0.889,1.343
2021-06-03,4,4,1,2,0,1,0,0,0,1,0.333,0.455,0.889,1.343
2021-06-03,4,4,1,2,0,1,0,0,0,1,0.333,0.455,0.889,1.343
2021-06-03,4,4,1,2,0,1,0,0,0,1,0.333,0.455,0.889,1.343
2021-06-04,5,4,2,2,0,0,1,3,1,0,0.385,0.5,1.0,1.5
2021-06-04,5,4,2,2,0,0,1,3,1,0,0.385,0.5,1.0,1.5
2021-06-04,5,4,2,2,0,0,1,3,1,0,0.385,0.5,1.0,1.5
2021-06-04,5,4,2,2,0,0,1,3,1,0,0.385,0.5,1.0,1.5
2021-06-05,6,6,1,1,1,0,0,0,0,1,0.316,0.409,0.789,1.199
2021-06-05,6,6,1,1,1,0,0,0,0,1,0.316,0.409,0.789,1.199
2021-06-05,6,6,1,1,1,0,0,0,0,1,0.316,0.409,0.789,1.199
2021-06-05,6,6,1,1,1,0,0,0,0,1,0.316,0.409,0.789,1.199
2021-06-06,4,4,0,2,0,0,0,0,0,2,0.348,0.423,0.739,1.162
2021-06-06,4,4,0,2,0,0,0,0,0,2,0.348,0.423,0.739,1.162
2021-06-06,4,4,0,2,0,0,0,0,0,2,0.348,0.423,0.739,1.162
2021-06-06,4,4,0,2,0,0,0,0,0,2,0.348,0.423,0.739,1.162
2021-06-08,4,4,0,1,0,0,0,0,0,0,0.333,0.4,0.667,1.067
2021-06-08,4,4,0,1,0,0,0,0,0,0,0.333,0.4,0.667,1.067
2021-06-08,4,4,0,1,0,0,0,0,0,0,0.333,0.4,0.667,1.067
2021-06-08,4,4,0,1,0,0,0,0,0,0,0.333,0.4,0.667,1.067
2021-06-09,5,4,0,1,0,0,0,0,1,1,0.323,0.4,0.613,1.013
2021-06-09,5,4,0,1,0,0,0,0,1,1,0.323,0.4,0.613,1.013
2021-06-09,5,4,0,1,0,0,0,0,1,1,0.323,0.4,0.613,1.013
2021-06-09,5,4,0,1,0,0,0,0,1,1,0.323,0.4,0.613,1.013
2021-06-10,3,3,1,1,1,0,0,0,0,1,0.324,0.395,0.618,1.012
2021-06-10,3,3,1,1,1,0,0,0,0,1,0.324,0.395,0.618,1.012
2021-06-10,3,3,1,1,1,0,0,0,0,1,0.324,0.395,0.618,1.012
2021-06-10,3,3,1,1,1,0,0,0,0,1,0.324,0.395,0.618,1.012
2021-06-11,4,4,1,1,0,0,1,2,0,1,0.316,0.381,0.658,1.039
2021-06-11,4,4,1,1,0,0,1,2,0,1,0.316,0.381,0.658,1.039
2021-06-11,4,4,1,1,0,0,1,2,0,1,0.316,0.381,0.658,1.039
2021-06-11,4,4,1,1,0,0,1,2,0,1,0.316,0.381,0.658,1.039
2021-06-13,5,5,0,1,0,0,0,0,0,2,0.302,0.362,0.605,0.966
2021-06-13,5,5,0,1,0,0,0,0,0,2,0.302,0.362,0.605,0.966
2021-06-13,5,5,0,1,0,0,0,0,0,2,0.302,0.362,0.605,0.966
2021-06-13,5,5,0,1,0,0,0,0,0,2,0.302,0.362,0.605,0.966
2021-06-14,4,4,0,1,0,0,0,0,0,1,0.298,0.353,0.574,0.927
2021-06-14,4,4,0,1,0,0,0,0,0,1,0.298,0.353,0.574,0.927
2021-06-14,4,4,0,1,0,0,0,0,0,1,0.298,0.353,0.574,0.927
2021-06-14,4,4,0,1,0,0,0,0,0,1,0.298,0.353,0.574,0.927
2021-06-15,4,3,0,0,0,0,0,0,1,0,0.28,0.345,0.54,0.886
2021-06-15,4,3,0,0,0,0,0,0,1,0,0.28,0.345,0.54,0.886
2021-06-15,4,3,0,0,0,0,0,0,1,0,0.28,0.345,0.54,0.886
2021-06-15,4,3,0,0,0,0,0,0,1,0,0.28,0.345,0.54,0.886
2021-06-16,4,3,1,1,1,0,0,0,1,0,0.283,0.356,0.547,0.903
2021-06-16,4,3,1,1,1,0,0,0,1,0,0.283,0.356,0.547,0.903
2021-06-16,4,3,1,1,1,0,0,0,1,0,0.283,0.356,0.547,0.903
2021-06-16,4,3,1,1,1,0,0,0,1,0,0.283,0.356,0.547,0.903
2021-06-18,4,4,1,1,1,0,0,3,0,0,0.281,0.349,0.544,0.893
2021-06-18,4,4,1,1,1,0,0,3,0,0,0.281,0.349,0.544,0.893
2021-06-18,4,4,1,1,1,0,0,3,0,0,0.281,0.349,0.544,0.893
2021-06-18,4,4,1,1,1,0,0,3,0,0,0.281,0.349,0.544,0.893
2021-06-19,4,3,0,0,0,0,0,0,1,1,0.267,0.343,0.517,0.86
2021-06-19,4,3,0,0,0,0,0,0,1,1,0.267,0.343,0.517,0.86
2021-06-19,4,3,0,0,0,0,0,0,1,1,0.267,0.343,0.517,0.86
2021-06-19,4,3,0,0,0,0,0,0,1,1,0.267,0.343,0.517,0.86
2021-06-20,4,4,0,1,0,0,0,0,0,0,0.266,0.338,0.5,0.838
2021-06-20,4,4,0,1,0,0,0,0,0,0,0.266,0.338,0.5,0.838
2021-06-20,4,4,0,1,0,0,0,0,0,0,0.266,0.338,0.5,0.838
2021-06-20,4,4,0,1,0,0,0,0,0,0,0.266,0.338,0.5,0.838
2021-06-22,4,2,0,0,0,0,0,0,2,0,0.258,0.347,0.485,0.832
2021-06-22,4,2,0,0,0,0,0,0,2,0,0.258,0.347,0.485,0.832
2021-06-22,4,2,0,0,0,0,0,0,2,0,0.258,0.347,0.485,0.832
2021-06-22,4,2,0,0,0,0,0,0,2,0,0.258,0.347,0.485,0.832
2021-06-23,5,4,0,2,0,0,0,2,1,1,0.271,0.363,0.486,0.848
2021-06-23,5,4,0,2,0,0,0,2,1,1,0.271,0.363,0.486,0.848
2021-06-23,5,4,0,2,0,0,0,2,1,1,0.271,0.363,0.486,0.848
2021-06-23,5,4,0,2,0,0,0,2,1,1,0.271,0.363,0.486,0.848
2021-06-24,5,4,2,2,0,0,0,0,1,0,0.284,0.376,0.486,0.863
2021-06-24,5,4,2,2,0,0,0,0,1,0,0.284,0.376,0.486,0.863
2021-06-24,5,4,2,2,0,0,0,0,1,0,0.284,0.376,0.486,0.863
2021-06-24,5,4,2,2,0,0,0,0,1,0,0.284,0.376,0.486,0.863
2021-06-25,5,4,2,2,0,0,0,1,1,1,0.295,0.389,0.487,0.876
2021-06-25,5,4,2,2,0,0,0,1,1,1,0.295,0.389,0.487,0.876
2021-06-25,5,4,2,2,0,0,0,1,1,1,0.295,0.389,0.487,0.876
2021-06-25,5,4,2,2,0,0,0,1,1,1,0.295,0.389,0.487,0.876
2021-06-26,1,1,0,0,0,0,0,0,0,0,0.291,0.385,0.481,0.866
2021-06-26,1,1,0,0,0,0,0,0,0,0,0.291,0.385,0.481,0.866
2021-06-26,1,1,0,0,0,0,0,0,0,0,0.291,0.385,0.481,0.866
2021-06-26,1,1,0,0,0,0,0,0,0,0,0.291,0.385,0.481,0.866
2021-06-27,5,5,1,2,0,0,0,1,0,2,0.298,0.385,0.476,0.862
2021-06-27,5,5,1,2,0,0,0,1,0,2,0.298,0.385,0.476,0.862
2021-06-27,5,5,1,2,0,0,0,1,0,2,0.298,0.385,0.476,0.862
2021-06-27,5,5,1,2,0,0,0,1,0,2,0.298,0.385,0.476,0.862
2021-06-28,4,4,0,0,0,0,0,0,0,2,0.284,0.37,0.455,0.824
2021-06-28,4,4,0,0,0,0,0,0,0,2,0.284,0.37,0.455,0.824
2021-06-28,4,4,0,0,0,0,0,0,0,2,0.284,0.37,0.455,0.824
2021-06-28,4,4,0,0,0,0,0,0,0,2,0.284,0.37,0.455,0.824
2021-06-29,3,3,0,0,0,0,0,0,0,1,0.275,0.359,0.44,0.799
2021-06-29,3,3,0,0,0,0,0,0,0,1,0.275,0.359,0.44,0.799
2021-06-29,3,3,0,0,0,0,0,0,0,1,0.275,0.359,0.44,0.799
2021-06-29,3,3,0,0,0,0,0,0,0,1,0.275,0.359,0.44,0.799
2021-06-30,4,2,0,0,0,0,0,1,1,0,0.269,0.355,0.43,0.785
2021-06-30,4,2,0,0,0,0,0,1,1,0,0.269,0.355,0.43,0.785
2021-06-30,4,2,0,0,0,0,0,1,1,0,0.269,0.355,0.43,0.785
2021-06-30,4,2,0,0,0,0,0,1,1,0,0.269,0.355,0.43,0.785
2021-07-01,4,4,1,1,1,0,0,0,0,0,0.268,0.351,0.433,0.784
2021-07-01,4,4,1,1,1,0,0,0,0,0,0.268,0.351,0.433,0.784
2021-07-01,4,4,1,1,1,0,0,0,0,0,0.268,0.351,0.433,0.784
2021-07-01,4,4,1,1,1,0,0,0,0,0,0.268,0.351,0.433,0.784
2021-07-02,4,4,0,0,0,0,0,0,0,1,0.257,0.339,0.416,0.755
2021-07-02,4,4,0,0,0,0,0,0,0,1,0.257,0.339,0.416,0.755
2021-07-02,4,4,0,0,0,0,0,0,0,1,0.257,0.339,0.416,0.755
2021-07-02,4,4,0,0,0,0,0,0,0,1,0.257,0.339,0.416,0.755
2021-07-03,5,5,0,0,0,0,0,0,0,2,0.245,0.325,0.396,0.721
2021-07-03,5,5,0,0,0,0,0,0,0,2,0.245,0.325,0.396,0.721
2021-07-03,5,5,0,0,0,0,0,0,0,2,0.245,0.325,0.396,0.721
2021-07-03,5,5,0,0,0,0,0,0,0,2,0.245,0.325,0.396,0.721
2021-07-04,0,0,0,0,0,0,0,0,0,0,0.245,0.325,0.396,0.721
2021-07-04,0,0,0,0,0,0,0,0,0,0,0.245,0.325,0.396,0.721
2021-07-04,0,0,0,0,0,0,0,0,0,0,0.245,0.325,0.396,0.721
2021-07-04,0,0,0,0,0,0,0,0,0,0,0.245,0.325,0.396,0.721
2021-07-05,5,5,1,2,0,0,1,2,0,0,0.252,0.328,0.423,0.751
2021-07-05,5,5,1,2,0,0,1,2,0,0,0.252,0.328,0.423,0.751
2021-07-05,5,5,1,2,0,0,1,2,0,0,0.252,0.328,0.423,0.751
2021-07-05,5,5,1,2,0,0,1,2,0,0,0.252,0.328,0.423,0.751
2021-07-06,5,4,0,2,2,0,0,0,1,1,0.261,0.338,0.443,0.782
2021-07-06,5,4,0,2,2,0,0,0,1,1,0.261,0.338,0.443,0.782
2021-07-06,5,4,0,2,2,0,0,0,1,1,0.261,0.338,0.443,0.782
2021-07-06,5,4,0,2,2,0,0,0,1,1,0.261,0.338,0.443,0.782
2021-07-07,5,4,1,2,1,0,0,0,1,1,0.269,0.348,0.454,0.802
2021-07-07,5,4,1,2,1,0,0,0,1,1,0.269,0.348,0.454,0.802
2021-07-07,5,4,1,2,1,0,0,0,1,1,0.269,0.348,0.454,0.802
2021-07-07,5,4,1,2,1,0,0,0,1,1,0.269,0.348,0.454,0.802
2021-07-09,5,3,0,0,0,0,0,0,2,1,0.262,0.35,0.443,0.793
2021-07-09,5,3,0,0,0,0,0,0,2,1,0.262,0.35,0.443,0.793
2021-07-09,5,3,0,0,0,0,0,0,2,1,0.262,0.35,0.443,0.793
