PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-04-27,4,3,0,1,0,0,0,2,1,1,0.333,0.5,0.333,0.833
2019-04-28,4,4,1,2,0,0,0,0,0,1,0.429,0.5,0.429,0.929
2019-04-29,4,4,0,1,0,0,0,1,0,0,0.364,0.417,0.364,0.78
2019-05-01,3,3,0,0,0,0,0,1,0,0,0.286,0.333,0.286,0.619
2019-05-01,4,4,1,2,0,0,1,3,0,1,0.333,0.368,0.5,0.868
2019-05-02,4,4,0,0,0,0,0,0,0,2,0.273,0.304,0.409,0.713
2019-05-03,4,4,0,1,0,1,0,1,0,2,0.269,0.296,0.462,0.758
2019-05-04,6,6,2,4,1,0,0,1,0,2,0.344,0.364,0.531,0.895
2019-05-05,4,4,0,1,0,0,0,1,0,2,0.333,0.351,0.5,0.851
2019-05-06,4,4,0,0,0,0,0,0,0,1,0.3,0.317,0.45,0.767
2019-05-10,4,3,0,1,0,0,0,1,0,2,0.302,0.311,0.442,0.753
2019-05-11,3,3,0,0,0,0,0,0,0,0,0.283,0.292,0.413,0.705
2019-05-12,4,3,0,0,0,0,0,0,1,2,0.265,0.288,0.388,0.676
2019-05-15,4,4,0,2,0,0,0,0,0,1,0.283,0.304,0.396,0.7
2019-05-16,4,4,0,1,0,0,0,0,0,1,0.281,0.3,0.386,0.686
2019-06-04,4,3,0,0,0,0,0,0,1,1,0.267,0.297,0.367,0.664
2019-06-05,3,3,0,1,0,0,0,0,0,1,0.27,0.299,0.365,0.664
2019-06-09,4,4,0,1,1,0,0,0,0,2,0.269,0.296,0.373,0.669
2019-06-12,4,2,0,1,0,0,0,0,2,1,0.275,0.32,0.377,0.697
2019-06-13,4,4,0,0,0,0,0,0,0,1,0.26,0.304,0.356,0.66
2020-09-12,4,2,0,1,0,0,0,0,2,0,0.5,0.75,0.5,1.25
2020-09-13,5,4,0,0,0,0,0,0,1,3,0.167,0.444,0.167,0.611
2020-09-15,3,3,0,0,0,0,0,0,0,3,0.111,0.333,0.111,0.444
2020-09-20,0,0,0,0,0,0,0,0,0,0,0.111,0.333,0.111,0.444
2021-05-14,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-05-15,4,4,0,2,0,0,0,0,0,1,0.4,0.4,0.4,0.8
2021-05-16,4,4,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444
2021-05-18,3,3,0,2,0,0,0,0,0,0,0.333,0.333,0.333,0.667
2021-05-19,3,3,1,2,0,0,0,0,0,0,0.4,0.4,0.4,0.8
2021-05-21,4,4,1,2,0,0,0,0,0,0,0.421,0.421,0.421,0.842
2021-05-22,4,3,1,1,1,0,0,1,1,1,0.409,0.435,0.455,0.889
2021-05-23,3,3,0,0,0,0,0,0,0,1,0.36,0.385,0.4,0.785
2021-05-25,4,4,0,0,0,0,0,0,0,1,0.31,0.333,0.345,0.678
2021-05-26,4,4,0,1,0,0,0,0,0,1,0.303,0.324,0.333,0.657
2021-05-27,4,4,0,0,0,0,0,0,0,1,0.27,0.289,0.297,0.587
2021-05-28,4,4,0,0,0,0,0,0,0,3,0.244,0.262,0.268,0.53
2021-05-29,3,3,1,1,1,0,0,0,0,1,0.25,0.267,0.295,0.562
2021-05-30,4,4,0,1,0,0,0,0,0,0,0.25,0.265,0.292,0.557
2021-05-31,4,4,1,1,0,0,0,2,0,0,0.25,0.264,0.288,0.553
2021-06-01,4,4,1,1,0,1,0,0,0,0,0.25,0.263,0.321,0.585
2021-06-04,5,5,1,1,0,0,0,0,0,2,0.246,0.258,0.311,0.57
2021-06-05,4,4,0,2,1,0,0,0,0,1,0.262,0.273,0.338,0.611
2021-06-06,4,4,0,1,0,0,0,0,0,1,0.261,0.271,0.333,0.605
2021-06-07,4,4,0,0,0,0,0,0,0,0,0.247,0.257,0.315,0.572
2021-06-08,4,4,0,0,0,0,0,0,0,0,0.234,0.244,0.299,0.542
2021-06-09,4,4,0,1,0,0,0,1,0,1,0.235,0.244,0.296,0.54
2021-06-10,4,4,0,2,0,0,0,2,0,0,0.247,0.256,0.306,0.562
2021-06-11,4,4,0,1,0,0,0,0,0,1,0.247,0.256,0.303,0.559
2021-06-12,4,4,1,2,0,1,1,2,0,2,0.258,0.266,0.366,0.632
2021-06-13,4,3,0,0,0,0,0,0,0,1,0.25,0.265,0.354,0.62
2021-06-14,5,5,0,2,1,0,0,0,0,2,0.257,0.272,0.366,0.638
2021-06-15,4,4,0,0,0,0,0,0,0,2,0.248,0.262,0.352,0.614
2021-06-16,4,4,0,0,0,0,0,0,0,1,0.239,0.252,0.339,0.592
2021-06-18,4,3,0,0,0,0,0,0,1,1,0.232,0.252,0.33,0.582
2021-06-19,4,4,0,1,0,0,0,0,0,0,0.233,0.252,0.328,0.58
2021-06-20,5,2,0,0,0,0,0,0,3,0,0.229,0.266,0.322,0.588
2021-06-22,4,4,0,0,0,0,0,0,0,3,0.221,0.258,0.311,0.569
2021-06-23,4,3,0,0,0,0,0,0,1,0,0.216,0.258,0.304,0.562
2021-06-24,1,1,0,0,0,0,0,0,0,0,0.214,0.256,0.302,0.557
2021-06-25,1,1,0,0,0,0,0,0,0,1,0.213,0.254,0.299,0.553
2021-06-26,4,4,0,1,0,0,0,0,0,1,0.214,0.254,0.298,0.551
2021-06-27,4,4,1,1,0,0,0,0,0,1,0.215,0.254,0.296,0.55
2021-07-07,1,0,0,0,0,0,0,0,1,0,0.215,0.259,0.296,0.555
2021-07-09,3,3,0,2,0,0,0,0,0,0,0.225,0.267,0.304,0.572
2021-07-10,3,3,0,0,0,0,0,0,0,3,0.22,0.262,0.298,0.56
2021-07-11,4,4,0,1,0,0,0,0,0,0,0.221,0.261,0.297,0.558
2021-07-16,3,3,0,0,0,0,0,0,0,3,0.216,0.256,0.291,0.547
2021-07-18,4,4,0,0,0,0,0,1,0,1,0.211,0.25,0.283,0.533
2021-07-19,4,3,1,1,0,0,0,1,1,1,0.213,0.256,0.284,0.54
2021-07-20,4,3,0,0,0,0,0,0,0,1,0.209,0.256,0.278,0.534
2021-08-24,2,2,0,0,0,0,0,0,0,1,0.206,0.253,0.275,0.528
2021-08-25,4,2,1,0,0,0,0,1,1,2,0.204,0.259,0.272,0.53
2021-08-26,4,4,1,1,0,0,0,1,0,0,0.205,0.258,0.271,0.53
2021-08-27,4,4,0,1,0,0,0,0,0,0,0.206,0.258,0.271,0.529
2021-08-28,4,3,0,0,0,0,0,0,1,1,0.202,0.258,0.266,0.524
2021-08-29,5,4,0,0,0,0,0,0,1,4,0.198,0.257,0.26,0.516
2021-08-30,3,2,1,1,0,0,0,0,1,0,0.201,0.263,0.263,0.526
2021-08-31,0,0,0,0,0,0,0,0,0,0,0.201,0.263,0.263,0.526
2021-09-01,0,0,0,0,0,0,0,0,0,0,0.201,0.263,0.263,0.526
2021-09-03,2,2,0,0,0,0,0,0,0,2,0.199,0.26,0.26,0.52
2021-09-04,0,0,0,0,0,0,0,0,0,0,0.199,0.26,0.26,0.52
2021-09-05,4,3,1,2,0,0,0,1,0,0,0.207,0.27,0.266,0.536
2021-09-06,3,3,0,0,0,0,0,0,0,0,0.203,0.266,0.262,0.528
2021-09-07,3,3,0,0,0,0,0,0,0,2,0.2,0.262,0.258,0.52
2021-09-08,4,4,1,3,0,0,0,2,0,1,0.211,0.271,0.268,0.54
2021-09-09,3,3,0,0,0,0,0,0,0,0,0.208,0.268,0.264,0.532
2021-09-10,4,3,0,1,0,1,0,0,1,1,0.21,0.272,0.275,0.547
2021-09-11,4,4,1,1,1,0,0,0,0,0,0.211,0.271,0.279,0.551
2021-09-11,3,2,0,0,0,0,0,0,1,0,0.209,0.272,0.277,0.549
2021-09-12,4,4,0,0,0,0,0,1,0,2,0.205,0.268,0.271,0.539
2021-09-14,4,4,0,1,0,0,0,1,0,1,0.206,0.267,0.271,0.538
2021-09-15,4,4,0,0,0,0,0,0,0,4,0.202,0.263,0.266,0.529
2021-09-16,0,0,1,0,0,0,0,0,0,0,0.202,0.263,0.266,0.529
2021-09-17,3,3,0,1,0,0,0,0,0,0,0.204,0.264,0.267,0.531
2021-09-18,4,4,0,1,0,0,0,0,0,1,0.204,0.263,0.267,0.53
2021-09-19,4,4,0,1,1,0,0,0,0,3,0.205,0.263,0.271,0.534
2021-09-20,4,4,0,1,0,0,0,0,0,1,0.206,0.263,0.27,0.533
2021-09-21,4,2,1,0,0,0,0,0,2,0,0.204,0.267,0.268,0.535
2021-09-22,4,3,0,1,0,0,0,0,1,1,0.206,0.27,0.269,0.539
2021-09-23,3,3,0,1,1,0,0,0,0,1,0.207,0.271,0.274,0.545
2021-09-24,4,4,1,2,0,0,0,0,0,1,0.212,0.274,0.278,0.552
2021-09-25,3,3,1,2,0,0,1,2,0,1,0.218,0.279,0.294,0.573
2021-09-26,4,4,0,1,0,0,0,0,0,1,0.218,0.278,0.294,0.572
2021-09-28,3,1,1,1,0,0,0,0,2,0,0.221,0.286,0.296,0.583
2021-09-29,3,3,0,1,1,0,0,0,0,0,0.223,0.287,0.301,0.588
2021-09-30,4,4,1,2,0,0,0,0,0,1,0.227,0.29,0.304,0.594
2021-10-01,4,4,1,1,0,0,1,1,0,1,0.227,0.289,0.314,0.604
2021-10-02,3,3,0,0,0,0,0,0,0,2,0.225,0.286,0.311,0.597
2021-10-03,5,5,0,3,0,0,0,0,0,1,0.232,0.292,0.316,0.608
