PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-09-10,3,3,1,1,0,0,1,1,0,1,0.333,0.333,1.333,1.667
2019-09-11,3,3,1,1,0,0,1,3,0,0,0.333,0.333,1.333,1.667
2019-09-12,5,5,2,3,1,0,1,1,0,0,0.455,0.455,1.364,1.818
2019-09-13,5,4,0,1,0,0,0,1,0,1,0.4,0.375,1.067,1.442
2019-09-14,5,4,0,0,0,0,0,0,1,3,0.316,0.333,0.842,1.175
2019-09-15,6,6,2,3,1,0,1,3,0,2,0.36,0.37,0.92,1.29
2019-09-17,5,5,0,0,0,0,0,0,0,4,0.3,0.313,0.767,1.079
2019-09-18,4,4,1,1,0,0,1,1,0,2,0.294,0.306,0.794,1.1
2019-09-19,3,2,1,1,0,0,0,0,1,1,0.306,0.333,0.778,1.111
2019-09-20,4,4,2,2,1,0,1,2,0,2,0.325,0.349,0.85,1.199
2019-09-21,6,5,0,2,0,0,0,0,1,1,0.333,0.367,0.8,1.167
2019-09-22,4,4,0,1,0,0,0,0,0,1,0.327,0.358,0.755,1.114
2019-09-24,4,4,0,0,0,0,0,0,0,3,0.302,0.333,0.698,1.031
2019-09-25,3,3,0,0,0,0,0,0,0,1,0.286,0.317,0.661,0.977
2019-09-26,3,3,0,0,0,0,0,0,0,3,0.271,0.302,0.627,0.929
2019-09-27,4,4,0,1,1,0,0,0,0,1,0.27,0.299,0.619,0.918
2019-09-28,4,4,0,0,0,0,0,0,0,2,0.254,0.282,0.582,0.864
2019-09-29,4,4,0,2,1,0,0,1,0,1,0.268,0.293,0.592,0.885
2020-07-24,4,4,1,1,0,0,1,1,0,2,0.25,0.25,1.0,1.25
2020-07-25,4,3,1,1,0,0,1,1,1,2,0.286,0.375,1.143,1.518
2020-07-26,5,4,1,2,0,0,0,2,1,2,0.364,0.462,0.909,1.371
2020-07-27,5,4,1,2,0,0,0,0,1,2,0.4,0.5,0.8,1.3
2020-07-28,4,4,0,2,0,0,0,0,0,1,0.421,0.5,0.737,1.237
2020-07-29,5,5,1,3,0,0,0,1,0,1,0.458,0.519,0.708,1.227
2020-07-30,5,5,0,2,0,0,0,2,0,2,0.448,0.5,0.655,1.155
2020-07-31,4,4,1,2,0,0,0,1,0,1,0.455,0.5,0.636,1.136
2020-08-01,4,3,0,1,0,0,0,0,1,2,0.444,0.5,0.611,1.111
2020-08-02,4,4,1,1,0,0,1,1,0,2,0.425,0.477,0.65,1.127
2020-08-03,4,4,0,0,0,0,0,0,0,2,0.386,0.438,0.591,1.028
2020-08-04,4,4,1,1,1,0,0,0,0,0,0.375,0.423,0.583,1.006
2020-08-05,5,4,1,2,0,0,0,1,1,0,0.385,0.439,0.577,1.016
2020-08-07,4,4,1,1,0,0,0,0,0,1,0.375,0.426,0.554,0.98
2020-08-08,4,3,0,0,0,0,0,0,1,1,0.356,0.415,0.525,0.941
2020-08-09,4,3,1,1,0,0,0,0,1,0,0.355,0.42,0.516,0.936
2020-08-10,6,5,2,3,0,0,1,3,1,1,0.373,0.44,0.567,1.007
2020-08-11,4,3,0,0,0,0,0,0,1,1,0.357,0.43,0.543,0.973
2020-08-12,5,4,0,0,0,0,0,1,0,0,0.338,0.405,0.514,0.918
2020-08-14,3,1,0,0,0,0,0,0,2,0,0.333,0.414,0.507,0.92
