PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-11,4,3,0,2,1,0,0,0,1,0,0.667,0.75,1.0,1.75
2021-04-11,4,3,0,2,1,0,0,0,1,0,0.667,0.75,1.0,1.75
2021-04-11,4,3,0,2,1,0,0,0,1,0,0.667,0.75,1.0,1.75
2021-04-11,4,3,0,2,1,0,0,0,1,0,0.667,0.75,1.0,1.75
2021-04-12,1,1,0,0,0,0,0,0,0,1,0.5,0.6,0.75,1.35
2021-04-12,1,1,0,0,0,0,0,0,0,1,0.5,0.6,0.75,1.35
2021-04-12,1,1,0,0,0,0,0,0,0,1,0.5,0.6,0.75,1.35
2021-04-12,1,1,0,0,0,0,0,0,0,1,0.5,0.6,0.75,1.35
2021-04-13,2,2,0,0,0,0,0,0,0,1,0.333,0.429,0.5,0.929
2021-04-13,2,2,0,0,0,0,0,0,0,1,0.333,0.429,0.5,0.929
2021-04-13,2,2,0,0,0,0,0,0,0,1,0.333,0.429,0.5,0.929
2021-04-13,2,2,0,0,0,0,0,0,0,1,0.333,0.429,0.5,0.929
2021-05-13,4,4,0,0,0,0,0,0,0,4,0.2,0.273,0.3,0.573
2021-05-13,4,4,0,0,0,0,0,0,0,4,0.2,0.273,0.3,0.573
2021-05-13,4,4,0,0,0,0,0,0,0,4,0.2,0.273,0.3,0.573
2021-05-13,4,4,0,0,0,0,0,0,0,4,0.2,0.273,0.3,0.573
2021-05-15,1,1,0,1,0,0,0,0,0,0,0.273,0.333,0.364,0.697
2021-05-15,1,1,0,1,0,0,0,0,0,0,0.273,0.333,0.364,0.697
2021-05-15,1,1,0,1,0,0,0,0,0,0,0.273,0.333,0.364,0.697
2021-05-15,1,1,0,1,0,0,0,0,0,0,0.273,0.333,0.364,0.697
2021-05-28,5,2,2,1,0,0,0,1,2,0,0.308,0.471,0.385,0.855
2021-05-28,5,2,2,1,0,0,0,1,2,0,0.308,0.471,0.385,0.855
2021-05-28,5,2,2,1,0,0,0,1,2,0,0.308,0.471,0.385,0.855
2021-05-28,5,2,2,1,0,0,0,1,2,0,0.308,0.471,0.385,0.855
2021-05-29,2,2,1,1,0,0,0,0,0,0,0.333,0.474,0.4,0.874
2021-05-29,2,2,1,1,0,0,0,0,0,0,0.333,0.474,0.4,0.874
