PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,1,1,0,1,0,0,0,2,0,0,1.0,1.0,1.0,2.0
2018-04-01,1,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0
2018-04-02,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667
2018-04-04,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
2018-04-05,4,4,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25
2018-04-07,2,2,0,0,0,0,0,0,0,2,0.1,0.1,0.1,0.2
2018-04-10,4,4,0,1,1,0,0,1,0,2,0.143,0.143,0.214,0.357
2018-04-17,4,4,0,0,0,0,0,0,0,1,0.111,0.111,0.167,0.278
2018-04-18,6,5,0,0,0,0,0,0,1,2,0.087,0.125,0.13,0.255
2018-04-20,4,3,1,0,0,0,0,1,1,1,0.077,0.143,0.115,0.258
2018-04-21,4,4,0,2,1,0,0,0,0,1,0.133,0.188,0.2,0.388
2018-04-22,3,3,0,0,0,0,0,0,0,2,0.121,0.171,0.182,0.353
2018-04-23,0,0,0,0,0,0,0,0,0,0,0.121,0.171,0.182,0.353
2018-04-24,1,1,0,0,0,0,0,0,0,0,0.118,0.167,0.176,0.343
2018-04-25,4,3,0,0,0,0,0,1,1,0,0.108,0.175,0.162,0.337
2018-04-26,4,4,1,3,1,0,1,1,0,0,0.171,0.227,0.317,0.544
2018-04-27,5,4,0,3,1,0,0,1,1,0,0.222,0.286,0.378,0.664
2018-04-28,3,2,0,0,0,0,0,1,0,0,0.213,0.269,0.362,0.631
2018-04-29,4,3,0,0,0,0,0,0,1,1,0.2,0.268,0.34,0.608
2018-04-30,5,4,1,2,1,0,0,0,1,0,0.222,0.295,0.37,0.666
2018-05-01,4,4,0,0,0,0,0,0,0,1,0.207,0.277,0.345,0.622
2018-05-02,4,3,0,0,0,0,0,1,0,1,0.197,0.261,0.328,0.589
2018-05-03,4,4,0,0,0,0,0,0,0,0,0.185,0.247,0.308,0.554
2018-05-06,3,3,0,0,0,0,0,0,0,0,0.176,0.237,0.294,0.531
2018-05-07,4,4,1,3,1,0,0,2,0,0,0.208,0.263,0.333,0.596
2018-05-08,5,3,0,1,1,0,0,2,2,0,0.213,0.282,0.347,0.629
2018-05-10,1,1,0,0,0,0,0,0,0,1,0.211,0.279,0.342,0.621
2018-05-11,4,4,0,2,0,0,0,0,0,2,0.225,0.289,0.35,0.639
2018-05-12,1,1,0,0,0,0,0,0,0,1,0.222,0.286,0.346,0.631
2018-05-13,4,4,0,2,1,0,0,0,0,1,0.235,0.295,0.365,0.659
