PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,4,4,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0
2018-03-30,4,3,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
2018-04-01,4,4,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
2018-04-02,4,4,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
2018-04-03,4,4,0,2,1,0,0,1,0,0,0.105,0.1,0.158,0.258
2018-04-04,3,2,0,0,0,0,0,0,1,0,0.095,0.13,0.143,0.273
2018-04-06,4,4,0,0,0,0,0,0,0,2,0.08,0.111,0.12,0.231
2018-04-08,5,3,1,0,0,0,0,0,2,2,0.071,0.156,0.107,0.263
2018-04-09,4,4,0,2,1,0,0,0,0,1,0.125,0.194,0.188,0.382
2018-04-10,4,4,0,1,0,0,0,0,0,2,0.139,0.2,0.194,0.394
2018-04-11,4,3,0,0,0,0,0,0,0,2,0.128,0.205,0.179,0.384
2018-04-13,4,2,1,1,0,0,1,1,0,1,0.146,0.25,0.268,0.518
2018-04-15,4,3,1,2,1,0,1,3,0,0,0.182,0.288,0.386,0.675
2018-04-16,4,4,0,0,0,0,0,0,0,0,0.167,0.268,0.354,0.622
2018-04-18,4,4,0,0,0,0,0,0,0,2,0.154,0.25,0.327,0.577
2018-04-20,4,3,0,0,0,0,0,0,0,2,0.145,0.25,0.309,0.559
2018-04-21,5,4,1,1,1,0,0,0,1,3,0.153,0.261,0.322,0.583
2018-04-23,4,4,1,1,0,0,1,2,0,2,0.159,0.26,0.365,0.625
2018-04-24,4,3,0,1,1,0,0,0,1,0,0.167,0.273,0.379,0.652
2018-04-28,4,4,2,2,0,0,2,2,0,1,0.186,0.284,0.471,0.755
2018-04-29,3,3,0,0,0,0,0,0,0,3,0.178,0.274,0.452,0.726
2018-04-30,4,4,1,1,0,0,1,1,0,2,0.182,0.273,0.481,0.753
2018-05-01,5,5,0,1,0,0,0,0,0,2,0.183,0.269,0.463,0.732
2018-05-03,4,4,1,2,1,0,0,1,0,1,0.198,0.278,0.477,0.755
2018-05-04,3,3,0,0,0,0,0,0,0,2,0.191,0.27,0.461,0.731
2018-05-05,4,4,1,1,0,0,0,0,0,3,0.194,0.269,0.452,0.721
2018-05-07,4,4,0,0,0,0,0,0,0,3,0.186,0.259,0.433,0.692
2018-05-11,3,3,0,0,0,0,0,0,0,3,0.18,0.252,0.42,0.672
2018-05-12,3,3,0,0,0,0,0,0,0,1,0.175,0.246,0.408,0.653
2018-05-15,5,4,0,3,0,0,0,3,1,1,0.196,0.269,0.421,0.69
2018-05-16,2,1,0,0,0,0,0,0,1,1,0.194,0.273,0.417,0.689
2018-05-17,4,3,0,1,0,0,0,0,1,1,0.198,0.28,0.414,0.694
2018-05-18,5,4,1,1,0,0,0,0,1,2,0.2,0.285,0.409,0.693
2018-05-19,4,4,0,1,0,0,0,0,0,2,0.202,0.284,0.403,0.687
2018-05-21,4,4,0,0,0,0,0,0,0,2,0.195,0.275,0.39,0.666
2018-05-22,4,3,1,0,0,0,0,0,0,3,0.19,0.275,0.381,0.656
2018-05-24,3,3,0,0,0,0,0,0,0,1,0.186,0.269,0.372,0.641
2018-05-25,4,2,2,0,0,0,0,0,2,1,0.183,0.275,0.366,0.642
2018-05-26,1,1,0,0,0,0,0,0,0,0,0.182,0.273,0.364,0.637
2018-05-27,4,4,1,2,0,0,1,2,0,2,0.191,0.279,0.39,0.669
2018-05-28,3,1,0,0,0,0,0,0,2,0,0.19,0.287,0.387,0.674
2018-05-30,5,5,0,3,1,0,0,3,0,1,0.204,0.296,0.401,0.698
2018-05-31,4,3,0,0,0,0,0,0,1,1,0.2,0.295,0.393,0.688
2018-06-02,4,3,0,0,0,0,0,0,1,2,0.196,0.294,0.385,0.679
2018-06-03,4,3,0,1,0,0,0,0,1,2,0.199,0.299,0.384,0.683
2018-06-05,4,4,1,1,0,0,1,1,0,2,0.2,0.298,0.4,0.698
2018-06-06,4,2,1,0,0,0,0,0,2,2,0.197,0.302,0.395,0.697
2018-06-07,1,1,0,1,1,0,0,1,0,0,0.203,0.306,0.405,0.711
2018-06-08,4,4,0,0,0,0,0,0,0,3,0.198,0.299,0.395,0.694
2018-06-09,5,3,1,1,0,0,0,0,1,1,0.2,0.307,0.394,0.701
2018-06-12,3,2,0,0,0,0,0,0,1,0,0.198,0.308,0.389,0.697
2018-06-13,1,1,0,0,0,0,0,0,0,0,0.196,0.306,0.387,0.693
