PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-05-16,3,3,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667
2018-05-18,3,3,0,2,1,0,0,1,0,1,0.5,0.5,0.667,1.167
2018-05-19,4,4,0,0,0,0,0,0,0,1,0.3,0.3,0.4,0.7
2018-05-20,3,2,0,1,0,0,0,0,1,0,0.333,0.385,0.417,0.801
2018-05-22,4,2,0,2,0,0,0,5,0,0,0.429,0.438,0.5,0.938
2018-05-23,3,1,1,0,0,0,0,0,2,0,0.4,0.474,0.467,0.94
2018-05-24,4,3,1,1,0,0,0,0,0,0,0.389,0.478,0.444,0.923
2018-05-25,2,2,0,1,0,0,0,0,0,0,0.4,0.48,0.45,0.93
2018-05-26,4,4,1,1,0,0,1,2,0,1,0.375,0.448,0.542,0.99
2018-05-27,6,6,0,1,1,0,0,0,0,0,0.333,0.4,0.5,0.9
2018-05-29,5,3,0,0,0,0,0,0,2,1,0.303,0.4,0.455,0.854
2018-05-30,4,4,0,0,0,0,0,0,0,0,0.27,0.364,0.405,0.769
2018-05-31,3,2,0,1,0,0,0,1,1,1,0.282,0.383,0.41,0.793
2018-06-01,2,2,0,1,0,0,0,0,0,0,0.293,0.388,0.415,0.802
2018-06-02,3,3,0,0,0,0,0,0,0,1,0.273,0.365,0.386,0.752
2018-06-03,4,2,1,0,0,0,0,0,1,0,0.261,0.364,0.37,0.733
2018-06-06,4,4,2,3,1,0,0,0,0,0,0.3,0.39,0.42,0.81
2018-06-07,4,4,0,0,0,0,0,0,0,0,0.278,0.365,0.389,0.754
2018-06-08,4,3,1,1,0,0,0,1,1,0,0.281,0.373,0.386,0.759
2018-06-09,4,4,0,2,1,0,0,0,0,0,0.295,0.38,0.41,0.79
2018-06-10,4,3,1,0,0,0,0,0,1,1,0.281,0.373,0.391,0.764
2018-06-12,4,4,0,2,1,0,0,0,0,1,0.294,0.38,0.412,0.792
2018-06-13,1,1,0,0,0,0,0,0,0,0,0.29,0.375,0.406,0.781
2018-06-14,4,4,1,2,1,0,0,0,0,0,0.301,0.381,0.425,0.806
2018-06-15,3,3,0,2,0,0,0,0,0,0,0.316,0.391,0.434,0.825
2018-06-16,0,0,0,0,0,0,0,0,0,0,0.316,0.391,0.434,0.825
2018-06-18,4,3,0,1,0,0,0,0,0,0,0.316,0.389,0.43,0.819
2018-06-19,1,1,0,0,0,0,0,0,0,0,0.313,0.385,0.425,0.81
2018-06-20,3,3,0,1,0,0,0,1,0,0,0.313,0.383,0.422,0.805
2018-06-22,2,2,0,0,0,0,0,0,0,0,0.306,0.375,0.412,0.787
2018-06-24,4,2,1,1,0,0,0,1,1,0,0.31,0.384,0.414,0.798
2018-06-25,1,0,0,0,0,0,0,0,1,0,0.31,0.39,0.414,0.804
2018-06-26,0,0,1,0,0,0,0,0,0,0,0.31,0.39,0.414,0.804
2018-06-27,4,4,1,2,0,0,0,0,0,2,0.319,0.394,0.418,0.812
2018-06-29,3,3,0,0,0,0,0,0,0,0,0.309,0.383,0.404,0.787
2018-07-01,3,3,0,1,0,0,0,0,0,2,0.309,0.382,0.402,0.784
2018-07-03,4,2,1,1,0,0,1,2,2,0,0.313,0.395,0.434,0.829
