Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-06-22,5,4,2,2,1,0,1,3,1,0,0.5,0.6,1.5,2.1
1,2021-06-23,5,3,1,0,0,0,0,0,2,1,0.286,0.5,0.857,1.357
2,2021-06-24,4,4,0,0,0,0,0,0,0,3,0.182,0.357,0.545,0.903
3,2021-06-25,4,4,1,0,0,0,0,0,0,0,0.133,0.278,0.4,0.678
4,2021-06-26,5,4,0,0,0,0,0,1,1,1,0.105,0.261,0.316,0.577
5,2021-06-27,4,3,1,1,0,0,0,0,1,0,0.136,0.296,0.318,0.614
6,2021-06-29,4,4,0,1,0,0,0,0,0,0,0.154,0.29,0.308,0.598
7,2021-06-30,5,5,1,2,0,0,0,1,0,1,0.194,0.306,0.323,0.628
8,June,36,31,6,6,1,0,1,5,5,6,0.194,0.306,0.323,0.628
9,2021-07-02,4,4,0,1,0,0,0,0,0,1,0.2,0.3,0.314,0.614
10,2021-07-03,4,4,0,1,0,0,0,0,0,1,0.205,0.295,0.308,0.603
11,2021-07-04,4,4,1,2,1,0,1,1,0,0,0.233,0.313,0.419,0.731
12,2021-07-05,5,5,0,1,0,0,0,1,0,1,0.229,0.302,0.396,0.698
13,2021-07-07,4,4,1,1,0,0,0,0,0,0,0.231,0.298,0.385,0.683
14,2021-07-09,5,5,0,0,0,0,0,0,0,4,0.211,0.274,0.351,0.625
15,2021-07-11,4,4,0,0,0,0,0,0,0,2,0.197,0.258,0.328,0.585
16,2021-07-16,6,6,2,2,0,1,0,0,0,2,0.209,0.264,0.358,0.622
17,2021-07-17,4,4,0,1,0,0,0,0,0,0,0.211,0.263,0.352,0.615
18,2021-07-18,4,3,1,1,0,0,1,1,1,2,0.216,0.275,0.392,0.667
19,2021-07-20,4,3,0,0,0,0,0,1,0,0,0.208,0.262,0.377,0.638
20,2021-07-21,4,3,0,0,0,0,0,0,1,1,0.2,0.261,0.363,0.624
21,2021-07-22,5,5,0,2,0,0,0,0,0,0,0.212,0.269,0.365,0.634
22,2021-07-23,5,5,1,3,0,0,0,1,0,0,0.233,0.286,0.378,0.664
23,2021-07-24,5,5,0,0,0,0,0,0,0,1,0.221,0.272,0.358,0.63
24,2021-07-25,4,4,0,1,1,0,0,0,0,0,0.222,0.271,0.364,0.635
25,2021-07-27,5,3,0,1,0,0,0,0,2,1,0.225,0.286,0.363,0.648
26,2021-07-28,4,4,1,1,0,0,0,0,0,1,0.226,0.284,0.358,0.643
27,2021-07-29,4,3,1,0,0,0,0,0,1,2,0.22,0.283,0.349,0.632
28,2021-07-30,4,4,1,2,1,1,0,2,0,1,0.23,0.29,0.381,0.671
29,2021-07-31,4,4,1,2,0,1,0,2,0,0,0.239,0.297,0.402,0.699
30,July,92,86,10,22,3,3,2,9,5,20,0.256,0.293,0.43,0.724
31,2021-08-01,3,3,1,2,0,0,0,0,0,0,0.25,0.305,0.408,0.714
32,2021-08-03,4,4,0,1,0,0,0,0,0,2,0.25,0.304,0.403,0.707
33,2021-08-04,4,3,0,0,0,0,0,0,1,0,0.244,0.302,0.394,0.696
34,2021-08-06,5,5,1,2,0,0,0,2,0,1,0.25,0.306,0.394,0.7
35,2021-08-07,5,5,1,1,0,0,1,1,0,0,0.248,0.302,0.409,0.711
36,2021-08-08,5,4,1,0,0,0,0,1,1,0,0.241,0.299,0.397,0.696
37,2021-08-10,5,4,1,1,0,0,0,1,1,1,0.241,0.302,0.393,0.695
38,2021-08-11,4,3,1,1,0,0,0,1,1,1,0.243,0.307,0.392,0.699
39,2021-08-12,5,5,1,1,0,0,1,2,0,0,0.242,0.304,0.405,0.709
40,2021-08-13,5,5,1,1,1,0,0,0,0,1,0.241,0.301,0.405,0.706
41,2021-08-14,3,2,0,0,0,0,0,0,0,0,0.238,0.301,0.4,0.701
42,2021-08-15,4,4,1,2,1,0,1,2,0,0,0.244,0.306,0.427,0.732
43,2021-08-17,4,4,1,1,0,0,0,0,0,0,0.244,0.304,0.423,0.727
44,2021-08-18,5,4,1,3,1,0,0,2,1,0,0.256,0.317,0.436,0.754
45,2021-08-19,4,2,2,1,0,0,0,0,1,0,0.259,0.326,0.437,0.763
46,2021-08-20,5,5,1,1,0,0,0,1,0,1,0.257,0.323,0.43,0.753
47,2021-08-21,4,4,2,2,1,0,0,1,0,0,0.262,0.327,0.437,0.764
48,2021-08-22,5,5,3,2,2,0,0,1,0,0,0.266,0.329,0.447,0.775
49,2021-08-24,4,4,1,1,0,0,0,0,0,1,0.266,0.327,0.443,0.77
50,2021-08-25,5,5,2,3,2,0,0,0,0,0,0.274,0.333,0.457,0.79
51,2021-08-27,4,3,1,0,0,0,0,0,1,0,0.27,0.332,0.45,0.782
52,2021-08-28,4,4,0,1,0,0,0,0,0,0,0.27,0.33,0.446,0.776
53,2021-08-29,5,4,2,2,0,0,0,1,1,0,0.274,0.336,0.447,0.783
54,2021-08-30,5,5,0,1,0,0,0,2,0,0,0.272,0.333,0.441,0.775
55,2021-08-31,4,3,1,1,0,0,0,1,1,0,0.273,0.336,0.44,0.776
56,August,110,99,26,31,8,0,3,19,9,8,0.313,0.382,0.485,0.867
57,2021-09-01,4,4,1,2,1,0,1,2,0,0,0.277,0.339,0.459,0.798
58,2021-09-02,3,2,0,0,0,0,0,0,1,0,0.275,0.339,0.455,0.794
59,2021-09-04,5,5,2,2,1,0,0,1,0,0,0.278,0.34,0.458,0.798
60,2021-09-05,5,5,0,2,1,0,0,0,0,1,0.28,0.341,0.461,0.802
61,2021-09-06,6,6,3,4,0,1,0,0,0,0,0.29,0.349,0.475,0.823
62,2021-09-07,5,4,1,0,0,0,0,0,1,0,0.285,0.346,0.467,0.813
63,2021-09-08,4,3,0,0,0,0,0,0,1,0,0.282,0.344,0.461,0.806
64,2021-09-10,1,1,0,1,0,0,0,0,0,0,0.285,0.347,0.463,0.81
65,2021-09-24,5,4,0,1,1,0,0,0,1,1,0.284,0.348,0.464,0.812
66,2021-09-26,4,4,2,2,1,1,0,0,0,0,0.287,0.35,0.476,0.826
67,2021-09-28,4,3,0,0,0,0,0,0,1,0,0.284,0.349,0.471,0.819
68,2021-09-29,5,5,0,3,1,0,0,0,0,0,0.29,0.353,0.477,0.83
69,2021-09-30,4,4,0,0,0,0,0,0,0,0,0.286,0.348,0.47,0.818
70,September,55,50,9,17,6,2,1,3,5,2,0.34,0.4,0.6,1.0
71,2021-10-01,5,5,0,1,0,0,0,2,0,1,0.284,0.346,0.465,0.811
72,2021-10-02,6,6,2,3,0,0,0,1,0,0,0.289,0.349,0.466,0.814
73,2021-10-03,4,4,0,1,0,0,0,0,0,0,0.288,0.347,0.463,0.81
74,October,15,15,2,5,0,0,0,3,0,1,0.333,0.333,0.333,0.667
0,2021-06-22,5,4,2,2,1,0,1,3,1,0,0.5,0.6,1.5,2.1
1,2021-06-23,5,3,1,0,0,0,0,0,2,1,0.286,0.5,0.857,1.357
2,2021-06-24,4,4,0,0,0,0,0,0,0,3,0.182,0.357,0.545,0.903
3,2021-06-25,4,4,1,0,0,0,0,0,0,0,0.133,0.278,0.4,0.678
4,2021-06-26,5,4,0,0,0,0,0,1,1,1,0.105,0.261,0.316,0.577
5,2021-06-27,4,3,1,1,0,0,0,0,1,0,0.136,0.296,0.318,0.614
6,2021-06-29,4,4,0,1,0,0,0,0,0,0,0.154,0.29,0.308,0.598
7,2021-06-30,5,5,1,2,0,0,0,1,0,1,0.194,0.306,0.323,0.628
8,June,36,31,6,6,1,0,1,5,5,6,0.194,0.306,0.323,0.628
9,2021-07-02,4,4,0,1,0,0,0,0,0,1,0.2,0.3,0.314,0.614
10,2021-07-03,4,4,0,1,0,0,0,0,0,1,0.205,0.295,0.308,0.603
11,2021-07-04,4,4,1,2,1,0,1,1,0,0,0.233,0.313,0.419,0.731
12,2021-07-05,5,5,0,1,0,0,0,1,0,1,0.229,0.302,0.396,0.698
13,2021-07-07,4,4,1,1,0,0,0,0,0,0,0.231,0.298,0.385,0.683
14,2021-07-09,5,5,0,0,0,0,0,0,0,4,0.211,0.274,0.351,0.625
15,2021-07-11,4,4,0,0,0,0,0,0,0,2,0.197,0.258,0.328,0.585
16,2021-07-16,6,6,2,2,0,1,0,0,0,2,0.209,0.264,0.358,0.622
17,2021-07-17,4,4,0,1,0,0,0,0,0,0,0.211,0.263,0.352,0.615
18,2021-07-18,4,3,1,1,0,0,1,1,1,2,0.216,0.275,0.392,0.667
19,2021-07-20,4,3,0,0,0,0,0,1,0,0,0.208,0.262,0.377,0.638
20,2021-07-21,4,3,0,0,0,0,0,0,1,1,0.2,0.261,0.363,0.624
21,2021-07-22,5,5,0,2,0,0,0,0,0,0,0.212,0.269,0.365,0.634
22,2021-07-23,5,5,1,3,0,0,0,1,0,0,0.233,0.286,0.378,0.664
23,2021-07-24,5,5,0,0,0,0,0,0,0,1,0.221,0.272,0.358,0.63
24,2021-07-25,4,4,0,1,1,0,0,0,0,0,0.222,0.271,0.364,0.635
25,2021-07-27,5,3,0,1,0,0,0,0,2,1,0.225,0.286,0.363,0.648
26,2021-07-28,4,4,1,1,0,0,0,0,0,1,0.226,0.284,0.358,0.643
27,2021-07-29,4,3,1,0,0,0,0,0,1,2,0.22,0.283,0.349,0.632
28,2021-07-30,4,4,1,2,1,1,0,2,0,1,0.23,0.29,0.381,0.671
29,2021-07-31,4,4,1,2,0,1,0,2,0,0,0.239,0.297,0.402,0.699
30,July,92,86,10,22,3,3,2,9,5,20,0.256,0.293,0.43,0.724
31,2021-08-01,3,3,1,2,0,0,0,0,0,0,0.25,0.305,0.408,0.714
32,2021-08-03,4,4,0,1,0,0,0,0,0,2,0.25,0.304,0.403,0.707
33,2021-08-04,4,3,0,0,0,0,0,0,1,0,0.244,0.302,0.394,0.696
34,2021-08-06,5,5,1,2,0,0,0,2,0,1,0.25,0.306,0.394,0.7
35,2021-08-07,5,5,1,1,0,0,1,1,0,0,0.248,0.302,0.409,0.711
36,2021-08-08,5,4,1,0,0,0,0,1,1,0,0.241,0.299,0.397,0.696
37,2021-08-10,5,4,1,1,0,0,0,1,1,1,0.241,0.302,0.393,0.695
