PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-30,7,7,2,3,1,0,0,0,0,3,0.429,0.429,0.571,1.0
2018-04-01,4,3,1,1,0,0,0,0,1,1,0.4,0.455,0.5,0.954
2018-04-02,2,1,0,0,0,0,0,0,0,0,0.364,0.417,0.455,0.871
2018-04-05,1,1,0,0,0,0,0,0,0,0,0.333,0.385,0.417,0.801
2018-04-06,1,1,0,0,0,0,0,0,0,0,0.308,0.357,0.385,0.742
2018-04-07,4,4,0,1,0,0,0,1,0,0,0.294,0.333,0.353,0.686
2018-04-10,1,1,0,0,0,0,0,0,0,0,0.278,0.316,0.333,0.649
2018-04-11,1,1,0,0,0,0,0,0,0,1,0.263,0.3,0.316,0.616
2018-04-12,5,5,1,2,0,0,1,1,0,0,0.292,0.32,0.458,0.778
2018-04-13,1,1,0,0,0,0,0,0,0,0,0.28,0.308,0.44,0.748
2018-04-14,1,0,0,0,0,0,0,0,1,0,0.28,0.333,0.44,0.773
2018-04-15,3,3,1,0,0,0,0,0,0,0,0.25,0.3,0.393,0.693
2018-04-16,4,4,0,0,0,0,0,0,0,1,0.219,0.265,0.344,0.608
2018-04-17,1,1,0,0,0,0,0,0,0,0,0.212,0.257,0.333,0.59
2018-04-18,5,5,2,3,0,0,0,1,0,1,0.263,0.3,0.368,0.668
2018-04-19,4,4,0,0,0,0,0,0,0,3,0.238,0.273,0.333,0.606
2018-04-20,5,5,0,0,0,0,0,0,0,1,0.213,0.245,0.298,0.543
2018-04-21,1,1,0,1,0,0,0,0,0,0,0.229,0.26,0.313,0.572
2018-04-22,1,1,0,0,0,0,0,0,0,0,0.224,0.255,0.306,0.561
2018-04-25,6,6,1,1,0,0,0,0,0,0,0.218,0.246,0.291,0.536
2018-04-25,1,1,0,0,0,0,0,0,0,1,0.214,0.241,0.286,0.527
2018-04-26,4,4,0,2,1,0,0,0,0,1,0.233,0.258,0.317,0.575
2018-04-27,3,3,0,0,0,0,0,0,0,0,0.222,0.246,0.302,0.548
2018-04-28,3,2,1,2,0,0,0,0,1,0,0.246,0.279,0.323,0.602
2018-04-29,4,3,0,1,0,0,0,1,0,1,0.25,0.292,0.324,0.615
2018-04-30,4,4,0,1,0,0,0,0,0,2,0.25,0.289,0.319,0.609
2018-05-01,5,4,0,0,0,0,0,0,1,1,0.237,0.284,0.303,0.587
2018-05-02,2,2,0,1,0,0,0,0,0,1,0.244,0.289,0.308,0.597
2018-05-03,4,4,0,1,0,0,0,0,0,0,0.244,0.287,0.305,0.592
2018-05-04,3,3,0,0,0,0,0,0,0,2,0.235,0.278,0.294,0.572
2018-05-05,3,3,1,2,0,0,0,0,0,0,0.25,0.29,0.307,0.597
2018-05-06,5,4,1,2,0,0,1,1,1,0,0.261,0.306,0.348,0.654
2018-05-08,5,4,1,0,0,0,0,0,1,0,0.25,0.301,0.333,0.634
2018-05-09,3,3,0,0,0,0,0,0,0,0,0.242,0.292,0.323,0.616
2018-05-11,1,0,1,0,0,0,0,0,1,0,0.242,0.299,0.323,0.622
2018-05-12,3,3,0,0,0,0,0,0,0,0,0.235,0.291,0.314,0.605
2018-05-13,2,2,0,0,0,0,0,0,0,0,0.231,0.286,0.308,0.593
2018-05-15,5,4,2,1,0,0,1,1,0,0,0.231,0.291,0.333,0.624
2018-05-16,1,1,0,0,0,0,0,0,0,0,0.229,0.288,0.33,0.618
2018-05-18,5,2,2,0,0,0,0,0,3,0,0.225,0.301,0.324,0.625
2018-05-19,1,1,0,0,0,0,0,0,0,0,0.223,0.298,0.321,0.62
2018-05-20,1,1,0,1,0,0,0,0,0,0,0.23,0.304,0.327,0.631
2018-05-23,1,1,0,0,0,0,0,0,0,0,0.228,0.302,0.325,0.626
2018-05-24,4,3,1,1,0,0,0,0,1,1,0.231,0.308,0.325,0.632
2018-05-25,1,1,0,0,0,0,0,0,0,0,0.229,0.305,0.322,0.627
2018-05-26,1,1,0,0,0,0,0,0,0,0,0.227,0.303,0.319,0.622
2018-05-27,3,3,1,1,0,1,0,2,0,0,0.23,0.304,0.336,0.64
2018-05-28,1,1,0,0,0,0,0,0,0,0,0.228,0.301,0.333,0.635
2018-05-29,1,1,1,1,0,0,0,0,0,0,0.234,0.307,0.339,0.645
2018-05-30,1,0,0,0,0,0,0,0,1,0,0.234,0.312,0.339,0.65
2018-05-31,1,0,1,0,0,0,0,0,1,0,0.234,0.317,0.339,0.655
2018-06-01,4,4,2,2,1,1,0,0,0,0,0.242,0.322,0.367,0.689
2018-06-03,4,4,0,0,0,0,0,0,0,1,0.235,0.313,0.356,0.669
