PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-06-05,3,3,0,1,0,0,0,0,0,1,0.333,0.333,0.333,0.667
2018-06-07,4,4,1,1,0,0,1,1,0,0,0.286,0.286,0.714,1.0
2018-06-08,2,2,0,0,0,0,0,0,0,1,0.222,0.222,0.556,0.778
2018-06-12,3,3,0,1,0,0,0,0,0,1,0.25,0.25,0.5,0.75
2018-06-13,2,2,0,0,0,0,0,0,0,2,0.214,0.214,0.429,0.643
2018-06-16,4,4,1,1,0,0,0,0,0,2,0.222,0.222,0.389,0.611
2018-06-17,4,4,1,1,0,0,0,0,0,2,0.227,0.227,0.364,0.591
2018-06-22,2,1,0,0,0,0,0,0,0,1,0.217,0.217,0.348,0.565
2018-06-24,3,3,1,0,0,0,0,0,0,0,0.192,0.192,0.308,0.5
2018-06-26,0,0,0,0,0,0,0,0,0,0,0.192,0.192,0.308,0.5
2018-07-21,3,2,0,0,0,0,0,0,1,0,0.179,0.207,0.286,0.493
2018-07-27,1,1,0,1,0,0,0,1,0,0,0.207,0.233,0.31,0.544
2018-07-29,4,3,3,1,0,0,1,1,1,0,0.219,0.265,0.406,0.671
2018-07-31,4,4,1,2,1,0,0,0,0,1,0.25,0.289,0.444,0.734
2018-08-02,0,0,0,0,0,0,0,0,0,0,0.25,0.289,0.444,0.734
2018-08-05,4,4,1,2,0,0,1,3,0,1,0.275,0.31,0.525,0.834
2018-08-09,3,3,0,1,0,0,0,1,0,0,0.279,0.311,0.512,0.823
2018-08-11,3,3,0,1,0,0,0,0,0,1,0.283,0.313,0.5,0.812
2018-08-11,0,0,0,0,0,0,0,0,0,0,0.283,0.313,0.5,0.812
2018-08-12,4,4,0,1,0,0,0,0,0,1,0.28,0.308,0.48,0.788
2018-08-15,4,4,2,2,1,0,0,1,0,0,0.296,0.321,0.5,0.821
2018-08-18,3,2,1,0,0,0,0,0,1,0,0.286,0.322,0.482,0.804
2018-08-19,1,1,0,0,0,0,0,0,0,0,0.281,0.317,0.474,0.79
2018-08-22,3,3,0,0,0,0,0,0,0,2,0.267,0.302,0.45,0.752
2018-08-24,4,4,0,0,0,0,0,0,0,1,0.25,0.284,0.422,0.706
2018-08-25,4,4,0,0,0,0,0,0,0,1,0.235,0.268,0.397,0.665
2018-08-29,4,3,3,2,0,0,0,1,0,1,0.254,0.284,0.408,0.692
2018-09-01,4,4,0,2,0,0,0,0,0,0,0.267,0.295,0.413,0.708
2018-09-04,4,4,0,0,0,0,0,0,0,0,0.253,0.28,0.392,0.673
2018-09-07,2,2,0,1,0,0,0,0,0,1,0.259,0.286,0.395,0.681
2018-09-11,0,0,0,0,0,0,0,0,0,0,0.259,0.286,0.395,0.681
2018-09-12,3,3,0,0,0,0,0,0,0,1,0.25,0.276,0.381,0.657
2018-09-14,2,2,0,0,0,0,0,0,0,0,0.244,0.27,0.372,0.642
2018-09-16,2,1,0,0,0,0,0,0,0,0,0.241,0.267,0.368,0.634
2018-09-17,3,3,0,0,0,0,0,0,0,0,0.233,0.258,0.356,0.614
2018-09-19,3,3,0,2,0,0,0,0,0,0,0.247,0.271,0.366,0.636
2018-09-21,4,4,1,1,0,0,1,1,0,0,0.247,0.27,0.392,0.662
2018-09-22,1,1,0,0,0,0,0,0,0,0,0.245,0.267,0.388,0.655
2018-09-23,4,4,0,1,0,0,0,0,0,2,0.245,0.267,0.382,0.649
2018-09-26,4,3,0,1,0,0,0,0,1,0,0.248,0.275,0.381,0.656
2018-09-28,3,3,0,1,0,0,0,0,0,2,0.25,0.277,0.38,0.656
2018-09-29,3,2,0,1,0,0,0,1,1,0,0.255,0.287,0.382,0.669
2019-04-28,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019-05-01,4,4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2019-05-04,3,3,0,1,0,0,0,0,0,0,0.091,0.091,0.091,0.182
2019-05-07,3,2,0,0,0,0,0,0,1,1,0.077,0.143,0.077,0.22
2019-05-11,4,4,0,1,0,0,0,0,0,1,0.118,0.167,0.118,0.284
2019-05-15,3,3,0,2,1,0,0,1,0,1,0.2,0.238,0.25,0.488
2019-05-15,1,1,0,0,0,0,0,0,0,0,0.19,0.227,0.238,0.465
2019-05-17,4,3,1,2,0,0,0,0,1,1,0.25,0.308,0.292,0.599
