PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,5,3,2,2,0,0,0,0,1,0,0.667,0.8,0.667,1.467
2018-04-03,4,3,0,0,0,0,0,0,0,1,0.333,0.556,0.333,0.889
2018-04-04,3,1,1,0,0,0,0,0,2,0,0.286,0.583,0.286,0.869
2018-04-05,1,1,1,1,1,0,0,0,0,0,0.375,0.615,0.5,1.115
2018-04-07,1,0,0,0,0,0,0,0,1,0,0.375,0.643,0.5,1.143
2018-04-09,1,1,0,0,0,0,0,0,0,0,0.333,0.6,0.444,1.044
2018-04-13,1,1,0,0,0,0,0,0,0,0,0.3,0.563,0.4,0.962
2018-04-15,5,5,2,3,0,1,1,1,0,1,0.4,0.571,0.8,1.371
2018-04-16,5,5,1,1,0,1,0,0,0,2,0.35,0.5,0.75,1.25
2018-04-17,1,1,0,0,0,0,0,0,0,1,0.333,0.481,0.714,1.196
2018-04-18,1,0,0,0,0,0,0,0,0,0,0.333,0.5,0.714,1.214
2018-04-19,1,0,0,0,0,0,0,1,1,0,0.333,0.517,0.714,1.232
2018-04-20,1,0,0,0,0,0,0,0,1,0,0.333,0.533,0.714,1.248
2018-04-24,1,1,0,0,0,0,0,0,0,1,0.318,0.516,0.682,1.198
2018-04-25,1,1,0,0,0,0,0,0,0,1,0.304,0.5,0.652,1.152
2018-04-26,6,4,1,1,0,0,0,0,0,2,0.296,0.5,0.593,1.093
2018-04-28,1,1,0,0,0,0,0,0,0,0,0.286,0.487,0.571,1.059
2018-04-29,4,4,1,2,0,0,0,1,0,1,0.313,0.488,0.563,1.051
2018-05-01,1,1,0,0,0,0,0,0,0,0,0.303,0.477,0.545,1.023
2018-05-02,1,1,0,0,0,0,0,0,0,1,0.294,0.467,0.529,0.996
2018-05-03,1,0,0,0,0,0,0,0,1,0,0.294,0.478,0.529,1.008
2018-05-04,5,4,1,1,0,0,0,0,1,1,0.289,0.471,0.5,0.971
2018-05-05,4,3,0,0,0,0,0,0,1,1,0.268,0.455,0.463,0.918
2018-05-06,3,2,0,0,0,0,0,0,1,2,0.256,0.448,0.442,0.89
2018-05-08,1,1,0,0,0,0,0,0,0,1,0.25,0.441,0.432,0.872
2018-05-09,5,3,1,1,0,1,0,0,2,1,0.255,0.453,0.468,0.921
