PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,4,3,1,2,0,0,0,2,1,0,0.667,0.75,0.667,1.417
2018-03-30,8,8,1,2,0,0,0,0,0,2,0.364,0.417,0.364,0.78
2018-03-31,5,4,1,1,0,0,0,0,1,0,0.333,0.412,0.333,0.745
2018-04-01,4,3,0,1,1,0,0,3,1,1,0.333,0.429,0.389,0.818
2018-04-02,5,3,1,1,0,0,1,1,1,0,0.333,0.462,0.524,0.985
2018-04-03,6,4,2,1,0,0,0,0,2,2,0.32,0.469,0.48,0.949
2018-04-05,3,3,0,1,1,0,0,0,0,0,0.321,0.457,0.5,0.957
2018-04-07,4,4,0,0,0,0,0,0,0,1,0.281,0.41,0.438,0.848
2018-04-08,4,3,1,1,1,0,0,2,1,0,0.286,0.419,0.457,0.876
2018-04-09,4,3,1,1,1,0,0,1,1,0,0.289,0.426,0.474,0.899
2018-04-10,5,3,0,2,0,0,0,0,1,0,0.317,0.462,0.488,0.949
2018-04-11,3,3,0,0,0,0,0,0,0,0,0.295,0.436,0.455,0.891
2018-04-13,4,4,0,0,0,0,0,0,0,0,0.271,0.407,0.417,0.823
2018-04-14,4,4,0,2,0,0,0,0,0,0,0.288,0.413,0.423,0.836
2018-04-15,4,4,0,0,0,0,0,1,0,0,0.268,0.388,0.393,0.781
2018-04-16,4,3,0,0,0,0,0,0,1,3,0.254,0.38,0.373,0.753
2018-04-17,4,2,1,0,0,0,0,0,1,1,0.246,0.387,0.361,0.747
2018-04-19,4,4,0,0,0,0,0,0,0,1,0.231,0.367,0.338,0.706
2018-04-20,4,3,0,1,0,0,0,0,1,0,0.235,0.373,0.338,0.712
2018-04-21,4,3,0,2,1,0,0,1,0,1,0.254,0.391,0.366,0.757
2018-04-22,4,4,0,1,0,0,0,0,0,2,0.253,0.385,0.36,0.745
2018-04-23,4,3,0,1,0,0,0,1,1,1,0.256,0.389,0.359,0.748
2018-04-24,4,4,1,1,0,0,0,0,0,2,0.256,0.384,0.354,0.738
2018-04-25,5,4,0,1,0,0,0,0,1,3,0.256,0.385,0.349,0.734
2018-04-27,4,4,0,0,0,0,0,0,0,3,0.244,0.37,0.333,0.704
2018-04-28,4,4,0,1,0,0,0,0,0,1,0.245,0.366,0.33,0.696
2018-04-29,4,4,1,1,0,0,0,0,0,0,0.245,0.362,0.327,0.689
2018-04-30,4,4,2,3,1,0,1,4,0,0,0.265,0.375,0.382,0.757
2018-05-01,4,4,0,1,0,0,0,0,0,3,0.264,0.371,0.377,0.748
2018-05-02,3,3,0,0,0,0,0,0,0,2,0.257,0.362,0.367,0.729
2018-05-04,4,4,0,2,0,0,0,0,0,1,0.265,0.366,0.372,0.738
2018-05-05,4,4,0,1,0,0,0,2,0,0,0.265,0.363,0.368,0.73
2018-05-06,5,3,2,0,0,0,0,0,2,2,0.258,0.364,0.358,0.723
2018-05-07,3,3,1,1,1,0,0,0,0,0,0.26,0.364,0.366,0.73
2018-05-08,4,4,1,2,1,0,0,0,0,1,0.268,0.367,0.378,0.745
2018-05-09,4,4,1,1,0,1,0,0,0,1,0.267,0.364,0.389,0.754
2018-05-10,4,3,0,0,0,0,0,0,1,0,0.261,0.361,0.381,0.742
2018-05-11,4,4,1,1,0,0,0,0,0,0,0.261,0.358,0.377,0.735
2018-05-12,4,4,1,1,1,0,0,1,0,0,0.261,0.356,0.38,0.736
2018-05-13,3,3,0,1,1,0,0,0,0,0,0.262,0.355,0.386,0.742
2018-05-15,4,4,1,2,0,0,0,1,0,0,0.268,0.359,0.389,0.748
2018-05-16,4,4,1,2,0,0,0,1,0,1,0.275,0.362,0.392,0.754
2018-05-17,4,4,0,0,0,0,0,0,0,3,0.268,0.354,0.382,0.736
2018-05-18,4,4,0,1,0,0,0,0,0,0,0.267,0.352,0.379,0.73
2018-05-19,4,4,0,2,0,0,0,0,0,1,0.273,0.355,0.382,0.737
2018-05-20,5,5,1,2,0,0,0,0,0,1,0.276,0.356,0.382,0.738
2018-05-21,4,3,0,0,0,0,0,0,1,1,0.272,0.354,0.376,0.73
2018-05-22,4,3,2,1,1,0,0,0,1,2,0.273,0.357,0.381,0.738
2018-05-23,5,5,0,2,0,0,0,0,0,1,0.276,0.358,0.381,0.739
2018-05-25,5,3,2,1,1,0,0,1,1,0,0.277,0.364,0.386,0.75
2018-05-26,4,4,0,2,0,0,0,1,0,0,0.282,0.366,0.388,0.754
2018-05-27,4,4,0,0,0,0,0,0,0,1,0.276,0.359,0.38,0.74
2018-05-28,5,5,1,2,1,0,0,0,0,1,0.279,0.36,0.386,0.746
2018-05-29,4,4,1,2,0,0,0,1,0,1,0.284,0.363,0.388,0.751
2018-05-30,4,4,0,1,0,0,0,0,0,0,0.283,0.361,0.385,0.746
2018-05-31,4,4,1,2,0,0,0,0,0,0,0.287,0.363,0.388,0.751
2018-06-01,4,4,0,0,0,0,0,0,0,2,0.282,0.357,0.38,0.737
2018-06-02,4,3,0,2,0,1,0,1,1,0,0.287,0.364,0.394,0.757
2018-06-03,4,4,0,2,1,0,0,0,0,0,0.291,0.366,0.4,0.766
2018-06-05,5,5,1,3,0,0,1,3,0,0,0.298,0.371,0.418,0.788
2018-06-06,5,4,1,1,1,0,0,2,1,1,0.297,0.371,0.419,0.79
2018-06-07,4,3,0,1,0,0,0,0,1,1,0.297,0.373,0.418,0.791
2018-06-08,5,5,0,3,1,0,0,0,0,2,0.304,0.377,0.426,0.804
2018-06-09,4,4,1,2,0,0,0,0,0,0,0.307,0.379,0.427,0.807
2018-06-10,4,3,0,0,0,0,0,0,1,1,0.303,0.377,0.422,0.799
2018-06-11,4,4,3,3,2,0,1,2,0,0,0.31,0.383,0.448,0.83
2018-06-12,4,3,1,1,0,0,0,0,0,1,0.311,0.384,0.446,0.831
2018-06-13,5,2,2,0,0,0,0,1,2,0,0.308,0.385,0.443,0.827
2018-06-14,7,7,0,1,0,0,0,0,0,1,0.304,0.379,0.435,0.814
2018-06-15,5,4,0,2,1,0,0,1,1,1,0.307,0.383,0.439,0.822
2018-06-16,4,3,1,0,0,0,0,0,1,0,0.303,0.381,0.434,0.815
2018-06-17,5,4,0,0,0,0,0,0,1,2,0.299,0.378,0.428,0.806
2018-06-18,4,3,1,0,0,0,0,0,1,1,0.296,0.376,0.423,0.8
2018-06-19,5,5,0,1,1,0,0,1,0,1,0.294,0.373,0.423,0.796
2018-06-20,5,5,0,3,0,0,0,1,0,1,0.299,0.377,0.426,0.803
2018-06-22,5,5,0,1,0,0,0,0,0,0,0.298,0.374,0.422,0.796
2018-06-23,5,5,1,1,0,0,0,0,0,2,0.296,0.372,0.418,0.79
2018-06-24,5,5,1,1,0,0,0,0,0,1,0.294,0.369,0.415,0.784
2018-06-25,5,5,0,2,1,0,0,2,0,1,0.296,0.37,0.418,0.787
2018-06-26,5,4,1,2,0,0,0,0,1,0,0.299,0.373,0.419,0.792
2018-06-27,4,2,0,0,0,0,0,0,2,0,0.297,0.374,0.416,0.79
2018-06-28,4,4,0,0,0,0,0,0,0,0,0.293,0.37,0.411,0.781
2018-06-29,4,4,1,1,0,0,0,0,0,1,0.292,0.369,0.409,0.778
2018-06-30,4,4,2,1,0,0,1,2,0,0,0.292,0.367,0.416,0.784
2018-07-01,4,4,0,0,0,0,0,0,0,0,0.288,0.363,0.411,0.774
2018-07-02,5,4,1,0,0,0,0,0,1,1,0.285,0.361,0.406,0.767
2018-07-03,5,5,0,1,0,0,0,1,0,2,0.284,0.359,0.403,0.762
2018-07-04,4,3,0,0,0,0,0,0,0,1,0.281,0.358,0.399,0.757
2018-07-05,5,4,2,2,1,0,1,3,0,0,0.284,0.361,0.412,0.773
2018-07-06,4,3,0,1,0,0,0,0,1,0,0.284,0.362,0.412,0.774
2018-07-08,6,6,0,1,0,0,0,0,0,0,0.282,0.359,0.407,0.767
2018-07-09,5,5,1,2,0,0,1,1,0,0,0.284,0.36,0.416,0.776
2018-07-10,5,5,0,2,0,0,0,1,0,0,0.285,0.36,0.416,0.776
2018-07-11,6,4,1,2,0,1,0,0,2,1,0.288,0.365,0.422,0.787
2018-07-13,4,4,0,0,0,0,0,0,0,0,0.285,0.361,0.417,0.779
2018-07-14,4,4,1,1,0,0,0,0,0,0,0.284,0.36,0.416,0.776
2018-07-15,5,5,2,3,1,0,1,3,0,0,0.288,0.363,0.429,0.792
2018-07-20,5,4,1,0,0,0,0,0,1,3,0.285,0.361,0.424,0.785
2018-07-21,5,4,0,0,0,0,0,0,1,0,0.282,0.359,0.42,0.779
2018-07-22,5,4,0,1,0,0,0,0,1,1,0.282,0.36,0.418,0.778
2018-07-23,4,3,0,0,0,0,0,0,1,0,0.28,0.359,0.415,0.774
2018-07-24,4,3,3,3,0,0,0,0,0,0,0.285,0.365,0.419,0.784
2018-07-26,4,4,1,1,0,0,0,0,0,3,0.285,0.364,0.418,0.781
2018-07-27,4,3,0,0,0,0,0,0,0,1,0.283,0.363,0.414,0.777
2018-07-28,5,4,0,1,0,0,0,0,1,0,0.283,0.363,0.413,0.776
2018-07-29,4,3,2,2,0,0,0,0,0,0,0.285,0.366,0.415,0.781
2018-07-30,5,5,1,1,0,0,1,2,0,1,0.284,0.365,0.419,0.784
2018-07-31,5,4,0,2,1,0,0,0,1,0,0.286,0.367,0.422,0.79
2018-08-02,4,4,0,0,0,0,0,0,0,0,0.284,0.364,0.418,0.782
2018-08-03,4,3,0,2,1,0,0,1,1,0,0.286,0.367,0.423,0.79
2018-08-04,4,3,0,0,0,0,0,0,1,0,0.284,0.366,0.42,0.786
