PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-06-13,4,4,0,3,0,1,0,2,0,0,0.75,0.75,1.25,2.0
2018-06-15,0,0,0,0,0,0,0,0,0,0,0.75,0.75,1.25,2.0
2018-06-16,3,3,0,0,0,0,0,0,0,1,0.429,0.429,0.714,1.143
2018-06-17,1,1,0,0,0,0,0,0,0,1,0.375,0.375,0.625,1.0
2018-06-18,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.556,0.889
2018-06-19,4,4,1,2,0,0,0,0,0,0,0.385,0.385,0.538,0.923
2018-06-23,4,4,0,2,0,0,0,0,0,0,0.412,0.412,0.529,0.941
2018-06-24,2,2,0,0,0,0,0,0,0,0,0.368,0.368,0.474,0.842
2018-06-25,1,0,0,0,0,0,0,0,0,0,0.368,0.4,0.474,0.874
2018-06-26,4,3,0,0,0,0,0,0,1,0,0.318,0.375,0.409,0.784
2018-06-27,1,1,0,0,0,0,0,0,0,1,0.304,0.36,0.391,0.751
2018-06-28,4,4,0,1,0,0,0,0,0,1,0.296,0.345,0.37,0.715
2018-06-29,4,3,0,1,1,0,0,1,1,0,0.3,0.364,0.4,0.764
2018-06-30,4,4,0,2,0,0,0,2,0,0,0.324,0.378,0.412,0.79
2018-07-01,3,3,0,1,0,0,0,0,0,0,0.324,0.375,0.405,0.78
2018-07-03,4,4,0,1,0,0,0,0,0,0,0.317,0.364,0.39,0.754
2018-07-04,4,4,1,1,1,0,0,0,0,1,0.311,0.354,0.4,0.754
2018-07-05,5,4,0,0,0,0,0,0,1,2,0.286,0.34,0.367,0.707
2018-07-06,2,2,1,1,0,0,0,1,0,1,0.294,0.345,0.373,0.718
2018-07-07,2,2,0,0,0,0,0,0,0,0,0.283,0.333,0.358,0.692
2018-07-08,4,4,1,1,0,0,0,0,0,0,0.281,0.328,0.351,0.679
2018-07-10,1,1,0,0,0,0,0,0,0,0,0.276,0.323,0.345,0.667
2018-07-11,3,3,0,0,0,0,0,0,0,0,0.262,0.308,0.328,0.636
2018-07-12,5,5,1,2,0,0,1,1,0,1,0.273,0.314,0.379,0.693
2018-07-13,2,2,0,0,0,0,0,0,0,0,0.265,0.306,0.368,0.673
2018-07-14,5,4,0,0,0,0,0,1,0,1,0.25,0.286,0.347,0.633
2018-07-15,5,4,0,1,1,0,0,0,0,1,0.25,0.284,0.355,0.639
2018-07-20,4,3,0,0,0,0,0,0,1,0,0.241,0.282,0.342,0.624
2018-07-21,4,4,0,2,0,0,0,0,0,0,0.253,0.292,0.349,0.642
2018-07-22,5,5,3,3,0,0,0,2,0,0,0.273,0.309,0.364,0.672
2018-07-23,4,4,1,3,2,0,0,0,0,0,0.293,0.327,0.402,0.729
2018-07-24,4,3,0,1,1,0,0,1,1,1,0.295,0.333,0.411,0.744
2018-07-25,4,4,2,2,0,0,0,0,0,1,0.303,0.34,0.414,0.754
2018-07-26,5,4,0,1,0,0,0,0,1,0,0.301,0.342,0.408,0.75
2018-07-27,4,3,0,1,0,0,0,1,0,0,0.302,0.339,0.406,0.745
2018-07-28,4,3,1,0,0,0,0,0,1,1,0.294,0.336,0.394,0.731
2018-07-29,5,5,1,2,1,0,0,0,0,1,0.298,0.339,0.404,0.742
2018-07-31,5,4,1,1,0,0,0,0,1,1,0.297,0.341,0.398,0.739
2018-08-01,4,4,0,0,0,0,0,0,0,1,0.287,0.331,0.385,0.716
2018-08-02,4,4,0,0,0,0,0,0,0,2,0.278,0.321,0.373,0.694
2018-08-03,4,4,1,1,1,0,0,1,0,0,0.277,0.319,0.377,0.696
2018-08-04,3,2,0,0,0,0,0,0,0,0,0.273,0.319,0.371,0.691
2018-08-05,5,5,0,1,1,0,0,0,0,1,0.27,0.315,0.372,0.688
2018-08-06,4,4,0,0,0,0,0,1,0,0,0.262,0.307,0.362,0.669
2018-08-07,5,4,1,1,0,0,0,0,1,0,0.262,0.31,0.359,0.669
2018-08-08,4,3,0,0,0,0,0,0,1,0,0.257,0.309,0.351,0.66
2018-08-10,4,4,1,2,0,0,0,0,0,0,0.263,0.313,0.355,0.668
2018-08-11,4,4,0,0,0,0,0,0,0,1,0.256,0.306,0.346,0.652
2018-08-12,5,4,0,1,1,0,0,0,1,2,0.256,0.309,0.35,0.659
2018-08-13,5,4,0,0,0,0,0,1,0,0,0.25,0.302,0.341,0.643
2018-08-14,5,5,1,2,1,0,0,0,0,0,0.254,0.304,0.349,0.654
2018-08-15,4,4,1,2,0,0,0,0,0,1,0.26,0.309,0.353,0.661
2018-08-16,4,4,1,1,0,0,0,0,0,1,0.26,0.307,0.35,0.658
2018-08-17,4,4,0,1,0,0,0,1,0,0,0.26,0.306,0.348,0.654
2018-08-18,5,4,1,2,1,0,0,3,0,1,0.265,0.31,0.357,0.667
2018-08-19,4,4,1,2,1,0,0,0,0,1,0.27,0.314,0.365,0.679
