PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2020-07-24,4,4,0,1,0,0,0,0,0,2,0.25,0.25,0.25,0.5
2020-07-25,4,3,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393
2020-07-26,5,5,0,1,0,0,0,1,0,1,0.167,0.231,0.167,0.397
2020-07-27,5,5,1,2,0,0,1,2,0,3,0.235,0.278,0.412,0.69
2020-07-28,4,3,0,0,0,0,0,0,1,0,0.2,0.273,0.35,0.623
2020-07-29,5,4,1,0,0,0,0,0,1,1,0.167,0.259,0.292,0.551
2020-07-30,2,2,0,0,0,0,0,0,0,1,0.154,0.241,0.269,0.511
2020-07-31,4,4,0,1,1,0,0,0,0,2,0.167,0.242,0.3,0.542
2020-08-01,4,3,0,0,0,0,0,0,1,0,0.152,0.243,0.273,0.516
2020-08-02,4,3,0,0,0,0,0,0,1,3,0.139,0.244,0.25,0.494
2020-08-03,4,4,0,0,0,0,0,0,0,2,0.125,0.222,0.225,0.447
2020-08-04,4,4,0,0,0,0,0,0,0,2,0.114,0.204,0.205,0.409
2020-08-05,4,4,0,1,1,0,0,1,0,3,0.125,0.208,0.229,0.437
2020-08-06,3,3,0,0,0,0,0,0,0,1,0.118,0.196,0.216,0.412
2020-08-08,3,3,0,0,0,0,0,0,0,1,0.111,0.186,0.204,0.39
2020-08-09,4,3,0,0,0,0,0,1,0,2,0.105,0.175,0.193,0.368
2020-08-10,5,5,0,1,0,0,0,0,0,1,0.113,0.176,0.194,0.37
2020-08-11,4,4,0,0,0,0,0,0,0,3,0.106,0.167,0.182,0.348
2020-08-12,1,1,0,0,0,0,0,0,0,0,0.104,0.164,0.179,0.344
2020-08-14,4,4,0,1,1,0,0,0,0,3,0.113,0.169,0.197,0.366
2020-08-15,3,2,1,1,0,0,1,1,1,1,0.123,0.188,0.247,0.434
2020-08-16,4,2,1,0,0,0,0,0,1,2,0.12,0.202,0.24,0.442
2020-08-17,4,4,2,2,0,0,2,3,0,1,0.139,0.216,0.329,0.545
2020-08-18,3,3,0,0,0,0,0,0,0,1,0.134,0.209,0.317,0.526
2020-08-19,1,1,0,0,0,0,0,0,0,1,0.133,0.207,0.313,0.52
2020-08-22,5,5,1,2,1,0,1,6,0,2,0.148,0.216,0.364,0.58
2020-08-23,3,3,0,0,0,0,0,0,0,1,0.143,0.21,0.352,0.562
2020-08-25,5,4,1,3,1,0,0,2,1,0,0.168,0.238,0.379,0.617
2020-08-27,1,1,0,0,0,0,0,0,0,0,0.167,0.236,0.375,0.611
2020-08-30,4,4,0,1,0,0,0,0,0,2,0.17,0.236,0.37,0.606
2020-08-31,4,4,0,0,0,0,0,0,0,2,0.163,0.228,0.356,0.584
2020-09-04,4,2,1,2,1,0,0,2,2,0,0.179,0.254,0.377,0.632
2020-09-05,4,4,0,1,0,0,0,1,0,1,0.182,0.254,0.373,0.627
2020-09-06,4,4,0,0,0,0,0,0,0,2,0.175,0.246,0.36,0.606
2020-09-07,4,3,1,1,0,0,0,0,1,1,0.179,0.254,0.359,0.613
2020-09-08,4,4,1,2,0,0,0,0,0,0,0.19,0.261,0.364,0.625
2020-09-09,4,4,0,0,0,0,0,0,0,1,0.184,0.254,0.352,0.606
2020-09-11,4,3,1,0,0,0,0,0,1,1,0.18,0.254,0.344,0.597
2020-09-12,4,3,1,0,0,0,0,0,1,2,0.176,0.253,0.336,0.589
2020-09-13,5,5,1,1,0,0,0,0,0,4,0.176,0.252,0.331,0.582
2020-09-14,3,3,0,0,0,0,0,0,0,1,0.173,0.247,0.324,0.57
2020-09-14,3,2,0,0,0,0,0,0,1,1,0.17,0.248,0.319,0.568
2020-09-16,4,3,0,0,0,0,0,0,1,3,0.167,0.248,0.313,0.561
2020-09-17,4,3,0,0,0,0,0,0,1,1,0.163,0.248,0.306,0.555
2020-09-18,3,3,1,2,0,0,1,1,0,1,0.173,0.256,0.333,0.589
2020-09-19,4,4,0,1,0,0,0,0,0,2,0.175,0.256,0.331,0.587
