PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-05-14,4,4,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
2018-05-15,3,3,0,1,0,0,0,0,0,1,0.143,0.143,0.143,0.286
2018-05-17,1,1,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25
2018-05-18,3,3,0,0,0,0,0,0,0,2,0.091,0.091,0.091,0.182
2018-05-19,3,3,0,1,0,0,0,0,0,0,0.143,0.143,0.143,0.286
2018-05-20,3,3,0,0,0,0,0,0,0,0,0.118,0.118,0.118,0.235
2018-05-21,4,3,1,1,0,0,1,2,1,1,0.15,0.19,0.3,0.49
2018-05-22,4,4,0,2,0,0,0,0,0,2,0.208,0.24,0.333,0.573
2018-05-26,3,2,1,0,0,0,0,0,1,1,0.192,0.25,0.308,0.558
2018-05-27,4,4,0,0,0,0,0,0,0,2,0.167,0.219,0.267,0.485
2018-05-28,4,4,1,1,0,0,1,1,0,2,0.176,0.222,0.353,0.575
2018-05-29,3,3,1,1,0,0,1,2,0,1,0.189,0.231,0.432,0.663
2018-05-30,4,3,1,1,0,0,1,1,1,1,0.2,0.256,0.5,0.756
2018-05-31,4,4,0,0,0,0,0,0,0,3,0.182,0.234,0.455,0.689
2018-06-02,3,3,1,2,0,0,0,0,0,0,0.213,0.26,0.468,0.728
2018-06-03,4,4,1,2,0,0,0,0,0,1,0.235,0.278,0.471,0.748
2018-06-04,5,4,1,1,0,0,1,1,1,1,0.236,0.288,0.509,0.797
2018-06-05,4,4,1,1,0,0,1,1,0,2,0.237,0.286,0.542,0.828
2018-06-08,4,4,0,0,0,0,0,0,0,2,0.222,0.269,0.508,0.777
2018-06-09,5,5,0,1,0,0,0,0,0,3,0.221,0.264,0.485,0.749
2018-06-11,4,4,0,0,0,0,0,0,0,2,0.208,0.25,0.458,0.708
2018-06-12,1,1,0,0,0,0,0,0,0,0,0.205,0.247,0.452,0.699
2018-06-13,3,3,1,1,1,0,0,0,0,1,0.211,0.25,0.461,0.71
2018-06-14,4,4,0,2,1,0,0,0,0,1,0.225,0.262,0.475,0.737
