PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2020-07-26,1,1,1,1,1,0,0,1,0,0,1.0,1.0,2.0,3.0
2020-07-29,4,3,0,0,0,0,0,0,1,2,0.25,0.4,0.5,0.9
2020-07-31,4,4,1,2,0,1,0,0,0,0,0.375,0.444,0.75,1.194
2020-08-02,2,2,1,1,0,1,0,0,0,0,0.4,0.455,0.9,1.355
2020-08-03,4,4,1,1,0,0,0,1,0,0,0.357,0.4,0.714,1.114
2020-08-04,4,4,1,1,0,0,1,1,0,1,0.333,0.368,0.778,1.146
2020-08-05,4,4,0,1,1,0,0,0,0,2,0.318,0.348,0.727,1.075
2020-08-07,3,3,1,2,0,0,1,1,0,0,0.36,0.385,0.84,1.225
2020-08-08,2,2,0,0,0,0,0,0,0,0,0.333,0.357,0.778,1.135
2020-08-09,1,1,0,1,1,0,0,0,0,0,0.357,0.379,0.821,1.201
2020-08-10,4,4,0,1,0,0,0,0,0,0,0.344,0.364,0.75,1.114
2020-08-11,4,4,1,2,1,0,0,0,0,0,0.361,0.378,0.75,1.128
2020-08-12,3,3,0,0,0,0,0,0,0,1,0.333,0.35,0.692,1.042
2020-08-13,1,1,0,0,0,0,0,0,0,0,0.325,0.341,0.675,1.016
2020-08-14,4,3,0,1,0,0,0,1,1,0,0.326,0.356,0.651,1.007
2020-08-15,4,2,0,0,0,0,0,0,2,0,0.311,0.367,0.622,0.99
2020-08-16,4,4,0,1,0,0,0,0,0,2,0.306,0.358,0.592,0.95
2020-08-17,5,4,1,1,1,0,0,1,1,1,0.302,0.362,0.585,0.947
2020-08-18,4,3,1,2,1,0,0,0,1,0,0.321,0.387,0.607,0.994
2020-08-19,4,4,0,2,1,0,0,0,0,1,0.333,0.394,0.617,1.011
2020-08-20,5,5,0,1,0,0,0,0,0,0,0.323,0.38,0.585,0.965
2020-08-21,4,2,1,1,1,0,0,1,2,0,0.328,0.4,0.597,0.997
2020-08-22,4,4,3,3,0,0,1,4,0,0,0.352,0.418,0.648,1.066
2020-08-23,4,4,0,1,0,0,0,1,0,1,0.347,0.41,0.627,1.036
2020-08-25,4,4,0,1,0,0,0,0,0,1,0.342,0.402,0.608,1.01
2020-08-27,4,4,1,2,0,0,0,0,0,2,0.349,0.407,0.602,1.009
2020-08-27,3,3,1,2,0,0,0,0,0,1,0.36,0.415,0.605,1.02
2020-08-28,5,3,1,0,0,0,0,1,1,0,0.348,0.404,0.584,0.988
2020-08-29,4,3,1,1,1,0,0,2,1,1,0.348,0.408,0.587,0.995
2020-08-30,5,5,2,3,0,0,1,2,0,0,0.361,0.417,0.619,1.035
2020-08-31,4,4,1,1,0,1,0,0,0,1,0.356,0.411,0.624,1.034
2020-09-02,4,3,1,0,0,0,0,0,1,0,0.346,0.405,0.606,1.011
2020-09-03,3,3,0,1,0,0,0,0,0,2,0.346,0.403,0.598,1.001
2020-09-04,4,4,0,0,0,0,0,0,0,1,0.333,0.39,0.577,0.967
2020-09-05,4,4,0,1,0,0,0,1,0,2,0.33,0.386,0.565,0.951
2020-09-06,4,4,0,2,2,0,0,1,0,0,0.336,0.389,0.58,0.969
2020-09-07,4,4,0,0,0,0,0,0,0,1,0.325,0.378,0.561,0.939
2020-09-08,1,1,0,0,0,0,0,0,0,0,0.323,0.375,0.556,0.932
2020-09-09,4,3,0,1,0,0,0,1,0,0,0.323,0.379,0.551,0.93
2020-09-10,3,3,0,0,0,0,0,0,0,0,0.315,0.371,0.538,0.909
2020-09-13,2,1,1,1,0,0,0,0,1,0,0.323,0.385,0.549,0.934
2020-09-13,3,2,2,1,1,0,0,0,1,0,0.318,0.377,0.545,0.922
2020-09-14,4,4,0,2,2,0,0,0,0,1,0.328,0.388,0.562,0.95
2020-09-15,4,4,0,0,0,0,0,0,0,1,0.319,0.378,0.546,0.924
2020-09-16,4,4,0,0,0,0,0,0,0,0,0.31,0.369,0.531,0.9
2020-09-18,4,3,1,1,1,0,0,0,1,0,0.311,0.372,0.534,0.906
2020-09-19,4,3,0,0,0,0,0,0,1,0,0.305,0.369,0.523,0.892
2020-09-20,5,4,0,1,0,0,0,0,1,1,0.303,0.37,0.516,0.886
2020-09-22,4,3,0,1,0,0,0,0,1,1,0.304,0.373,0.513,0.886
2020-09-23,4,3,0,1,0,0,0,0,1,0,0.304,0.376,0.509,0.885
2020-09-25,3,3,0,0,0,0,0,0,0,2,0.299,0.37,0.5,0.87
2020-09-25,0,0,0,0,0,0,0,0,0,0,0.299,0.37,0.5,0.87
2020-09-26,4,4,0,0,0,0,0,0,0,0,0.292,0.362,0.488,0.85
2020-09-27,4,4,1,0,0,0,0,0,0,1,0.285,0.354,0.477,0.831
2021-04-01,4,2,3,2,0,1,0,0,2,0,1.0,1.0,2.0,3.0
2021-04-02,4,3,0,1,1,0,0,0,1,1,0.6,0.75,1.2,1.95
2021-04-03,5,3,0,1,1,0,0,1,1,0,0.5,0.667,1.0,1.667
2021-04-04,5,4,0,0,0,0,0,0,0,0,0.333,0.529,0.667,1.196
2021-04-05,5,5,0,3,0,0,0,0,0,0,0.412,0.545,0.647,1.193
2021-04-06,4,4,1,1,0,0,0,0,0,0,0.381,0.5,0.571,1.071
2021-04-07,4,4,0,0,0,0,0,0,0,0,0.32,0.433,0.48,0.913
2021-04-09,4,4,0,1,0,0,0,0,0,1,0.31,0.412,0.448,0.86
2021-04-10,5,4,1,3,0,0,0,0,1,0,0.364,0.462,0.485,0.946
2021-04-11,4,4,0,1,0,0,0,0,0,0,0.351,0.442,0.459,0.901
