PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-08-16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018-08-17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018-08-19,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018-08-20,3,3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2018-08-21,3,3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2018-08-24,7,5,1,2,1,0,0,0,2,2,0.182,0.308,0.273,0.58
2018-08-25,5,4,0,1,0,0,0,0,1,1,0.2,0.333,0.267,0.6
2018-08-26,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.267,0.6
2018-08-29,1,1,0,0,0,0,0,0,0,0,0.188,0.316,0.25,0.566
2018-08-30,4,4,0,0,0,0,0,0,0,3,0.15,0.261,0.2,0.461
2018-08-31,4,4,0,0,0,0,0,0,0,1,0.125,0.222,0.167,0.389
2018-09-01,3,3,1,0,0,0,0,0,0,1,0.111,0.2,0.148,0.348
2018-09-02,3,3,0,0,0,0,0,0,0,1,0.1,0.182,0.133,0.315
2018-09-03,3,3,1,1,0,0,0,0,0,0,0.121,0.194,0.152,0.346
2018-09-05,3,2,0,0,0,0,0,0,0,0,0.114,0.205,0.143,0.348
2018-09-08,4,4,0,1,0,0,0,1,0,2,0.128,0.209,0.154,0.363
2018-09-11,4,4,1,1,1,0,0,1,0,1,0.14,0.213,0.186,0.399
2018-09-12,4,4,0,2,0,0,0,0,0,0,0.17,0.235,0.213,0.448
2018-09-15,3,3,0,1,0,0,0,0,0,0,0.18,0.241,0.22,0.461
2018-09-16,4,3,0,1,0,0,0,2,0,0,0.189,0.241,0.226,0.468
2018-09-17,5,5,1,3,0,0,0,0,0,0,0.224,0.27,0.259,0.528
2018-09-19,3,3,0,0,0,0,0,0,0,0,0.213,0.258,0.246,0.504
2018-09-21,3,3,0,0,0,0,0,0,0,1,0.203,0.246,0.234,0.481
2018-09-22,4,4,0,0,0,0,0,0,0,2,0.191,0.233,0.221,0.454
2018-09-23,1,1,0,0,0,0,0,0,0,1,0.188,0.23,0.217,0.447
2018-09-24,4,3,1,0,0,0,0,0,1,0,0.181,0.231,0.208,0.439
2018-09-25,5,5,0,1,0,0,0,0,0,2,0.182,0.229,0.208,0.437
2018-09-26,4,4,1,2,0,0,0,0,0,1,0.198,0.241,0.222,0.464
2018-09-28,4,4,0,1,0,0,0,1,0,0,0.2,0.242,0.224,0.465
2018-09-29,2,2,0,1,0,0,0,0,0,1,0.207,0.247,0.23,0.477
2018-09-30,4,4,0,1,0,0,0,1,0,1,0.209,0.247,0.231,0.478
2019-03-28,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019-04-01,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019-04-03,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019-04-04,3,3,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
2019-04-06,5,4,0,2,1,0,0,1,1,1,0.286,0.375,0.429,0.804
2019-04-08,4,4,0,1,0,0,0,0,0,2,0.273,0.333,0.364,0.697
2019-05-04,1,1,1,1,0,1,0,2,0,0,0.333,0.385,0.583,0.968
2019-05-05,1,1,0,0,0,0,0,0,0,1,0.308,0.357,0.538,0.896
2019-05-07,4,3,0,1,0,0,0,0,1,1,0.313,0.389,0.5,0.889
2019-05-08,4,4,1,2,0,0,0,0,0,0,0.35,0.409,0.5,0.909
2019-05-09,3,3,1,2,1,0,0,0,0,1,0.391,0.44,0.565,1.005
2019-05-10,1,1,0,1,0,0,0,0,0,0,0.417,0.462,0.583,1.045
2019-05-11,3,3,0,0,0,0,0,0,0,1,0.37,0.414,0.519,0.932
2019-05-12,5,5,0,1,0,0,0,1,0,2,0.344,0.382,0.469,0.851
2019-05-13,4,4,0,1,0,0,0,0,0,1,0.333,0.368,0.444,0.813
2019-05-16,4,4,1,2,1,0,0,0,0,0,0.35,0.381,0.475,0.856
2019-05-17,5,4,0,1,0,0,0,0,1,2,0.341,0.383,0.455,0.838
2019-05-18,4,3,0,1,0,0,0,0,1,0,0.34,0.392,0.447,0.839
2019-05-21,1,1,0,0,0,0,0,0,0,0,0.333,0.385,0.438,0.822
2019-05-22,4,3,0,1,1,0,0,1,0,1,0.333,0.393,0.451,0.844
2019-05-23,4,2,0,1,0,0,0,0,2,0,0.34,0.417,0.453,0.87
2019-05-24,2,2,1,1,1,0,0,0,0,0,0.345,0.419,0.473,0.892
2019-05-25,4,4,0,2,1,0,0,0,0,0,0.356,0.424,0.492,0.916
2019-05-26,4,4,0,1,0,0,0,0,0,0,0.349,0.414,0.476,0.89
2019-05-27,1,0,0,0,0,0,0,0,1,0,0.338,0.408,0.456,0.864
2019-05-27,5,5,0,1,0,0,0,1,0,1,0.338,0.4,0.456,0.856
2019-05-28,4,4,1,1,0,0,1,4,0,1,0.333,0.4,0.486,0.886
2019-05-29,3,3,0,2,0,0,0,0,0,0,0.347,0.41,0.493,0.903
2019-05-30,5,5,0,1,0,0,0,0,0,1,0.338,0.398,0.475,0.873
2019-05-31,5,5,1,2,0,0,0,2,0,0,0.341,0.398,0.471,0.868
2019-06-01,7,6,1,1,0,0,0,0,1,0,0.33,0.39,0.451,0.84
2019-06-02,5,4,0,0,0,0,0,1,0,0,0.316,0.371,0.432,0.803
2019-06-04,5,5,0,1,0,0,0,0,0,0,0.31,0.364,0.42,0.784
2019-06-05,5,5,1,1,0,0,0,0,0,1,0.305,0.357,0.41,0.766
2019-06-06,4,4,0,0,0,0,0,0,0,1,0.294,0.345,0.394,0.739
2019-06-07,4,4,1,1,0,0,1,1,0,1,0.292,0.341,0.416,0.757
2019-06-08,4,4,1,2,0,0,0,0,0,1,0.299,0.346,0.419,0.765
2019-06-09,1,0,0,0,0,0,0,0,1,0,0.299,0.352,0.419,0.77
2019-06-10,5,5,1,1,0,0,0,0,0,0,0.295,0.346,0.41,0.756
2019-06-11,4,4,2,3,0,0,0,0,0,0,0.31,0.358,0.421,0.778
2019-06-12,6,5,0,3,1,0,0,2,1,0,0.321,0.371,0.435,0.806
2019-06-13,5,4,0,1,0,0,0,0,1,0,0.319,0.372,0.43,0.801
2019-06-14,5,5,1,1,1,0,0,1,0,0,0.314,0.366,0.429,0.795
2019-06-15,4,4,0,1,0,0,0,1,0,1,0.313,0.363,0.424,0.787
2019-06-16,5,5,0,2,1,0,0,0,0,1,0.315,0.364,0.43,0.794
2019-06-18,5,4,0,2,0,1,0,1,1,0,0.32,0.371,0.444,0.816
2019-06-19,5,5,1,1,1,0,0,0,0,2,0.316,0.366,0.443,0.809
2019-06-21,4,4,0,1,0,0,0,0,0,0,0.315,0.364,0.438,0.802
2019-06-22,5,4,0,1,0,0,0,0,1,0,0.313,0.365,0.434,0.798
2019-06-23,7,6,1,2,0,0,0,2,1,0,0.314,0.367,0.43,0.797
2019-06-25,4,3,0,1,0,0,0,0,0,2,0.314,0.366,0.429,0.795
2019-06-26,6,6,1,4,0,0,1,3,0,0,0.326,0.376,0.453,0.829
2019-06-27,5,5,1,3,1,0,1,2,0,0,0.333,0.381,0.478,0.86
2019-06-28,5,5,1,1,0,0,1,2,0,1,0.33,0.377,0.487,0.864
2019-06-29,4,4,1,2,1,0,0,0,0,1,0.333,0.379,0.492,0.872
2019-06-30,4,4,0,0,0,0,0,0,0,0,0.327,0.372,0.482,0.854
2019-07-02,3,2,1,0,0,0,0,0,1,0,0.323,0.372,0.478,0.849
2019-07-03,4,4,0,0,0,0,0,0,0,0,0.317,0.365,0.468,0.833
2019-07-04,4,4,1,2,0,0,0,0,0,0,0.321,0.367,0.469,0.836
2019-07-05,5,5,0,0,0,0,0,0,0,1,0.313,0.359,0.458,0.817
2019-07-06,5,5,1,4,0,0,1,3,0,0,0.324,0.369,0.479,0.848
2019-07-07,4,4,1,2,0,0,0,1,0,0,0.327,0.371,0.48,0.851
2019-07-12,4,4,0,0,0,0,0,0,0,1,0.322,0.365,0.471,0.836
2019-07-13,5,5,0,2,0,0,0,0,0,0,0.323,0.365,0.47,0.835
2019-07-14,4,4,1,2,0,0,0,0,0,1,0.326,0.368,0.47,0.838
2019-07-15,3,3,0,1,0,0,0,0,0,0,0.326,0.367,0.469,0.836
2019-07-16,4,4,0,1,0,0,0,2,0,1,0.325,0.365,0.465,0.83
2019-07-17,5,5,0,3,0,0,0,0,0,0,0.331,0.37,0.468,0.838
2019-07-19,4,4,0,0,0,0,0,0,0,1,0.325,0.364,0.46,0.825
2019-07-20,4,4,0,1,0,0,0,0,0,0,0.324,0.363,0.457,0.82
2019-07-21,5,2,1,1,1,0,0,0,2,1,0.326,0.368,0.461,0.83
2019-07-22,5,5,0,1,0,0,0,0,0,1,0.323,0.365,0.456,0.822
2019-07-23,4,4,0,1,0,0,0,0,0,0,0.322,0.364,0.453,0.817
2019-07-24,5,5,0,0,0,0,0,0,0,0,0.316,0.357,0.445,0.802
2019-07-25,4,4,0,1,0,0,0,0,0,0,0.315,0.356,0.442,0.798
2019-07-27,4,4,0,2,0,0,0,0,0,2,0.318,0.358,0.443,0.801
2019-07-28,5,4,0,0,0,0,0,0,1,1,0.313,0.355,0.437,0.792
2019-07-29,5,5,1,1,0,0,0,0,0,0,0.311,0.353,0.433,0.785
2019-07-30,5,5,0,2,0,0,0,1,0,0,0.313,0.354,0.432,0.786
2019-07-31,4,4,0,1,0,0,0,0,0,0,0.312,0.352,0.43,0.782
2019-08-02,5,4,1,2,0,0,0,0,1,0,0.315,0.356,0.43,0.786
2019-08-03,4,3,0,0,0,0,0,1,0,1,0.311,0.355,0.426,0.781
2019-08-04,2,1,0,0,0,0,0,0,1,0,0.31,0.356,0.425,0.78
2019-08-05,4,4,1,1,1,0,0,3,0,0,0.31,0.354,0.426,0.78
2019-08-06,1,1,0,0,0,0,0,0,0,0,0.309,0.353,0.424,0.778
2019-08-07,5,5,1,0,0,0,0,0,0,2,0.304,0.348,0.418,0.766
2019-08-09,4,4,0,1,0,0,0,0,0,0,0.303,0.347,0.416,0.763
2019-08-10,4,4,0,1,0,0,0,0,0,1,0.302,0.346,0.414,0.759
2019-08-12,5,5,2,2,0,0,1,1,0,1,0.304,0.347,0.422,0.769
2019-08-13,5,5,0,1,0,0,0,0,0,1,0.302,0.345,0.419,0.764
2019-08-14,4,2,1,1,0,1,0,0,1,1,0.304,0.349,0.426,0.775
2019-08-16,4,4,0,1,0,0,0,1,0,0,0.303,0.348,0.424,0.772
2019-08-17,5,5,0,1,0,0,0,0,0,1,0.301,0.346,0.42,0.766
2019-08-18,4,4,0,2,0,0,0,0,0,1,0.304,0.348,0.421,0.769
2019-08-19,3,3,0,0,0,0,0,0,0,1,0.301,0.345,0.418,0.762
2019-08-20,3,3,0,0,0,0,0,0,0,0,0.299,0.342,0.414,0.756
2019-08-21,4,4,0,0,0,0,0,0,0,0,0.295,0.339,0.409,0.748
2019-08-22,4,4,0,2,0,0,0,0,0,0,0.298,0.34,0.41,0.751
2019-08-23,4,4,0,0,0,0,0,0,0,1,0.294,0.337,0.406,0.743
2019-08-24,5,3,3,1,0,0,0,1,2,0,0.295,0.34,0.405,0.746
2019-08-25,5,4,3,4,1,0,0,1,0,0,0.302,0.348,0.414,0.763
2019-08-26,6,6,0,2,0,0,0,2,0,0,0.303,0.348,0.413,0.761
