PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2020-08-14,5,5,1,2,1,0,0,2,0,1,0.4,0.4,0.6,1.0
2020-08-15,3,3,0,0,0,0,0,0,0,1,0.25,0.25,0.375,0.625
2020-08-17,5,5,1,1,0,0,1,2,0,2,0.231,0.231,0.538,0.769
2020-08-18,5,4,1,3,0,0,0,0,1,1,0.353,0.389,0.588,0.977
2020-08-21,4,4,0,0,0,0,0,0,0,1,0.286,0.318,0.476,0.794
2020-08-22,2,2,0,0,0,0,0,0,0,1,0.292,0.32,0.458,0.778
2020-08-22,1,1,0,1,0,0,0,0,0,0,0.318,0.348,0.5,0.848
2020-08-23,4,4,3,3,0,0,0,0,0,0,0.357,0.379,0.5,0.879
2020-08-24,5,5,0,1,0,0,0,1,0,0,0.333,0.353,0.455,0.808
2020-08-25,4,4,0,1,1,0,0,0,0,1,0.324,0.342,0.459,0.802
2020-08-26,4,4,0,1,0,0,0,0,0,0,0.317,0.333,0.439,0.772
2020-08-28,0,0,0,0,0,0,0,0,0,0,0.317,0.333,0.439,0.772
2020-08-29,3,3,0,0,0,0,0,0,0,1,0.295,0.311,0.409,0.72
2020-08-30,4,3,0,0,0,0,0,0,1,0,0.277,0.306,0.383,0.689
2020-08-31,4,4,0,0,0,0,0,0,0,1,0.255,0.283,0.353,0.636
2020-09-01,3,3,0,1,1,0,0,0,0,2,0.259,0.286,0.37,0.656
2020-09-02,4,4,0,1,0,0,0,0,0,0,0.259,0.283,0.362,0.645
2020-09-03,4,4,2,3,0,0,0,0,0,1,0.29,0.313,0.387,0.7
2020-09-04,3,3,0,0,0,0,0,0,0,2,0.277,0.299,0.369,0.668
2020-09-04,4,3,1,2,0,0,0,0,1,0,0.294,0.324,0.382,0.706
2020-09-05,5,5,0,2,1,0,0,3,0,1,0.301,0.329,0.397,0.726
2020-09-06,2,2,0,0,0,0,0,0,0,0,0.293,0.321,0.387,0.707
2020-09-11,5,5,0,0,0,0,0,0,0,0,0.275,0.301,0.363,0.664
2020-09-12,4,4,0,0,0,0,0,0,0,1,0.262,0.287,0.345,0.633
2020-09-13,3,3,1,2,0,0,0,0,0,0,0.276,0.3,0.356,0.656
2020-09-15,4,4,0,2,0,0,0,0,0,2,0.286,0.309,0.363,0.671
2020-09-16,4,4,1,1,0,0,1,2,0,2,0.284,0.306,0.389,0.696
2020-09-18,3,3,2,2,1,0,0,1,0,0,0.296,0.317,0.408,0.725
2020-09-18,1,1,0,0,0,0,0,0,0,0,0.293,0.314,0.404,0.718
2020-09-19,4,4,1,2,0,0,0,0,0,0,0.301,0.321,0.408,0.728
2020-09-20,1,1,1,1,1,0,0,0,0,0,0.318,0.336,0.43,0.766
2020-09-20,3,3,0,2,0,0,0,0,0,0,0.311,0.33,0.415,0.745
2020-09-21,4,4,0,0,0,0,0,1,0,1,0.306,0.325,0.414,0.739
2020-09-22,3,3,0,1,0,0,0,1,0,0,0.307,0.325,0.412,0.737
2020-09-22,4,4,1,0,0,0,0,0,0,1,0.297,0.314,0.398,0.712
2020-09-23,3,3,0,0,0,0,0,1,0,2,0.289,0.306,0.388,0.695
2020-09-24,4,4,0,0,0,0,0,0,0,1,0.28,0.297,0.376,0.673
2020-09-26,3,3,1,0,0,0,0,0,0,1,0.269,0.291,0.362,0.653
2020-09-26,3,2,0,0,0,0,0,0,1,2,0.276,0.298,0.37,0.668
2020-09-27,5,4,1,2,0,0,0,2,1,0,0.276,0.302,0.366,0.668
2021-04-06,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-04-07,2,1,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5
2021-04-07,2,2,0,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25
2021-04-09,2,2,0,1,0,0,0,0,0,0,0.2,0.333,0.2,0.533
2021-04-10,1,1,0,0,0,0,0,0,0,1,0.167,0.286,0.167,0.452
2021-04-11,1,1,0,0,0,0,0,0,0,1,0.143,0.25,0.143,0.393
2021-05-26,1,1,1,1,0,1,0,0,0,0,0.25,0.333,0.5,0.833
2021-05-27,3,3,0,0,0,0,0,0,0,0,0.182,0.25,0.364,0.614
2021-05-29,1,1,0,0,0,0,0,0,0,1,0.167,0.231,0.333,0.564
2021-06-16,4,3,0,1,0,0,0,0,1,0,0.2,0.294,0.333,0.628
2021-06-19,3,3,1,1,0,0,0,0,0,0,0.222,0.3,0.333,0.633
2021-07-29,1,1,0,0,0,0,0,0,0,0,0.182,0.25,0.273,0.523
2021-07-29,3,3,0,0,0,0,0,0,0,0,0.19,0.261,0.286,0.547
2021-07-30,4,4,1,1,0,0,1,1,0,1,0.192,0.25,0.385,0.635
2021-07-31,4,4,0,1,0,0,0,0,0,0,0.2,0.25,0.367,0.617
2021-08-01,4,3,0,0,0,0,0,0,1,1,0.182,0.25,0.333,0.583
2021-08-02,4,4,1,0,0,0,0,0,0,0,0.162,0.225,0.297,0.522
2021-08-03,4,4,0,0,0,0,0,0,0,2,0.146,0.205,0.268,0.473
2021-08-04,4,4,2,2,0,0,2,2,0,0,0.178,0.229,0.422,0.651
2021-08-05,4,3,0,1,0,0,0,0,1,1,0.188,0.25,0.417,0.667
2021-08-06,4,4,0,1,1,0,0,1,0,1,0.192,0.25,0.423,0.673
2021-08-07,4,4,0,0,0,0,0,1,0,2,0.179,0.233,0.393,0.626
2021-08-08,4,4,2,2,1,0,0,0,0,0,0.2,0.25,0.417,0.667
2021-08-10,4,4,1,1,1,0,0,2,0,0,0.203,0.25,0.422,0.672
2021-08-12,3,3,1,1,0,0,0,0,0,0,0.2,0.243,0.4,0.643
2021-08-12,3,3,0,0,0,0,0,0,0,1,0.194,0.239,0.403,0.642
2021-08-13,3,3,0,2,0,0,0,0,0,1,0.219,0.26,0.411,0.671
2021-08-14,4,4,0,0,0,0,0,0,0,1,0.208,0.247,0.39,0.636
2021-08-15,4,2,1,1,0,0,0,0,2,0,0.215,0.271,0.392,0.663
2021-08-17,3,3,0,0,0,0,0,0,0,0,0.207,0.261,0.378,0.639
2021-08-18,4,4,0,1,0,0,0,0,0,1,0.209,0.261,0.372,0.633
2021-08-20,4,3,1,1,1,0,0,0,1,0,0.213,0.271,0.382,0.653
2021-08-21,4,4,0,0,0,0,0,0,0,2,0.204,0.26,0.366,0.626
2021-08-22,4,4,0,1,0,0,0,0,0,1,0.206,0.26,0.361,0.62
2021-08-24,4,4,1,1,1,0,0,0,0,0,0.208,0.259,0.366,0.626
2021-08-25,4,4,0,1,0,0,0,0,0,0,0.21,0.259,0.362,0.621
2021-08-26,4,4,0,2,0,0,0,0,0,1,0.22,0.267,0.367,0.634
2021-08-27,4,4,0,1,1,0,0,0,0,2,0.221,0.267,0.372,0.638
2021-08-28,4,3,1,0,0,0,0,0,1,1,0.216,0.266,0.362,0.628
2021-08-29,4,4,0,0,0,0,0,0,0,1,0.208,0.258,0.35,0.608
2021-08-30,4,4,1,1,0,0,0,0,0,0,0.21,0.258,0.347,0.604
2021-08-31,5,5,1,2,1,0,0,1,0,2,0.217,0.263,0.357,0.619
2021-09-02,4,3,0,0,0,0,0,0,1,0,0.212,0.262,0.348,0.611
2021-09-03,4,4,0,2,2,0,0,0,0,0,0.221,0.269,0.368,0.637
2021-09-04,5,5,1,2,1,0,0,0,0,1,0.227,0.273,0.376,0.649
2021-09-04,2,2,1,1,1,0,0,0,0,0,0.231,0.276,0.385,0.661
2021-09-05,4,4,0,0,0,0,0,0,0,1,0.224,0.269,0.374,0.643
2021-09-06,4,4,1,2,0,1,0,0,0,0,0.232,0.275,0.391,0.666
2021-09-07,4,4,0,1,0,0,0,0,0,1,0.232,0.274,0.387,0.662
2021-09-08,4,4,0,1,1,0,0,1,0,0,0.233,0.274,0.39,0.664
2021-09-09,5,5,2,2,1,0,1,1,0,1,0.238,0.277,0.415,0.692
2021-09-10,4,4,0,0,0,0,0,0,0,1,0.232,0.271,0.405,0.676
