PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-04-25,4,4,1,1,0,0,0,0,0,1,0.25,0.25,0.25,0.5
2019-04-26,4,2,0,2,1,0,0,1,1,0,0.5,0.5,0.667,1.167
2019-04-27,4,3,0,0,0,0,0,0,1,1,0.333,0.417,0.444,0.861
2019-04-28,4,4,0,0,0,0,0,0,0,1,0.231,0.313,0.308,0.62
2019-04-30,3,3,0,1,1,0,0,0,0,0,0.25,0.316,0.375,0.691
2019-05-01,0,0,0,0,0,0,0,0,0,0,0.25,0.316,0.375,0.691
2019-05-02,4,4,0,1,0,1,0,0,0,0,0.25,0.304,0.45,0.754
2019-05-04,4,4,0,0,0,0,0,0,0,1,0.208,0.259,0.375,0.634
2019-05-05,3,3,0,0,0,0,0,0,0,2,0.185,0.233,0.333,0.567
2019-05-14,4,2,1,0,0,0,0,0,2,0,0.172,0.265,0.31,0.575
2019-05-15,5,5,0,0,0,0,0,0,0,3,0.147,0.231,0.265,0.496
2019-05-21,4,4,1,1,0,0,0,0,0,1,0.158,0.233,0.263,0.496
2019-05-23,5,4,0,2,0,0,0,0,1,1,0.19,0.271,0.286,0.556
2019-05-24,4,4,0,0,0,0,0,0,0,2,0.174,0.25,0.261,0.511
2019-05-25,4,4,1,2,0,0,0,0,0,2,0.2,0.268,0.28,0.548
2019-05-26,4,4,1,2,0,0,0,2,0,0,0.222,0.283,0.296,0.58
2019-05-27,4,3,0,0,0,0,0,1,0,1,0.211,0.266,0.281,0.546
2019-05-28,4,2,1,0,0,0,0,0,2,1,0.203,0.279,0.271,0.551
2019-05-29,6,4,2,1,1,0,0,1,1,2,0.206,0.288,0.286,0.573
2019-05-30,5,4,2,2,1,0,0,2,1,1,0.224,0.308,0.313,0.621
2019-05-31,3,2,1,0,0,0,0,0,1,1,0.217,0.309,0.304,0.613
2019-06-01,4,4,0,1,0,0,0,0,0,2,0.219,0.306,0.301,0.607
2019-06-02,5,4,3,2,0,0,1,2,1,0,0.234,0.322,0.351,0.673
2019-06-04,3,2,0,0,0,0,0,0,0,0,0.228,0.323,0.342,0.664
2019-06-05,4,4,1,2,0,0,0,0,0,0,0.241,0.33,0.349,0.679
2019-06-06,4,4,0,1,1,0,0,0,0,1,0.241,0.327,0.356,0.683
2019-06-07,4,4,0,0,0,0,0,0,0,3,0.231,0.314,0.341,0.655
2019-06-08,5,5,0,1,0,0,0,0,0,0,0.229,0.309,0.333,0.642
2019-06-09,4,3,0,1,0,0,0,1,0,1,0.232,0.307,0.333,0.64
2019-06-10,4,4,1,1,0,0,0,0,0,2,0.233,0.305,0.33,0.635
2019-06-11,3,3,0,0,0,0,0,0,0,1,0.226,0.298,0.321,0.618
2019-06-13,4,4,0,0,0,0,0,0,0,2,0.218,0.288,0.309,0.597
2019-06-14,4,4,0,1,0,0,0,0,0,2,0.219,0.287,0.307,0.594
2019-06-15,4,3,0,1,1,0,0,0,1,1,0.222,0.293,0.316,0.61
2019-06-18,3,3,0,2,1,0,0,0,0,0,0.233,0.301,0.333,0.635
2019-06-19,5,5,2,2,1,0,0,1,0,0,0.24,0.305,0.344,0.649
2019-06-20,5,5,2,3,0,0,1,3,0,1,0.254,0.315,0.377,0.692
2019-06-21,4,4,0,1,0,0,0,0,0,1,0.254,0.313,0.373,0.686
2019-06-22,4,3,0,0,0,0,0,0,1,0,0.248,0.312,0.365,0.677
2019-06-23,5,3,0,0,0,0,0,0,2,0,0.243,0.314,0.357,0.672
2019-06-25,4,3,1,1,0,0,1,3,1,0,0.245,0.319,0.378,0.697
2019-06-26,4,4,0,0,0,0,0,0,0,2,0.238,0.311,0.367,0.679
2019-06-27,4,4,0,3,0,0,0,2,0,0,0.252,0.322,0.377,0.699
2019-06-28,4,4,0,1,0,0,0,0,0,0,0.252,0.32,0.374,0.694
2019-06-29,3,3,0,1,1,0,0,0,0,0,0.253,0.32,0.38,0.7
2019-06-30,1,1,0,0,0,0,0,0,0,0,0.252,0.318,0.377,0.696
2019-07-02,5,3,0,0,0,0,0,0,1,0,0.247,0.321,0.37,0.691
2019-07-03,1,1,0,0,0,0,0,0,0,1,0.245,0.319,0.368,0.687
2019-07-04,4,4,0,3,1,0,0,0,0,0,0.257,0.328,0.383,0.711
2019-07-05,4,4,0,1,0,0,0,0,0,1,0.257,0.326,0.38,0.706
2019-07-06,3,3,0,0,0,0,0,0,0,2,0.253,0.321,0.374,0.695
2019-07-07,5,3,2,2,0,0,0,0,2,0,0.26,0.333,0.379,0.712
2019-07-12,0,0,0,0,0,0,0,0,0,0,0.26,0.333,0.379,0.712
2019-07-13,4,4,1,3,1,0,0,0,0,1,0.271,0.341,0.392,0.734
2019-07-14,4,4,0,1,0,0,0,0,0,1,0.27,0.34,0.389,0.729
2019-07-15,4,4,0,0,0,0,0,0,0,3,0.265,0.333,0.381,0.714
2019-07-16,4,4,0,2,1,1,0,2,0,0,0.269,0.336,0.399,0.735
2019-07-17,4,3,1,0,0,0,0,0,1,1,0.265,0.335,0.393,0.728
2019-07-18,4,4,0,0,0,0,0,0,0,4,0.26,0.329,0.385,0.714
2019-07-19,3,3,0,1,0,0,0,0,0,0,0.261,0.329,0.384,0.713
2019-07-20,4,4,1,0,0,0,0,0,0,1,0.256,0.323,0.377,0.7
2019-07-21,4,4,1,1,0,1,0,1,0,1,0.256,0.322,0.384,0.706
2019-07-23,4,3,1,1,1,0,0,0,1,1,0.257,0.325,0.388,0.713
2019-07-24,4,3,0,0,0,0,0,0,1,1,0.253,0.324,0.382,0.706
2019-07-25,7,6,1,1,0,0,0,0,1,1,0.251,0.323,0.377,0.699
2019-07-26,4,3,1,0,0,0,0,0,1,1,0.248,0.322,0.372,0.693
2019-07-27,4,3,1,0,0,0,0,0,1,0,0.245,0.32,0.367,0.687
2019-07-29,1,1,0,0,0,0,0,0,0,1,0.243,0.319,0.365,0.684
2019-07-30,4,4,1,2,0,0,0,0,0,0,0.248,0.322,0.368,0.69
2019-07-31,4,4,0,0,0,0,0,0,0,1,0.244,0.317,0.361,0.678
2019-08-02,4,1,1,0,0,0,0,0,2,0,0.243,0.324,0.36,0.683
2019-08-03,4,4,0,1,0,0,0,0,0,2,0.243,0.322,0.358,0.68
2019-08-04,3,3,0,0,0,0,0,0,0,1,0.24,0.319,0.354,0.673
