PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-04-10,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018-04-11,2,2,1,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667
2018-04-14,5,5,2,2,0,0,1,3,0,0,0.375,0.375,0.75,1.125
2018-04-15,4,4,0,0,0,0,0,0,0,3,0.25,0.25,0.5,0.75
2018-04-16,4,3,0,1,0,0,0,0,1,1,0.267,0.313,0.467,0.779
2018-04-17,4,4,3,3,1,0,0,2,0,0,0.368,0.4,0.579,0.979
2018-04-18,7,5,1,1,0,0,1,1,2,2,0.333,0.407,0.625,1.032
2018-04-20,3,3,0,1,0,0,0,1,0,1,0.333,0.4,0.593,0.993
2018-04-21,3,3,0,1,1,0,0,0,0,0,0.333,0.394,0.6,0.994
2018-04-22,3,3,0,1,0,0,0,0,0,0,0.333,0.389,0.576,0.965
2018-04-23,5,4,2,2,1,0,0,1,1,1,0.351,0.415,0.595,1.009
2018-04-24,4,4,1,1,0,0,1,1,0,1,0.341,0.4,0.634,1.034
2018-04-25,4,4,0,0,0,0,0,0,0,2,0.311,0.367,0.578,0.945
2018-04-27,4,4,1,1,0,0,1,2,0,1,0.306,0.358,0.612,0.971
2018-04-28,3,3,0,1,0,0,0,0,0,0,0.308,0.357,0.596,0.953
2018-05-01,4,3,0,1,0,0,0,1,1,1,0.309,0.367,0.582,0.948
2018-05-02,4,4,1,3,0,0,1,1,0,1,0.339,0.391,0.644,1.035
2018-05-03,4,4,0,0,0,0,0,0,0,2,0.317,0.368,0.603,0.971
2018-05-04,4,4,0,0,0,0,0,0,0,2,0.299,0.347,0.567,0.914
2018-05-05,4,4,0,0,0,0,0,0,0,1,0.282,0.329,0.535,0.864
2018-05-06,4,4,1,1,0,0,0,0,0,0,0.28,0.325,0.52,0.845
2018-05-07,4,4,1,1,1,0,0,0,0,1,0.278,0.321,0.519,0.84
2018-05-09,2,1,0,0,0,0,0,0,1,1,0.275,0.326,0.513,0.838
2018-05-11,5,3,2,1,1,0,0,0,2,1,0.277,0.341,0.518,0.859
