PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,4,4,0,1,1,0,0,0,0,0,0.25,0.25,0.5,0.75
2018-03-30,8,5,0,1,0,0,0,1,3,0,0.222,0.417,0.333,0.75
2018-03-31,4,4,1,2,0,0,0,0,0,0,0.308,0.438,0.385,0.822
2018-04-01,2,2,0,1,1,0,0,0,0,0,0.333,0.444,0.467,0.911
2018-04-02,4,4,0,0,0,0,0,0,0,1,0.263,0.364,0.368,0.732
2018-04-03,5,5,0,1,0,0,0,0,0,1,0.25,0.333,0.333,0.667
2018-04-05,3,3,0,0,0,0,0,0,0,1,0.222,0.3,0.296,0.596
2018-04-07,3,3,0,1,0,0,0,0,0,1,0.233,0.303,0.3,0.603
2018-04-08,5,4,2,1,0,0,1,1,0,0,0.235,0.316,0.382,0.698
2018-04-09,5,5,0,2,0,0,0,0,0,1,0.256,0.326,0.385,0.71
2018-04-10,5,4,1,1,0,0,0,1,0,1,0.256,0.319,0.372,0.691
2018-04-11,4,3,1,1,0,0,1,1,1,0,0.261,0.333,0.435,0.768
2018-04-13,5,5,1,3,0,0,0,0,0,0,0.294,0.357,0.451,0.808
2018-04-14,4,4,0,1,0,0,0,0,0,0,0.291,0.35,0.436,0.786
2018-04-15,4,4,0,1,0,0,0,0,0,2,0.288,0.344,0.424,0.768
2018-04-16,4,4,0,2,1,0,0,0,0,0,0.302,0.353,0.444,0.797
2018-04-17,5,4,1,1,0,0,0,0,1,1,0.299,0.356,0.433,0.789
2018-04-19,4,4,0,0,0,0,0,0,0,0,0.282,0.338,0.408,0.746
2018-04-20,4,4,0,0,0,0,0,0,0,1,0.267,0.321,0.387,0.708
2018-04-21,4,3,0,0,0,0,0,0,1,0,0.256,0.318,0.372,0.689
2018-04-22,1,1,0,0,0,0,0,0,0,1,0.253,0.314,0.367,0.681
2018-04-23,5,5,0,1,0,0,0,0,0,1,0.25,0.308,0.357,0.665
2018-04-24,4,4,0,0,0,0,0,0,0,0,0.239,0.295,0.341,0.636
2018-04-25,5,4,2,2,0,0,1,3,1,0,0.25,0.31,0.38,0.69
2018-04-27,4,4,0,0,0,0,0,0,0,1,0.24,0.298,0.365,0.663
2018-04-28,4,4,0,0,0,0,0,0,0,0,0.23,0.287,0.35,0.637
2018-04-29,3,3,1,1,0,0,1,1,0,1,0.233,0.288,0.379,0.667
2018-04-30,4,4,0,1,0,0,0,1,0,0,0.234,0.287,0.374,0.661
2018-05-01,4,3,0,1,1,0,0,0,1,0,0.236,0.294,0.382,0.676
2018-05-02,3,3,0,1,0,0,0,0,0,0,0.239,0.295,0.381,0.676
2018-05-04,3,3,0,0,0,0,0,0,0,0,0.233,0.288,0.371,0.659
2018-05-05,4,4,0,1,0,0,0,0,0,1,0.233,0.287,0.367,0.654
2018-05-06,1,1,0,1,0,0,0,1,0,0,0.24,0.292,0.372,0.664
2018-05-07,3,3,0,1,0,0,0,1,0,0,0.242,0.293,0.371,0.664
