PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-08-03,5,5,0,1,0,0,0,1,0,2,0.2,0.2,0.2,0.4
2018-08-04,3,3,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25
2018-08-05,4,4,1,3,0,0,0,1,0,0,0.333,0.333,0.333,0.667
2018-08-08,3,3,0,1,0,0,0,1,0,0,0.333,0.333,0.333,0.667
2018-08-11,4,4,0,0,0,0,0,0,0,2,0.263,0.263,0.263,0.526
2018-08-12,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5
2018-08-13,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
2018-08-14,3,3,0,1,0,0,0,0,0,2,0.261,0.261,0.261,0.522
2018-08-15,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5
2018-08-17,0,0,1,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
2018-08-18,4,4,0,1,0,0,0,0,0,2,0.25,0.25,0.25,0.5
2018-08-20,4,4,2,2,0,0,2,5,0,1,0.281,0.281,0.469,0.75
2018-08-21,4,4,1,2,0,0,0,0,0,1,0.306,0.306,0.472,0.778
2018-08-22,4,4,0,0,0,0,0,0,0,2,0.275,0.275,0.425,0.7
2018-08-23,4,3,0,1,0,0,0,0,1,2,0.279,0.295,0.419,0.714
2018-08-24,1,1,1,1,0,0,1,1,0,0,0.295,0.311,0.5,0.811
2018-08-25,4,2,1,1,1,0,0,1,2,0,0.304,0.347,0.522,0.869
2018-08-26,4,4,0,0,0,0,0,0,0,0,0.28,0.321,0.48,0.801
2018-08-27,3,3,1,1,1,0,0,0,0,1,0.283,0.321,0.491,0.812
2018-08-28,4,3,1,2,0,0,0,0,1,0,0.304,0.35,0.5,0.85
2018-08-29,4,3,0,1,1,0,0,0,1,1,0.305,0.359,0.508,0.868
2018-08-30,3,2,0,1,1,0,0,0,1,0,0.311,0.373,0.525,0.898
2018-08-31,4,2,1,1,0,0,0,1,0,1,0.317,0.38,0.524,0.904
2018-09-01,4,2,2,1,0,0,0,0,1,1,0.323,0.4,0.523,0.923
2018-09-02,4,4,0,0,0,0,0,0,0,2,0.304,0.38,0.493,0.872
2018-09-03,1,1,0,0,0,0,0,0,0,0,0.3,0.375,0.486,0.861
2018-09-04,3,2,0,0,0,0,0,0,1,0,0.292,0.373,0.472,0.846
2018-09-05,5,5,2,2,2,0,0,0,0,2,0.299,0.375,0.494,0.868
2018-09-07,5,4,2,2,0,0,2,2,1,1,0.309,0.387,0.568,0.955
2018-09-08,5,4,1,0,0,0,0,0,1,3,0.294,0.378,0.541,0.919
2018-09-09,4,4,0,1,1,0,0,1,0,0,0.292,0.373,0.539,0.912
2018-09-11,5,5,0,0,0,0,0,0,0,1,0.277,0.355,0.511,0.866
2018-09-12,6,5,1,3,1,1,0,0,1,1,0.293,0.372,0.545,0.917
2018-09-13,5,5,1,1,0,0,0,0,0,2,0.288,0.364,0.529,0.893
2018-09-14,4,4,0,0,0,0,0,0,0,2,0.278,0.352,0.509,0.862
2018-09-15,4,3,0,1,0,0,0,0,1,2,0.279,0.357,0.505,0.862
2018-09-16,3,3,0,1,1,0,0,0,0,0,0.281,0.357,0.509,0.865
2018-09-18,5,4,0,0,0,0,0,0,1,2,0.271,0.351,0.492,0.842
2018-09-19,4,3,0,2,0,0,0,2,0,0,0.281,0.355,0.496,0.851
2018-09-20,4,3,2,2,1,0,0,2,1,0,0.29,0.366,0.508,0.874
2018-09-21,4,4,1,2,0,0,0,0,0,1,0.297,0.37,0.508,0.878
2018-09-22,4,4,1,1,0,0,0,0,0,1,0.295,0.367,0.5,0.867
2018-09-23,4,4,0,2,1,0,0,0,0,1,0.301,0.37,0.507,0.878
2018-09-24,5,5,0,1,0,0,0,0,0,0,0.298,0.365,0.496,0.861
2018-09-25,6,5,1,1,0,0,0,1,1,2,0.295,0.364,0.486,0.85
2018-09-28,4,3,1,0,0,0,0,0,1,2,0.289,0.361,0.477,0.838
2018-09-29,5,5,2,2,1,0,0,0,0,2,0.292,0.362,0.481,0.843
2018-09-30,2,2,0,0,0,0,0,0,0,2,0.288,0.358,0.474,0.832
2019-03-20,5,5,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
2019-03-21,5,5,0,2,0,0,0,0,0,2,0.2,0.2,0.2,0.4
2019-03-28,3,3,0,0,0,0,0,0,0,1,0.154,0.154,0.154,0.308
2019-03-29,4,4,0,0,0,0,0,0,0,3,0.118,0.118,0.118,0.235
2019-03-30,0,0,0,0,0,0,0,0,0,0,0.118,0.118,0.118,0.235
2019-03-31,3,3,0,1,0,0,0,0,0,0,0.15,0.15,0.15,0.3
2019-04-01,4,4,1,1,0,0,1,1,0,3,0.167,0.167,0.292,0.458
2019-04-02,3,3,0,0,0,0,0,0,0,0,0.148,0.148,0.259,0.407
2019-04-03,4,4,1,1,0,0,1,2,0,2,0.161,0.161,0.355,0.516
2019-04-04,4,3,1,1,0,0,0,0,1,0,0.176,0.2,0.353,0.553
2019-04-05,4,4,0,4,1,0,0,2,0,0,0.263,0.282,0.447,0.729
2019-04-06,4,4,0,0,0,0,0,0,0,0,0.238,0.256,0.405,0.661
2019-04-07,4,4,2,2,0,0,0,0,0,1,0.261,0.277,0.413,0.69
2019-04-09,5,4,2,1,0,0,0,2,0,1,0.26,0.288,0.4,0.688
2019-04-10,4,4,0,0,0,0,0,0,0,1,0.241,0.268,0.37,0.638
2019-04-11,4,4,1,1,0,0,0,0,0,2,0.241,0.267,0.362,0.629
2019-04-12,4,4,1,2,0,0,1,1,0,0,0.258,0.281,0.419,0.701
2019-04-14,4,4,1,1,0,0,0,0,0,2,0.258,0.279,0.409,0.688
2019-04-16,3,1,0,0,0,0,0,0,2,0,0.254,0.296,0.403,0.699
2019-04-17,3,3,0,0,0,0,0,0,0,0,0.243,0.284,0.386,0.67
2019-04-19,4,4,0,0,0,0,0,0,0,1,0.23,0.269,0.365,0.634
2019-04-20,3,3,0,0,0,0,0,0,0,1,0.221,0.259,0.351,0.61
2019-04-21,4,2,1,1,0,0,0,0,1,1,0.228,0.282,0.354,0.637
2019-04-22,4,4,0,0,0,0,0,0,0,2,0.217,0.27,0.337,0.607
2019-04-23,5,4,2,2,1,0,0,2,0,1,0.23,0.287,0.356,0.644
2019-04-24,4,3,0,1,1,0,0,0,1,1,0.233,0.296,0.367,0.663
2019-04-26,3,3,1,1,0,0,0,0,0,0,0.237,0.297,0.366,0.663
2019-04-27,4,4,1,2,1,0,0,0,0,0,0.247,0.305,0.381,0.686
2019-04-28,5,4,0,0,0,0,0,1,0,2,0.238,0.291,0.366,0.657
2019-04-29,4,3,1,0,0,0,0,0,1,1,0.231,0.289,0.356,0.645
2019-04-30,3,3,0,1,0,0,0,0,0,2,0.234,0.291,0.355,0.646
2019-05-01,4,4,0,1,0,0,0,1,0,1,0.234,0.289,0.351,0.641
2019-05-03,5,5,1,1,0,0,0,0,0,3,0.233,0.286,0.345,0.63
2019-05-04,1,1,0,0,0,0,0,0,0,0,0.231,0.283,0.342,0.625
2019-05-05,6,5,1,0,0,0,0,0,1,1,0.221,0.278,0.328,0.606
2019-05-07,3,3,0,0,0,0,0,0,0,1,0.216,0.272,0.32,0.592
2019-05-08,5,4,0,3,0,0,0,0,1,1,0.233,0.291,0.333,0.624
2019-05-09,4,4,0,1,0,0,0,0,0,0,0.233,0.29,0.331,0.62
2019-05-10,5,5,1,1,0,0,1,1,0,2,0.232,0.287,0.348,0.634
2019-05-11,4,4,0,1,0,0,0,1,0,2,0.232,0.286,0.345,0.631
2019-05-12,4,3,1,0,0,0,0,0,1,2,0.228,0.285,0.338,0.623
2019-05-13,5,5,1,1,0,0,1,1,0,2,0.227,0.282,0.353,0.636
2019-05-14,4,3,1,0,0,0,0,0,1,1,0.222,0.281,0.346,0.628
2019-05-16,5,5,2,2,0,0,0,0,0,2,0.228,0.285,0.348,0.633
2019-05-17,0,0,0,0,0,0,0,0,0,0,0.228,0.285,0.348,0.633
2019-05-18,4,4,0,1,0,0,0,0,0,1,0.228,0.284,0.346,0.63
2019-05-19,3,3,1,2,0,0,0,0,0,0,0.236,0.291,0.352,0.642
2019-05-20,4,4,0,1,1,0,0,0,0,1,0.237,0.29,0.355,0.645
2019-05-21,4,3,0,1,1,0,0,0,1,1,0.238,0.294,0.36,0.655
2019-05-22,5,5,1,1,1,0,0,0,0,1,0.237,0.292,0.362,0.653
2019-05-24,4,4,1,2,1,0,0,0,0,1,0.243,0.296,0.37,0.666
2019-05-25,4,3,1,2,1,0,0,1,0,0,0.25,0.3,0.38,0.68
2019-05-26,4,4,0,1,0,0,0,0,0,2,0.25,0.299,0.378,0.677
2019-05-27,4,4,1,1,1,0,0,0,0,0,0.25,0.298,0.38,0.678
2019-05-28,4,4,1,1,0,0,1,1,0,1,0.25,0.297,0.393,0.69
2019-05-29,5,5,0,2,1,0,0,1,0,1,0.254,0.3,0.398,0.698
2019-05-31,4,4,0,2,1,0,0,0,0,0,0.259,0.303,0.405,0.708
2019-06-01,4,4,0,1,0,0,0,0,0,2,0.258,0.302,0.402,0.704
2019-06-02,5,5,1,1,0,0,1,1,0,2,0.257,0.3,0.411,0.711
2019-06-04,4,2,1,2,1,0,1,2,1,0,0.264,0.312,0.435,0.747
2019-06-05,5,4,1,0,0,0,0,0,1,2,0.259,0.31,0.427,0.737
2019-06-06,5,4,1,1,0,0,0,2,0,0,0.259,0.307,0.424,0.732
2019-06-07,0,0,0,0,0,0,0,0,0,0,0.259,0.307,0.424,0.732
2019-06-08,4,4,1,1,0,0,0,0,0,1,0.259,0.306,0.421,0.728
2019-06-08,3,3,0,1,0,0,0,0,0,0,0.26,0.307,0.42,0.727
2019-06-09,4,4,1,2,0,0,0,0,0,1,0.264,0.31,0.421,0.731
2019-06-10,4,4,0,0,0,0,0,0,0,0,0.259,0.305,0.414,0.719
2019-06-11,4,3,0,0,0,0,0,0,0,2,0.256,0.304,0.409,0.713
2019-06-12,4,4,1,2,0,0,1,5,0,0,0.26,0.307,0.423,0.73
2019-06-14,4,4,0,0,0,0,0,0,0,0,0.256,0.303,0.416,0.719
2019-06-15,5,5,1,2,0,0,0,2,0,0,0.259,0.304,0.416,0.72
