PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2020-08-21,4,2,1,0,0,0,0,0,2,1,0.0,0.5,0.0,0.5
2020-08-22,4,4,0,1,0,0,0,0,0,1,0.167,0.375,0.167,0.542
2020-08-23,4,3,1,2,2,0,0,0,1,1,0.333,0.5,0.556,1.056
2020-08-25,4,3,0,1,0,0,0,1,1,2,0.333,0.5,0.5,1.0
2020-08-26,4,4,0,2,0,0,0,0,0,1,0.375,0.5,0.5,1.0
2020-08-28,4,4,0,1,0,0,0,0,0,0,0.35,0.458,0.45,0.908
2020-08-29,4,4,0,0,0,0,0,0,0,0,0.292,0.393,0.375,0.768
2020-08-30,4,4,2,3,0,0,2,3,0,0,0.357,0.438,0.643,1.08
2020-08-31,5,5,0,1,0,0,0,0,0,2,0.333,0.405,0.576,0.981
2020-09-01,4,4,0,0,0,0,0,0,0,2,0.297,0.366,0.514,0.879
2020-09-02,4,4,1,2,0,0,0,1,0,0,0.317,0.378,0.512,0.89
2020-09-04,2,1,0,0,0,0,0,0,1,0,0.31,0.383,0.5,0.883
2020-09-04,3,3,2,3,0,0,1,3,0,0,0.356,0.42,0.6,1.02
2020-09-05,4,4,1,1,0,0,0,2,0,0,0.347,0.407,0.571,0.979
2020-09-06,4,2,0,0,0,0,0,1,1,1,0.333,0.397,0.549,0.946
2020-09-08,5,5,1,2,1,0,1,2,0,1,0.339,0.397,0.607,1.004
2020-09-09,5,4,1,4,0,0,0,1,0,0,0.383,0.441,0.633,1.075
2020-09-11,3,3,0,0,0,0,0,0,0,2,0.354,0.419,0.585,1.004
2020-09-11,3,2,0,0,0,0,0,0,1,0,0.371,0.437,0.613,1.05
2020-09-12,4,3,0,2,1,0,0,1,1,1,0.368,0.436,0.603,1.039
2020-09-13,4,4,0,0,0,0,0,0,0,2,0.347,0.415,0.569,0.984
2020-09-14,5,5,1,3,0,0,1,3,0,1,0.364,0.425,0.61,1.036
2020-09-15,3,3,0,0,0,0,0,0,0,2,0.35,0.411,0.588,0.999
2020-09-16,4,3,0,0,0,0,0,1,0,1,0.337,0.394,0.566,0.96
2020-09-17,3,3,0,2,0,0,0,1,0,1,0.349,0.402,0.57,0.972
2020-09-17,4,3,0,1,1,0,0,1,1,1,0.348,0.406,0.573,0.979
2020-09-18,4,3,0,0,0,0,0,0,1,2,0.337,0.4,0.554,0.954
2020-09-19,4,4,0,2,0,0,0,0,0,1,0.344,0.404,0.552,0.956
2020-09-20,4,4,0,0,0,0,0,0,0,1,0.33,0.389,0.53,0.919
2020-09-22,5,5,0,0,0,0,0,0,0,1,0.314,0.373,0.505,0.878
