PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,4,3,0,1,0,0,0,1,1,1,0.333,0.5,0.333,0.833
2018-03-31,4,4,1,1,0,0,1,2,0,3,0.286,0.375,0.714,1.089
2018-04-02,4,2,0,0,0,0,0,0,2,1,0.222,0.417,0.556,0.972
2018-04-04,5,5,0,0,0,0,0,0,0,3,0.143,0.294,0.357,0.651
2018-04-06,3,3,0,0,0,0,0,0,0,0,0.118,0.25,0.294,0.544
2018-04-08,4,4,1,1,0,0,1,2,0,0,0.143,0.25,0.429,0.679
2018-04-09,3,3,1,1,0,0,0,0,0,0,0.167,0.259,0.417,0.676
2018-04-11,4,4,1,1,0,0,0,0,0,2,0.179,0.258,0.393,0.651
2018-04-13,4,3,0,1,0,0,0,0,1,2,0.194,0.286,0.387,0.673
2018-04-17,4,4,0,1,0,0,0,0,0,3,0.2,0.282,0.371,0.654
2018-04-18,2,2,0,1,1,0,0,0,0,0,0.216,0.293,0.405,0.698
2018-04-21,4,4,1,1,0,0,1,1,0,2,0.22,0.289,0.463,0.752
2018-04-22,5,5,0,3,1,0,0,1,0,0,0.261,0.32,0.5,0.82
2018-04-23,3,3,0,0,0,0,0,0,0,1,0.245,0.302,0.469,0.771
2018-04-25,4,4,0,0,0,0,0,0,0,0,0.226,0.281,0.434,0.715
2018-04-26,4,4,0,1,1,0,0,0,0,2,0.228,0.279,0.439,0.717
2018-04-27,4,3,1,1,0,0,1,1,0,2,0.233,0.292,0.483,0.776
2018-04-29,4,3,2,2,1,0,0,0,0,1,0.254,0.319,0.508,0.827
2018-04-30,5,3,0,1,0,0,0,0,1,2,0.258,0.338,0.5,0.838
2018-05-01,6,6,1,2,0,0,0,0,0,2,0.264,0.338,0.486,0.824
2018-05-03,5,4,0,0,0,0,0,0,1,2,0.25,0.329,0.461,0.79
2018-05-04,4,3,2,1,0,0,0,0,1,1,0.253,0.337,0.456,0.793
2018-05-06,3,3,1,1,0,0,0,0,0,2,0.256,0.337,0.451,0.788
2018-05-08,4,4,0,0,0,0,0,0,0,2,0.244,0.323,0.43,0.753
2018-05-12,4,3,0,0,0,0,0,0,1,2,0.236,0.32,0.416,0.736
2018-05-13,5,5,3,4,1,0,1,3,0,0,0.266,0.343,0.479,0.822
2018-05-14,4,4,0,0,0,0,0,0,0,2,0.255,0.33,0.459,0.79
2018-05-15,5,4,0,1,0,0,0,0,1,2,0.255,0.333,0.451,0.784
2018-05-18,4,4,0,2,0,0,0,0,0,0,0.264,0.339,0.453,0.792
2018-05-19,4,4,1,1,0,0,1,1,0,1,0.264,0.336,0.473,0.809
2018-05-20,3,3,0,0,0,0,0,0,0,2,0.257,0.328,0.46,0.788
2018-05-23,4,4,0,1,0,0,0,0,0,1,0.256,0.326,0.453,0.779
2018-05-25,4,4,0,1,0,0,0,0,0,3,0.256,0.323,0.446,0.77
2018-05-26,4,4,0,0,0,0,0,0,0,0,0.248,0.314,0.432,0.746
