W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-05-21,0,0,0.0,1.0,1,0,0,0,1,1.0
2018-05-23,1,0,0.0,1.0,1,0,0,0,1,1.0
2018-05-25,0,0,0.0,1.0,1,0,0,1,1,1.33
2018-05-29,0,0,0.0,1.1,0,0,0,0,3,0.92
2018-06-03,0,0,1.42,2.0,1,1,0,1,2,0.95
2018-06-05,0,0,1.23,1.0,2,0,0,0,2,1.09
2018-06-07,0,0,2.45,0.0,2,1,1,0,0,1.36
2018-06-09,0,0,2.08,1.1,0,0,0,0,0,1.15
2018-06-11,1,0,1.86,1.0,0,0,0,0,2,1.03
2018-06-12,0,0,1.69,1.0,0,0,0,0,0,0.94
2018-06-14,0,0,1.59,0.2,1,0,0,1,1,1.06
2018-06-19,0,0,1.46,1.0,0,0,0,0,2,0.97
2018-06-20,0,0,1.32,1.1,0,0,0,1,0,0.95
2018-06-24,0,0,1.23,1.0,0,0,0,0,2,0.89
2018-06-25,0,0,1.15,1.0,0,0,0,0,1,0.83
2018-06-27,0,0,1.65,0.2,1,1,1,0,0,0.86
2018-06-30,0,0,1.56,1.0,0,0,0,0,0,0.81
2018-07-02,0,0,1.5,0.2,0,0,0,1,1,0.83
2018-07-03,0,0,1.42,1.0,0,0,0,0,2,0.79
2018-07-05,0,1,3.66,0.2,2,5,1,4,1,1.07
2018-07-08,1,0,3.32,2.0,0,0,0,0,4,0.97
2018-07-10,0,0,3.18,1.0,0,0,0,0,1,0.93
2018-07-11,0,0,3.04,1.0,0,0,0,0,2,0.89
2018-07-15,0,0,2.88,1.1,0,0,0,0,1,0.84
2018-07-20,0,0,2.84,0.1,1,0,0,0,1,0.87
2018-07-21,0,0,2.73,1.0,1,0,0,0,0,0.87
2018-07-24,0,0,2.63,1.0,1,0,0,1,1,0.91
2018-07-26,0,1,3.58,0.1,3,3,0,1,0,1.05
2018-07-28,0,0,3.49,0.2,0,0,0,1,0,1.06
2018-07-29,0,0,3.38,1.0,0,0,0,0,1,1.02
2018-08-02,0,0,3.26,1.0,0,0,0,1,1,1.02
2018-08-03,0,0,3.23,0.1,0,0,0,0,0,1.01
2018-08-05,0,0,3.45,0.2,2,1,0,1,0,1.09
2018-08-10,0,0,3.34,1.0,1,0,0,0,2,1.08
2018-08-11,0,0,3.24,1.0,0,0,0,1,1,1.08
2018-08-14,0,1,4.33,2.0,5,5,2,0,1,1.16
2018-08-18,0,0,4.14,1.2,0,0,0,1,1,1.14
2018-08-21,0,0,4.03,1.0,0,0,0,0,0,1.11
2018-08-22,0,0,4.19,0.2,1,1,0,1,1,1.14
2018-08-24,0,0,4.08,1.0,0,0,0,0,0,1.11
2018-08-25,0,0,4.05,0.1,1,0,0,0,0,1.13
2018-08-28,0,0,4.02,0.1,0,0,0,0,0,1.12
2018-08-29,0,1,4.65,0.1,3,3,0,0,0,1.18
2018-09-03,0,0,4.54,1.0,0,0,0,0,0,1.15
2018-09-05,0,0,4.68,0.2,1,1,0,0,0,1.16
2018-09-11,0,0,4.5,1.2,0,0,0,0,2,1.11
2018-09-13,0,0,4.37,1.1,0,0,0,0,1,1.08
2018-09-16,0,0,4.47,1.0,2,1,0,0,2,1.1
2018-09-17,0,0,4.37,1.0,0,0,0,0,1,1.08
2018-09-21,0,0,4.25,1.1,0,0,0,1,2,1.07
2018-09-22,0,0,4.2,0.2,2,0,0,0,0,1.09
2018-09-29,0,0,4.09,1.1,1,0,0,0,2,1.09
2019-03-29,0,1,9.0,1.0,2,1,0,0,0,2.0
2019-03-30,0,0,5.4,0.2,1,0,0,0,1,1.8
2019-04-01,0,0,3.38,1.0,0,0,0,1,1,1.5
2019-04-06,0,0,2.7,0.2,1,0,0,1,1,1.8
2019-04-07,0,1,5.4,0.0,2,1,0,1,0,2.7
2019-04-10,0,0,4.15,1.0,0,0,0,0,1,2.08
2019-04-13,0,0,8.44,1.0,4,3,0,0,1,2.44
2019-04-14,0,0,7.94,0.1,0,0,0,0,0,2.29
2019-04-16,0,0,8.1,1.0,2,1,1,0,0,2.25
2019-04-19,0,0,7.71,0.1,0,0,0,0,0,2.14
2019-04-20,0,0,6.75,1.0,1,0,0,0,2,2.0
2019-04-23,0,0,6.0,1.0,1,0,0,0,2,1.89
2019-04-24,0,1,8.38,0.2,2,3,0,1,1,2.07
2019-04-30,0,0,7.59,1.0,1,0,0,0,1,1.97
2019-05-05,0,0,6.94,1.0,1,0,0,0,0,1.89
2019-05-06,1,0,6.39,1.0,1,0,0,0,1,1.82
2019-05-07,0,1,8.1,0.2,1,3,1,1,0,1.88
2019-05-11,0,0,7.9,0.1,0,0,0,0,0,1.83
2019-05-15,0,0,7.04,1.2,0,0,0,0,3,1.63
2019-05-17,0,0,6.75,0.2,1,0,0,1,0,1.69
2019-05-18,0,0,6.48,0.2,0,0,0,0,0,1.62
2019-05-23,0,0,6.0,1.1,0,0,0,0,1,1.5
2019-05-24,0,0,6.63,1.0,1,2,0,2,1,1.58
2019-05-27,0,0,6.52,0.1,0,0,0,0,0,1.55
2019-05-30,0,1,7.08,1.0,1,2,0,1,0,1.57
2019-06-01,0,0,6.75,1.0,0,0,0,0,1,1.5
2019-06-05,0,0,7.25,1.0,1,2,1,1,1,1.52
2019-06-09,0,1,7.33,1.0,2,1,0,1,0,1.59
2019-06-11,0,0,8.17,2.0,7,4,1,1,2,1.78
2019-06-14,0,0,7.86,1.0,1,0,0,0,1,1.75
2019-06-19,0,1,8.0,0.2,1,1,1,0,1,1.74
2019-06-25,0,0,7.2,3.0,1,0,0,0,7,1.6
2019-06-29,0,0,7.31,2.0,3,2,1,0,1,1.59
2019-07-02,0,0,6.88,2.0,2,0,0,0,2,1.56
2019-07-04,0,0,7.2,1.0,2,2,0,1,0,1.6
2019-07-07,0,0,7.13,0.1,1,0,0,0,0,1.61
2019-07-12,0,0,7.43,1.0,2,2,1,0,2,1.62
2019-07-16,0,0,7.96,1.0,4,3,1,0,1,1.69
2019-07-20,0,0,7.55,2.0,1,0,0,2,1,1.68
2019-07-21,0,0,7.36,1.0,0,0,0,0,0,1.64
2019-07-27,0,0,7.19,1.0,0,0,0,0,0,1.6
2019-07-29,0,0,7.23,1.0,2,1,0,1,0,1.63
2019-08-01,0,0,7.06,1.0,2,0,0,1,1,1.66
2019-08-03,0,0,6.75,2.0,2,0,0,1,1,1.65
