W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-03-29,0,0,27.0,0,0,0.2,1,2,2,1,1,1,3.0
2018-03-30,0,0,10.8,0,0,1.0,0,0,0,0,0,2,1.2
2018-04-04,0,0,9.0,0,0,0.1,0,0,0,0,0,1,1.0
2018-04-05,0,0,5.4,0,0,1.1,0,0,0,0,0,1,0.6
2018-04-08,0,0,6.23,0,0,1.0,2,1,1,0,1,1,1.15
2018-04-09,0,0,5.4,0,0,0.2,0,0,0,0,2,0,1.4
2018-04-11,0,0,4.5,0,0,1.0,1,0,0,0,0,0,1.33
2018-04-13,0,0,4.26,0,0,0.1,0,0,0,0,1,1,1.42
2018-04-15,0,0,4.26,0,0,0.0,1,1,0,0,1,0,1.74
2018-04-17,0,0,3.52,0,0,1.1,0,0,0,0,1,1,1.57
2018-04-20,0,0,3.12,0,0,1.0,0,0,0,0,0,2,1.38
2018-04-21,0,0,3.12,0,0,0.0,1,0,0,0,0,0,1.5
2018-04-25,0,0,3.0,0,0,0.1,1,0,0,0,0,1,1.56
2018-04-28,0,0,2.79,0,0,0.2,0,0,0,0,1,1,1.55
2018-05-01,0,0,2.61,0,0,0.2,0,0,0,0,0,1,1.45
2018-05-02,0,0,2.53,0,0,0.1,0,0,0,0,0,0,1.41
2018-05-06,0,0,2.45,0,0,0.1,1,0,0,0,0,0,1.45
2018-05-17,0,0,2.38,0,0,0.1,0,0,0,0,0,0,1.41
2018-05-22,0,0,2.31,0,0,0.1,1,0,0,0,0,0,1.46
2018-05-25,0,0,1.98,0,0,2.0,1,0,0,0,0,3,1.32
2018-05-27,0,0,1.84,0,0,1.0,0,0,0,0,1,1,1.3
2018-05-28,0,1,1.76,0,0,0.2,2,1,0,0,0,1,1.37
2018-06-02,0,0,2.35,0,0,0.0,2,1,1,0,0,0,1.5
2018-06-06,0,1,3.45,0,0,0.1,1,2,2,1,1,0,1.6
2018-06-07,0,0,3.24,0,0,1.0,0,0,0,0,0,1,1.5
2018-06-09,0,0,5.29,0,0,0.1,4,4,4,1,0,0,1.71
2018-06-14,0,0,5.0,0,0,1.0,0,0,0,0,0,1,1.61
2018-06-17,0,0,4.74,0,0,1.0,0,0,0,0,0,0,1.53
2018-06-18,0,0,4.66,0,0,0.1,1,0,0,0,0,0,1.55
2018-06-20,0,0,4.5,0,1,0.2,0,0,0,0,0,0,1.5
2018-06-23,0,0,4.71,0,0,1.0,1,1,1,1,0,0,1.48
2018-06-25,0,0,5.57,0,0,0.0,2,2,2,0,1,0,1.62
2018-06-28,0,0,5.48,0,0,0.1,0,0,0,0,0,0,1.59
2018-06-30,0,0,5.24,0,0,1.0,1,0,0,0,1,1,1.61
2018-07-01,0,0,5.16,0,0,0.1,0,0,0,0,0,0,1.59
2018-07-06,0,0,5.32,0,0,1.0,2,1,1,0,1,2,1.65
2018-07-11,0,0,5.25,0,0,0.1,0,0,0,0,0,0,1.63
2018-07-12,0,0,5.18,0,0,0.1,0,0,0,0,0,1,1.6
2018-07-15,0,0,5.11,0,0,0.1,1,0,0,0,0,0,1.62
2018-07-20,0,0,4.91,0,0,1.0,0,0,0,0,0,1,1.56
2018-07-22,0,0,4.78,0,0,0.2,0,0,0,0,0,0,1.52
2018-07-24,0,0,4.94,0,0,1.0,1,1,1,1,0,1,1.5
2018-07-25,0,0,4.82,0,0,0.2,1,0,0,0,0,1,1.5
2018-07-26,0,0,4.76,0,0,0.1,2,0,0,0,0,0,1.55
2018-08-04,0,0,4.6,0,0,1.0,0,0,0,0,1,2,1.53
2018-08-06,0,0,4.55,0,0,0.1,0,0,0,0,0,0,1.52
2018-08-08,0,0,4.88,0,0,1.2,3,2,2,0,0,3,1.53
2018-08-10,0,0,4.68,0,0,1.1,1,0,0,0,0,3,1.5
2018-08-12,0,0,4.54,0,0,1.0,0,1,0,0,1,0,1.49
2018-08-15,0,0,4.33,0,0,1.2,2,0,0,0,0,2,1.47
2018-08-17,0,0,4.29,0,0,0.1,0,0,0,0,0,1,1.46
2018-08-19,0,0,4.14,0,0,1.1,1,0,0,0,0,1,1.43
2018-08-21,0,0,4.3,0,0,0.2,2,1,1,0,1,2,1.49
2018-08-27,0,0,4.08,0,0,2.0,0,0,0,0,1,2,1.44
2018-08-31,0,0,3.98,0,0,1.0,1,0,0,0,0,1,1.43
2018-09-02,0,0,3.89,0,0,1.0,0,0,0,0,0,1,1.39
2018-09-03,0,0,3.83,0,0,0.2,0,0,0,0,0,0,1.37
2018-09-08,0,0,4.22,0,0,0.1,3,2,2,0,1,0,1.45
2018-09-09,0,0,4.19,0,0,0.1,0,0,0,0,1,0,1.47
2018-09-11,0,0,4.15,0,0,0.1,1,0,0,0,0,0,1.48
2018-09-16,0,0,4.06,0,0,1.0,0,0,0,0,1,1,1.47
2018-09-19,0,0,3.97,0,0,1.0,0,0,0,0,0,0,1.43
2018-09-20,0,0,3.88,0,0,1.0,0,0,0,0,1,1,1.42
2018-09-22,0,0,4.08,0,0,0.0,1,1,1,0,0,0,1.45
2018-09-26,0,0,3.97,0,0,1.1,0,0,0,0,0,2,1.41
2018-09-28,0,0,3.88,0,0,1.0,2,1,0,0,1,0,1.44
2018-09-30,0,0,3.83,0,0,0.2,1,0,0,0,0,1,1.44
2019-03-30,1,0,0.0,0,0,0.1,0,0,0,0,0,0,0.0
2019-03-31,0,0,0.0,0,0,1.0,0,0,0,0,0,0,0.0
2019-04-02,0,0,0.0,0,0,1.0,1,0,0,0,0,1,0.43
2019-04-05,0,0,0.0,0,0,1.1,1,0,0,0,0,2,0.55
2019-04-07,0,0,0.0,0,0,0.1,0,0,0,0,0,0,0.5
2019-04-08,0,0,0.0,0,0,1.0,0,0,0,0,0,1,0.4
2019-04-14,0,0,0.0,0,0,0.1,0,0,0,0,0,1,0.38
2019-04-15,0,0,0.0,0,0,2.0,1,0,0,0,0,2,0.41
2019-04-17,0,0,0.0,0,0,0.1,0,0,0,0,0,0,0.39
2019-04-19,0,0,0.0,0,0,1.0,0,0,0,0,1,2,0.46
2019-04-20,0,0,0.0,0,0,0.1,0,0,0,0,0,1,0.44
2019-04-24,0,0,0.0,0,0,1.0,1,0,0,0,0,2,0.5
2019-04-25,0,0,0.0,0,0,0.1,0,0,0,0,0,0,0.48
2019-04-26,0,0,0.0,0,0,0.1,0,0,0,0,1,0,0.56
2019-04-30,0,0,0.0,0,0,1.0,0,0,0,0,0,0,0.51
2019-05-03,0,0,0.0,0,0,1.0,1,0,0,0,0,1,0.55
2019-05-04,0,1,1.38,0,0,0.1,2,2,2,2,0,0,0.69
2019-05-13,1,0,1.26,0,0,1.1,0,0,0,0,1,0,0.7
2019-05-16,0,0,2.35,0,0,1.0,0,2,2,0,1,1,0.72
2019-05-18,0,0,2.3,0,0,0.1,0,0,0,0,0,0,0.7
2019-05-19,0,0,2.16,0,0,1.0,0,0,0,0,0,2,0.66
2019-05-20,0,0,2.12,0,0,0.1,0,0,0,0,0,1,0.65
2019-05-23,0,0,2.08,0,0,0.1,0,0,0,0,1,0,0.69
2019-05-24,0,0,1.96,0,0,1.0,1,0,0,0,0,1,0.71
2019-06-22,0,1,3.32,0,0,0.2,2,3,3,0,1,0,0.84
2019-06-25,0,0,3.15,0,0,1.0,0,0,0,0,1,1,0.85
2019-06-26,0,0,3.1,0,0,0.1,0,0,0,0,0,0,0.84
2019-06-29,0,1,4.35,0,0,0.1,4,3,3,0,0,0,1.02
2019-07-05,1,0,4.22,0,0,0.2,0,0,0,0,0,0,0.98
2019-07-07,0,0,4.15,0,0,0.1,0,0,0,0,0,0,0.97
2019-07-13,0,0,4.03,0,0,0.2,2,1,0,0,0,0,1.03
2019-07-14,0,0,3.86,0,0,1.0,0,0,0,0,0,3,0.99
2019-07-16,0,0,3.65,0,0,1.1,0,0,0,0,0,0,0.93
2019-07-18,0,0,3.51,0,0,1.0,1,0,0,0,0,1,0.94
2019-07-21,0,0,3.38,0,0,1.0,0,0,0,0,1,2,0.94
2019-07-23,0,0,3.33,0,0,0.1,0,0,0,0,0,0,0.93
2019-07-24,0,0,3.21,0,0,1.0,0,0,0,0,2,1,0.96
2019-07-27,0,0,3.1,0,0,1.0,0,0,0,0,0,3,0.93
2019-07-28,0,0,3.07,0,0,0.1,0,0,0,0,0,0,0.92
2019-07-31,0,0,3.94,0,0,0.1,3,3,3,2,0,0,1.01
2020-08-03,0,0,0.0,0,0,0.1,0,0,0,0,0,0,0.0
2020-08-05,0,0,0.0,0,0,1.0,0,0,0,0,0,1,0.0
2020-08-09,0,0,10.8,0,0,0.1,2,2,2,0,1,1,1.8
