W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-09-14,0,0,0.0,1.0,0,0,0,0,0,0.0
2018-09-17,0,0,0.0,2.0,1,0,0,0,4,0.33
2018-09-22,0,0,1.8,2.0,1,1,1,0,2,0.4
2018-09-26,0,0,1.5,1.0,0,0,0,0,1,0.33
2018-09-28,0,0,1.29,1.0,1,0,0,0,3,0.43
2019-04-08,0,0,0.0,1.0,0,0,0,0,2,0.0
2019-04-10,0,0,0.0,0.1,1,0,0,0,0,0.75
2019-04-11,0,0,10.8,0.1,2,2,1,1,0,2.4
2019-04-13,0,0,6.75,1.0,0,0,0,0,1,1.5
2019-04-16,0,0,4.91,1.0,1,0,0,0,2,1.36
2019-04-18,0,0,3.86,1.0,1,0,0,0,1,1.29
2019-04-21,0,0,5.06,0.2,1,1,1,0,0,1.31
2019-04-23,0,0,4.26,1.0,1,0,0,0,2,1.26
2019-04-27,0,0,4.05,0.1,0,0,0,1,0,1.35
2019-04-28,0,0,3.68,0.2,1,0,0,1,2,1.5
2019-05-03,0,0,3.24,1.0,0,0,0,0,1,1.32
2019-05-04,0,0,6.23,0.1,4,3,1,0,0,1.73
2019-05-07,0,0,5.23,1.2,0,0,0,0,4,1.45
2019-05-11,0,0,5.56,1.0,2,1,0,0,0,1.5
2019-05-12,0,0,6.75,0.2,2,2,1,0,1,1.58
2019-05-15,0,0,6.08,1.1,0,0,0,0,1,1.43
2019-05-17,0,0,6.59,0.1,0,1,0,1,0,1.46
2019-05-19,0,0,6.14,1.0,0,0,0,0,1,1.36
2019-05-25,0,0,5.74,1.0,0,0,0,0,1,1.28
2019-05-28,0,0,6.19,0.1,0,1,0,1,1,1.31
2019-06-01,0,0,5.82,1.0,0,0,0,1,2,1.29
2019-06-03,0,0,6.0,1.0,2,1,1,0,1,1.33
2019-06-04,0,0,6.75,0.2,2,2,1,0,0,1.39
2019-06-16,0,0,6.41,1.0,0,0,0,0,2,1.32
2019-06-19,0,0,7.2,0.1,2,2,0,0,0,1.4
2019-06-22,0,0,6.86,1.0,1,0,0,0,1,1.38
2019-06-25,0,0,6.55,1.0,0,0,0,0,2,1.32
2019-06-29,0,0,6.08,1.2,1,0,0,1,1,1.31
2019-06-30,0,1,6.57,1.0,2,2,1,0,2,1.34
2019-07-03,0,0,6.57,0.0,0,0,0,2,0,1.42
2019-09-01,0,0,6.48,0.1,0,0,0,0,1,1.4
2019-09-02,0,0,6.23,1.0,0,0,0,0,2,1.35
2019-09-05,0,0,6.18,1.2,1,1,1,0,2,1.3
2019-09-09,0,0,6.11,0.1,0,0,0,0,1,1.29
2019-09-11,0,0,6.04,0.1,0,0,0,0,0,1.27
2019-09-13,0,0,5.83,1.0,0,0,0,0,3,1.23
2019-09-15,1,0,5.7,0.2,0,0,0,0,2,1.2
2019-09-17,0,0,5.52,1.0,0,0,0,0,2,1.16
2019-09-19,0,0,5.4,0.2,1,0,0,0,2,1.17
2019-09-20,0,0,5.23,1.0,0,0,0,0,1,1.13
2019-09-21,0,0,5.08,1.0,0,0,0,1,1,1.13
2019-09-25,0,1,5.24,0.2,0,1,0,1,0,1.14
2019-09-27,1,0,5.19,0.1,0,0,0,0,1,1.13
2019-09-28,0,0,5.71,0.0,0,2,0,2,0,1.18
2020-07-25,0,0,18.0,1.0,1,2,1,1,2,2.0
2021-04-12,0,0,0.0,1.0,1,0,0,1,2,2.0
2021-05-11,0,0,0.0,1.0,0,0,0,0,1,1.0
2021-05-21,0,0,0.0,1.0,1,0,0,0,1,1.0
2021-05-29,0,0,0.0,1.0,1,0,0,0,2,1.0
2021-05-30,0,0,0.0,1.1,1,0,0,0,1,0.94
2021-06-02,0,0,0.0,0.2,1,0,0,0,0,1.0
2021-06-03,0,0,0.0,1.0,0,0,0,1,1,1.0
2021-06-04,0,0,0.0,1.0,1,0,0,1,1,1.13
2021-06-18,0,0,0.0,2.0,1,0,0,3,5,1.3
2021-06-21,0,0,0.0,1.0,0,0,0,0,3,1.18
2021-06-26,0,0,0.0,1.1,0,0,0,0,3,1.05
2021-06-29,0,0,0.0,1.0,0,0,0,0,1,0.98
2021-06-30,0,0,0.0,1.0,0,0,0,2,1,1.05
2021-07-03,0,0,0.0,0.2,0,0,0,1,2,1.07
2021-07-06,0,0,0.0,2.0,3,0,0,1,4,1.18
