W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-06-09,0,1,3.6,5.0,6,2,2,2,7,1.6
2018-06-14,0,0,3.6,5.0,2,2,1,3,4,1.3
2018-06-19,0,1,4.41,6.1,5,4,0,2,5,1.22
2018-06-24,1,0,3.7,8.0,7,2,1,0,3,1.11
2018-06-30,0,1,4.55,5.1,6,5,2,2,3,1.18
2018-07-05,0,0,4.29,6.0,5,2,1,6,6,1.29
2018-07-11,1,0,3.56,7.1,3,0,0,2,7,1.19
2018-07-24,1,0,3.38,7.2,2,2,0,3,8,1.11
2018-07-29,0,0,3.24,7.2,5,2,1,1,6,1.06
2018-08-04,0,0,2.94,6.0,3,0,0,5,4,1.09
2018-08-10,0,0,2.61,8.0,4,0,0,2,5,1.05
2018-08-15,1,0,2.69,8.0,5,3,0,1,6,1.02
2018-08-22,1,0,2.71,6.0,3,2,1,3,5,1.02
2018-08-27,1,0,2.7,7.0,2,2,1,4,2,1.01
2018-09-01,0,1,2.89,6.1,6,4,2,2,4,1.02
2018-09-07,0,1,3.11,4.2,6,4,1,5,4,1.08
2018-09-12,0,0,3.1,6.0,5,2,0,5,5,1.11
2018-09-18,0,1,3.22,7.0,7,4,1,3,1,1.13
2018-09-23,0,1,3.61,2.1,9,6,1,0,3,1.19
2018-09-29,0,1,4.18,1.0,6,8,0,4,2,1.26
2019-03-28,0,1,3.38,5.1,3,2,0,1,6,0.75
2019-04-03,1,0,1.59,6.0,2,0,0,1,9,0.62
2019-04-08,0,1,3.38,4.2,8,4,0,5,9,1.25
2019-04-14,1,0,3.27,6.0,3,2,0,2,5,1.14
2019-04-19,1,0,2.89,6.0,3,1,1,3,6,1.11
2019-04-26,0,0,4.94,3.0,9,8,3,3,5,1.39
2019-05-01,0,0,5.19,3.2,5,3,0,2,6,1.44
2020-07-28,0,1,12.27,3.2,4,5,1,3,4,1.91
2020-08-03,0,0,9.53,2.0,3,1,0,0,1,1.76
2020-09-24,0,1,10.5,0.1,2,1,0,0,0,2.0
2020-09-27,0,0,8.22,1.2,0,0,0,0,1,1.57
2021-04-05,1,0,0.0,5.0,2,0,0,3,9,1.0
2021-04-14,1,0,0.0,9.0,0,0,0,0,7,0.36
2021-04-20,1,0,0.47,5.0,3,1,1,5,8,0.68
2021-04-29,1,0,0.72,6.0,2,1,0,1,12,0.64
2021-05-07,1,0,0.58,6.0,5,0,0,0,8,0.68
2021-05-15,0,1,1.47,5.2,8,4,1,3,5,0.87
2021-05-21,0,0,1.27,6.0,2,0,0,0,13,0.8
2021-05-26,0,1,1.29,6.0,1,1,1,0,10,0.72
2021-05-31,0,0,1.98,6.0,9,5,3,1,8,0.82
2021-06-08,0,0,1.96,5.0,6,1,0,2,8,0.89
2021-06-13,1,0,1.89,7.0,1,1,0,2,9,0.84
2021-06-18,0,0,1.83,7.0,3,1,0,3,8,0.84
2021-06-25,0,1,2.06,5.0,5,3,1,4,8,0.9
2021-07-01,0,0,2.37,5.0,6,4,0,2,9,0.94
2021-07-06,1,0,2.31,6.0,7,1,0,0,8,0.96
2021-07-18,1,0,2.14,7.0,1,0,0,0,10,0.9
2021-07-24,0,1,2.24,4.0,4,2,2,2,5,0.92
2021-07-29,0,1,2.49,4.0,8,4,2,0,4,0.96
2021-08-07,1,0,2.38,5.0,2,0,0,2,11,0.96
2021-08-26,1,0,2.43,5.0,5,2,1,1,3,0.97
2021-09-01,1,0,2.41,5.0,5,1,0,1,5,0.98
2021-09-10,1,0,2.38,5.0,3,1,1,0,7,0.96
2021-09-20,0,0,2.47,3.0,2,2,0,2,6,0.97
2021-09-29,1,0,2.37,5.0,1,0,0,2,4,0.96
