W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-04-06,0,0,4.5,0,0,2.0,2,1,1,0,2,2,2.0
2018-06-24,0,0,2.25,0,0,2.0,0,0,0,0,1,0,1.25
2018-07-04,0,1,7.11,1,0,2.1,5,4,4,0,3,2,2.05
2018-07-14,1,0,3.65,1,0,6.0,4,0,0,0,2,6,1.54
2018-08-10,0,1,7.2,1,0,2.2,8,7,7,1,4,1,2.07
2018-08-21,0,0,6.88,0,0,2.0,1,1,1,0,2,2,2.0
2018-08-24,0,1,8.15,0,0,0.2,2,3,3,0,3,1,2.21
2018-09-11,0,0,8.84,0,0,0.2,4,2,2,0,0,1,2.35
2018-09-21,0,0,7.97,0,0,2.0,0,0,0,0,2,1,2.21
2018-09-27,0,0,7.25,0,0,2.0,1,0,0,0,0,2,2.06
2018-09-30,0,0,6.84,1,0,4.0,3,3,2,1,4,3,2.01
2019-05-09,0,0,9.0,0,0,2.0,3,3,2,0,2,3,2.5
2019-05-13,0,0,6.75,0,0,2.0,1,1,1,1,2,1,2.0
2019-05-22,0,0,3.68,0,0,3.1,3,0,0,0,1,4,1.64
2019-05-24,0,0,3.24,0,0,1.0,1,0,0,0,0,3,1.56
2019-05-26,0,0,3.48,0,0,2.0,1,1,1,0,1,1,1.45
2019-05-29,0,0,4.15,0,0,2.2,3,2,2,1,1,1,1.46
2019-06-01,0,0,5.4,0,0,0.1,0,2,2,0,2,1,1.58
2019-06-04,0,0,5.02,0,0,1.0,0,1,0,0,1,0,1.53
2019-06-07,0,0,5.28,0,0,1.0,2,1,1,0,0,1,1.57
2019-06-08,0,0,5.06,0,0,0.2,0,0,0,0,2,2,1.63
2019-06-12,0,0,4.5,0,0,2.0,2,0,0,0,0,0,1.56
2019-06-14,0,0,4.26,0,0,1.0,0,0,0,0,1,1,1.53
2019-06-18,0,0,4.05,0,0,1.0,1,0,0,0,0,1,1.5
2019-06-23,0,0,4.79,0,0,0.2,1,2,2,0,0,2,1.5
2019-06-25,0,0,4.98,0,0,1.0,2,1,1,0,1,3,1.57
2019-06-27,0,0,4.76,0,0,1.0,0,0,0,0,0,0,1.5
2019-06-29,0,0,4.56,0,0,1.0,0,0,0,0,0,0,1.44
2019-07-02,1,0,4.21,0,0,2.0,0,0,0,0,0,4,1.32
2019-07-04,0,0,5.2,0,0,2.0,5,4,4,1,1,1,1.45
2019-07-13,0,0,4.85,0,0,2.0,0,0,0,0,1,3,1.38
2019-07-19,0,0,5.52,0,0,1.1,4,3,3,0,0,1,1.45
2019-07-22,0,1,6.54,0,0,0.2,3,4,4,1,3,1,1.61
2019-08-11,0,0,6.34,0,0,1.0,0,0,0,0,1,2,1.59
2019-08-13,0,0,6.82,0,0,0.1,2,2,2,0,1,0,1.67
2019-08-18,0,0,6.43,0,0,2.0,1,0,0,0,3,4,1.69
2019-08-20,0,0,6.05,0,0,3.2,1,1,1,0,4,3,1.66
2019-09-03,0,0,5.75,0,0,2.0,2,2,0,0,4,3,1.72
2019-09-07,0,0,5.95,0,0,1.2,2,2,2,0,1,4,1.72
2019-09-10,0,0,5.68,0,0,2.0,0,0,0,0,0,1,1.65
2019-09-14,0,0,6.11,0,0,1.1,1,3,3,1,1,1,1.64
2019-09-17,0,0,5.98,0,0,1.0,0,0,0,0,1,0,1.63
2019-09-19,0,1,5.85,0,0,1.0,1,1,0,0,0,1,1.62
2019-09-22,0,0,5.73,0,0,1.0,2,0,0,0,1,1,1.64
2019-09-27,0,0,5.62,0,0,1.0,1,0,0,0,0,2,1.63
2019-09-28,0,0,5.58,0,0,0.1,0,0,0,0,0,0,1.62
2020-07-24,0,0,0.0,0,0,1.1,2,0,0,0,0,1,1.5
2021-04-01,0,0,0.0,0,0,1.0,0,0,0,0,0,1,0.0
2021-04-03,0,0,4.5,0,0,1.0,1,1,1,1,0,1,0.5
2021-04-06,0,0,23.14,0,0,0.1,3,5,5,0,2,0,2.57
2021-04-08,0,0,18.0,0,0,0.2,0,0,0,0,0,1,2.0
2021-04-10,0,0,15.75,0,0,1.0,2,1,1,0,0,2,2.0
2021-04-13,0,0,11.81,0,0,1.1,0,0,0,0,1,1,1.69
2021-04-15,0,0,9.0,0,0,1.2,0,0,0,0,0,1,1.29
2021-04-17,0,0,7.0,0,0,2.0,1,0,0,0,0,2,1.11
2021-04-21,0,0,7.2,0,0,1.0,2,1,1,0,0,0,1.2
2021-04-25,1,0,6.35,0,0,1.1,0,0,0,0,1,1,1.15
2021-04-28,0,0,5.4,0,0,2.0,2,0,0,0,0,4,1.13
2021-04-30,0,0,5.02,0,0,1.0,0,1,0,0,0,0,1.05
2021-05-03,0,0,4.91,0,0,0.1,1,0,0,0,0,0,1.09
2021-05-05,0,0,4.6,0,0,1.0,1,0,0,0,1,0,1.15
2021-05-08,0,0,4.5,0,0,0.1,1,0,0,0,0,1,1.19
2021-05-12,0,0,4.32,0,0,0.2,2,0,0,0,0,0,1.26
2021-05-13,0,0,4.08,0,0,1.0,1,0,0,0,0,2,1.25
2021-05-16,0,0,3.66,0,0,2.0,1,0,0,0,1,1,1.22
2021-05-20,0,0,3.48,0,0,1.0,0,0,0,0,0,2,1.16
2021-05-23,0,0,3.38,0,0,0.2,0,0,0,0,0,0,1.13
2021-05-25,0,0,3.22,0,0,1.0,0,0,0,0,0,1,1.07
2021-05-26,0,0,3.09,0,0,1.0,1,0,0,0,0,1,1.07
2021-05-30,0,0,2.96,0,0,1.0,1,0,0,0,1,2,1.11
2021-06-03,0,0,2.84,0,0,1.0,1,0,0,0,1,1,1.14
2021-06-05,1,0,2.73,0,0,1.0,0,0,0,0,0,0,1.1
2021-06-09,0,0,2.63,0,0,1.0,1,0,0,0,1,0,1.13
2021-06-11,0,1,4.23,0,0,0.1,2,5,5,0,4,1,1.34
2021-06-12,0,0,4.45,0,0,0.2,2,1,1,0,0,0,1.38
2021-06-14,0,1,4.6,0,0,1.0,1,1,1,1,0,2,1.36
2021-06-18,0,0,4.55,0,0,0.1,1,0,0,0,0,1,1.38
2021-06-20,0,0,4.4,0,0,1.0,0,0,0,0,0,1,1.34
2021-06-23,0,0,4.26,0,0,1.0,0,0,0,0,1,0,1.33
2021-06-25,0,0,4.05,0,0,1.2,0,0,0,0,2,2,1.32
2021-06-28,0,0,3.93,0,0,1.0,0,0,0,0,2,2,1.34
2021-07-01,0,0,4.46,0,0,0.0,1,2,2,0,3,0,1.46
2021-07-02,0,0,4.33,0,0,1.0,0,0,0,0,0,1,1.42
2021-07-05,0,0,4.21,0,0,1.0,0,0,0,0,0,1,1.38
2021-07-07,0,0,4.17,0,0,0.1,0,0,0,0,0,1,1.36
2021-07-10,0,0,4.3,0,0,1.0,1,1,1,0,2,1,1.41
2021-07-17,1,0,4.42,0,0,1.0,1,1,1,1,0,1,1.4
2021-07-18,0,0,4.31,0,0,1.0,0,0,0,0,0,1,1.36
2021-07-20,0,0,5.13,0,0,0.2,4,4,4,0,2,2,1.49
2021-07-23,0,0,5.01,0,0,1.0,0,0,0,0,0,2,1.45
2021-07-24,0,0,4.93,0,0,0.2,0,0,0,0,0,0,1.43
2021-07-29,0,0,4.81,0,0,1.0,0,0,0,0,0,1,1.4
2021-07-31,0,0,4.7,0,0,1.0,0,0,0,0,0,0,1.36
2021-08-01,0,0,4.53,0,0,1.2,1,0,0,0,0,1,1.34
2021-08-04,0,0,4.44,0,0,1.0,1,0,0,0,0,1,1.33
2021-08-06,0,0,4.5,0,0,1.1,1,1,1,0,0,1,1.31
