W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2019-08-07,0,0,0.0,1.2,3,0,0,1,3,2.4
2019-08-13,0,0,0.0,1.0,2,0,0,1,0,2.63
2019-08-17,0,0,0.0,1.0,0,0,0,0,0,1.91
2019-08-19,0,0,1.59,2.0,1,1,1,0,0,1.41
2019-08-23,0,0,1.35,1.0,1,0,0,0,1,1.35
2019-08-25,0,0,2.35,1.0,3,1,0,1,1,1.7
2019-08-27,0,0,4.5,0.1,3,2,0,1,1,2.13
2019-08-30,0,0,4.0,1.0,1,0,0,1,2,2.11
2019-09-13,0,0,3.6,1.0,0,0,0,1,1,2.0
2019-09-18,0,0,3.27,1.0,1,0,0,0,2,1.91
2019-09-20,0,0,3.75,1.0,1,1,1,0,1,1.83
2019-09-26,0,0,4.26,0.2,2,1,0,0,2,1.89
2019-09-29,0,0,3.95,1.0,0,0,0,0,0,1.76
2020-07-25,0,0,0.0,1.0,1,0,0,1,1,2.0
2020-07-27,0,0,3.86,1.1,1,1,1,1,3,1.71
2020-07-29,0,0,2.7,1.0,0,0,0,0,1,1.2
2020-08-04,0,1,2.08,1.0,1,0,0,1,3,1.38
2020-08-09,0,0,1.69,1.0,0,0,0,0,2,1.13
2020-08-11,1,0,1.42,1.0,0,0,0,1,2,1.11
2020-08-14,0,0,1.17,1.1,1,0,0,0,3,1.04
2020-08-16,0,0,1.04,1.0,0,0,0,0,2,0.92
2020-08-18,0,0,0.93,1.0,0,0,0,1,3,0.93
2020-08-24,0,0,0.84,1.0,0,0,0,0,3,0.84
2020-08-25,0,0,0.77,1.0,0,0,0,0,2,0.77
2020-08-29,1,0,0.73,0.2,0,0,0,0,0,0.73
2020-08-31,1,0,0.64,1.2,0,0,0,1,4,0.71
2020-09-02,0,0,0.6,1.0,0,0,0,0,2,0.67
2020-09-05,0,0,0.53,2.0,0,0,0,0,4,0.59
2020-09-11,0,0,0.5,1.0,1,0,0,0,2,0.61
2020-09-12,0,0,0.47,1.0,0,0,0,1,2,0.63
2020-09-14,0,0,0.45,1.0,1,0,0,1,2,0.7
2020-09-16,0,0,0.43,1.0,0,0,0,0,2,0.67
2020-09-19,0,0,0.39,2.0,0,0,0,0,4,0.61
2020-09-22,0,0,0.36,2.0,0,0,0,1,5,0.6
