W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-06-06,0,0,0.0,1.0,0,0,0,0,2,0.0
2018-06-09,0,0,3.38,1.2,2,1,0,2,2,1.5
2018-06-11,0,0,2.45,1.0,1,0,0,0,2,1.36
2018-06-13,1,0,1.59,2.0,1,0,0,0,2,1.06
2018-06-17,0,0,1.35,1.0,1,0,0,0,2,1.05
2018-06-18,0,0,1.13,1.1,0,0,0,0,0,0.88
2018-06-22,0,0,0.93,1.2,0,0,0,1,2,0.83
2018-06-24,0,0,1.74,0.2,2,1,0,0,0,0.97
2018-06-26,0,0,1.46,2.0,0,0,0,1,1,0.89
2018-06-29,0,0,1.88,2.0,1,1,1,0,2,0.84
2018-07-01,0,0,1.8,0.2,0,0,0,0,1,0.8
2018-07-02,0,0,1.69,1.0,1,0,0,0,3,0.81
2018-07-06,0,0,1.5,2.0,1,0,0,0,2,0.78
2018-07-07,0,0,1.47,0.1,0,0,0,0,0,0.76
2018-07-09,0,0,1.89,0.2,1,1,0,1,0,0.84
2018-07-11,0,0,1.8,1.0,1,0,0,0,0,0.85
2018-07-14,0,0,1.74,0.2,1,0,0,0,1,0.87
2018-07-15,0,0,2.57,0.1,1,2,0,2,1,1.0
2018-07-20,0,1,3.38,0.1,0,2,0,2,1,1.08
2018-07-23,0,0,4.09,0.2,1,2,0,2,0,1.18
2018-07-25,1,0,3.75,2.0,2,0,0,0,1,1.17
2018-07-29,0,0,4.32,1.0,2,2,1,0,1,1.2
2018-07-31,0,0,4.15,1.0,0,0,0,2,2,1.23
2018-08-02,0,0,4.0,1.0,0,0,0,0,2,1.19
2018-08-05,0,1,4.34,2.0,2,2,1,0,3,1.17
2018-08-08,0,0,4.2,1.0,0,0,0,0,1,1.13
2018-08-11,1,0,3.86,2.2,1,0,0,1,2,1.1
2018-08-15,0,0,3.74,1.0,0,0,0,2,0,1.13
2018-08-17,0,0,3.63,1.0,0,0,0,0,1,1.1
2018-08-19,0,0,3.47,1.2,1,0,0,0,0,1.07
2018-08-24,0,0,3.32,1.2,2,0,0,0,4,1.08
2018-08-26,0,0,3.23,1.0,0,0,0,0,0,1.05
2018-08-29,0,0,3.73,2.0,3,3,1,0,2,1.07
2018-09-02,0,0,3.64,1.0,1,0,0,0,1,1.07
2018-09-04,0,0,3.48,2.0,0,0,0,0,3,1.02
2018-09-08,0,0,3.4,1.0,1,0,0,1,1,1.04
2018-09-10,0,0,3.45,2.0,1,1,0,1,1,1.04
2018-09-14,0,0,3.31,2.0,0,0,0,0,4,1.0
2018-09-16,0,0,3.24,1.0,0,0,0,0,2,0.98
2018-09-19,0,0,3.14,1.2,1,0,0,0,2,0.97
2018-09-21,0,0,3.25,1.0,1,1,1,0,1,0.97
2018-09-24,0,0,3.13,2.0,2,0,0,0,3,0.97
2018-09-29,1,0,3.18,2.0,1,1,1,0,4,0.95
2019-03-29,0,0,0.0,2.0,2,0,0,0,1,1.0
2019-03-31,0,0,0.0,1.0,0,0,0,1,0,1.0
2019-04-01,0,0,0.0,1.0,0,0,0,0,3,0.75
2019-04-03,0,0,0.0,1.0,0,0,0,0,0,0.6
2019-04-05,0,0,0.0,0.2,0,0,0,0,0,0.53
2019-04-07,0,0,0.0,1.1,0,0,0,0,3,0.43
2019-04-12,0,0,0.0,1.1,1,0,0,2,2,0.72
2019-04-14,0,0,0.0,0.2,0,0,0,0,0,0.67
2019-04-16,0,0,0.0,1.0,0,0,0,0,1,0.6
2019-04-18,0,1,0.82,1.0,3,1,0,0,0,0.82
2019-04-19,0,1,2.45,0.0,2,2,2,0,0,1.0
2019-04-21,0,0,2.08,2.0,1,0,0,1,5,1.0
2019-04-27,0,0,2.7,0.1,1,1,1,1,0,1.13
2019-04-28,0,0,2.51,1.0,1,0,0,0,1,1.12
2019-04-29,0,0,2.35,1.0,1,0,0,0,2,1.11
2019-05-02,0,0,2.2,1.0,0,0,0,0,2,1.04
2019-05-07,0,0,2.08,1.0,1,0,0,1,0,1.1
2019-05-08,0,0,1.89,1.2,0,0,0,0,4,1.0
2019-05-11,0,0,1.71,2.0,0,0,0,0,1,0.9
2019-05-14,0,0,1.64,1.0,1,0,0,0,2,0.91
2019-05-15,0,0,1.57,1.0,0,0,0,1,2,0.91
2019-05-17,0,0,1.5,1.0,0,0,0,0,2,0.88
2019-05-19,0,1,1.42,1.1,1,0,0,3,0,0.99
2019-05-25,0,0,1.37,1.0,1,0,0,0,2,0.99
2019-05-28,0,0,1.65,1.0,2,1,0,0,0,1.02
2019-05-29,1,0,1.59,1.0,1,0,0,1,1,1.06
2019-05-31,0,1,2.15,1.0,0,2,0,1,0,1.06
2019-06-06,0,0,2.12,0.1,1,0,0,0,0,1.08
2019-06-11,0,0,2.05,1.0,2,0,0,0,2,1.11
2019-06-16,0,0,2.56,1.0,3,2,1,0,1,1.17
2019-06-19,0,0,2.48,1.0,0,0,0,0,0,1.13
2019-06-20,0,1,3.51,0.2,2,4,1,2,1,1.23
2019-06-22,0,1,3.93,1.0,2,2,0,2,0,1.31
2019-07-13,0,0,3.86,0.2,1,0,0,0,1,1.31
2019-07-15,0,0,3.68,1.2,0,0,0,1,2,1.28
2019-07-19,0,0,3.58,1.0,1,0,0,0,2,1.27
2019-07-20,0,0,3.49,1.0,1,0,0,0,0,1.27
2019-07-23,0,0,3.96,0.0,2,2,0,1,0,1.34
2019-07-26,0,0,3.86,1.0,0,0,0,0,1,1.31
2019-07-28,0,0,3.79,0.2,0,0,0,0,2,1.29
2019-07-30,0,0,3.73,0.2,1,0,0,1,1,1.32
2019-07-31,0,0,3.73,0.0,2,0,0,0,0,1.37
2019-08-03,0,0,3.64,1.0,1,0,0,0,0,1.36
2019-08-04,0,0,3.59,0.2,1,0,0,1,1,1.38
2019-08-06,1,0,3.5,1.0,0,0,0,0,1,1.35
2019-08-12,0,0,3.43,1.0,2,0,0,0,0,1.37
2019-08-13,0,0,3.35,1.0,1,0,0,1,2,1.38
2019-08-17,0,0,3.21,2.0,0,0,0,0,3,1.32
2019-08-19,0,0,3.14,1.0,0,0,0,0,2,1.29
2019-08-20,0,0,3.44,1.0,2,2,1,0,2,1.31
2019-08-25,0,1,3.48,2.0,3,1,0,0,2,1.32
2019-08-28,0,1,3.76,1.0,3,2,0,1,0,1.37
2019-08-31,0,0,4.0,1.1,3,2,1,0,2,1.39
