W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-05-23,0,1,4.76,1,0,5.2,6,3,3,0,1,6,1.24
2018-06-13,0,0,5.91,1,0,5.0,6,4,4,2,1,3,1.31
2018-06-18,0,1,5.63,1,0,5.1,7,3,3,1,2,4,1.44
2018-06-23,0,1,5.32,1,0,6.0,8,3,3,0,2,3,1.5
2018-06-29,1,0,6.0,1,0,5.0,8,5,5,2,3,3,1.63
2018-07-04,0,0,5.79,1,0,1.0,2,0,0,0,0,0,1.64
2018-09-04,0,0,6.0,1,0,5.0,4,4,4,1,2,7,1.58
2018-09-11,1,0,5.12,1,0,5.2,2,0,0,0,2,9,1.45
2018-09-17,0,0,5.02,1,0,4.1,2,2,2,0,4,6,1.44
2018-09-23,0,0,5.24,1,0,3.1,5,3,3,0,4,2,1.53
2018-09-30,0,1,5.54,1,0,4.0,5,4,4,2,1,3,1.53
2019-04-28,0,0,0.0,0,0,4.0,2,0,0,0,1,3,0.75
2019-05-08,0,0,0.0,0,0,1.0,1,0,0,0,2,1,1.2
2019-05-10,0,0,0.0,0,0,1.0,0,0,0,0,1,0,1.17
2019-05-14,0,0,0.0,0,0,2.0,0,0,0,0,0,1,0.88
2019-05-16,0,0,3.38,0,0,2.2,4,4,4,1,0,2,1.03
2019-05-21,0,0,2.87,1,0,5.0,4,1,1,0,1,1,1.02
2019-05-26,1,0,2.18,1,0,5.0,4,0,0,0,3,4,1.11
2019-06-01,0,0,2.55,1,0,4.0,6,2,2,1,3,3,1.3
2019-06-07,0,0,2.93,1,0,6.0,5,3,3,1,0,5,1.21
2019-06-13,0,1,3.68,1,0,6.0,6,5,5,2,3,1,1.25
2019-06-20,0,0,3.79,1,0,3.2,5,2,2,0,5,1,1.39
2019-07-17,0,0,3.5,1,0,6.0,5,1,1,1,0,2,1.32
2019-07-24,0,0,3.4,1,0,4.0,3,1,1,0,2,2,1.31
2019-07-30,0,1,4.67,1,0,3.2,9,9,9,2,4,4,1.46
2019-08-05,1,0,4.2,1,0,6.0,6,0,0,0,0,2,1.42
2019-08-12,1,0,4.09,1,0,6.0,6,2,2,1,2,4,1.41
2019-08-18,1,0,4.31,1,0,5.0,10,4,4,2,2,2,1.48
2019-09-02,0,0,4.19,0,0,2.0,0,0,0,0,2,2,1.47
2019-09-14,0,0,4.68,0,0,2.0,5,5,5,0,1,1,1.51
2019-09-24,0,0,4.62,0,0,1.0,0,0,0,0,0,0,1.49
2019-09-29,0,0,4.5,0,0,2.0,0,0,0,0,1,0,1.46
2020-07-25,0,0,2.25,1,0,4.0,4,2,1,1,1,3,1.25
2020-07-30,0,0,3.68,1,0,3.1,6,2,2,1,2,0,1.77
2020-08-05,0,1,3.48,0,0,3.0,3,1,1,0,3,1,1.84
2020-08-12,0,0,3.65,0,0,2.0,3,1,1,0,0,1,1.78
2020-08-14,1,0,2.55,0,0,5.1,2,0,0,0,3,0,1.53
2020-08-25,0,1,3.57,1,0,5.0,7,4,4,1,1,1,1.54
2020-08-31,0,1,4.71,1,0,6.0,4,6,6,2,1,4,1.4
2020-09-05,0,0,5.29,1,0,3.2,6,4,4,3,4,2,1.55
2020-09-11,0,0,5.06,1,0,5.0,6,2,2,0,4,5,1.61
2020-09-18,1,0,4.36,1,0,6.0,1,0,0,0,2,6,1.45
2020-09-23,0,1,4.29,1,0,7.0,5,3,3,2,1,5,1.37
2021-04-07,0,1,27.0,1,0,1.2,6,6,5,0,3,1,5.4
2021-04-12,0,0,8.53,1,0,4.2,2,1,1,0,2,5,2.05
2021-04-17,1,0,5.56,1,0,5.0,4,1,1,1,1,9,1.59
2021-04-23,0,1,5.51,1,0,5.0,4,3,3,0,2,3,1.47
2021-04-28,1,0,4.43,1,0,6.0,2,1,1,1,3,7,1.3
2021-05-05,0,1,5.27,1,0,5.0,5,5,5,2,2,3,1.32
2021-05-11,0,1,5.29,1,0,5.0,5,3,3,1,3,4,1.36
2021-05-16,1,0,4.35,1,0,7.0,3,0,0,0,2,4,1.25
2021-06-12,1,0,3.86,1,0,5.0,4,0,0,0,0,7,1.2
2021-06-18,0,0,3.33,1,0,7.0,2,0,0,0,4,6,1.15
2021-06-23,0,0,3.9,1,0,4.0,6,5,5,2,3,1,1.23
2021-07-06,0,1,4.53,1,0,4.1,8,6,6,1,1,2,1.29
