W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-08-21,1,0,0.0,0,0,4.1,2,1,0,0,1,4,0.69
2018-08-26,1,0,0.96,1,0,5.0,2,1,1,0,3,3,0.86
2018-08-31,0,1,1.26,1,0,5.0,2,1,1,0,3,3,0.91
2018-09-05,1,0,1.37,1,0,5.1,5,1,1,1,3,5,1.07
2018-09-11,0,0,2.66,1,0,4.0,5,4,4,1,4,3,1.27
2018-09-17,0,0,2.2,1,0,5.0,2,0,0,0,5,6,1.29
2018-09-23,1,0,2.08,0,0,6.0,3,1,1,1,2,9,1.21
2018-09-29,0,0,2.19,0,0,2.1,1,1,1,0,3,1,1.24
2019-04-02,0,1,9.0,0,0,2.0,3,2,2,0,1,3,2.0
2019-04-06,0,0,6.0,0,0,1.0,1,0,0,0,0,0,1.67
2019-04-21,0,0,5.06,0,0,2.1,1,1,1,0,3,3,1.69
2019-04-24,0,0,4.26,0,0,1.0,0,0,0,0,1,2,1.58
2019-04-28,1,0,3.24,0,0,2.0,1,0,0,0,0,2,1.32
2019-04-29,0,0,2.89,0,0,1.0,1,0,0,0,0,0,1.29
2019-05-02,0,0,3.09,0,0,2.1,2,1,1,0,1,3,1.29
2019-05-07,0,0,4.91,0,0,3.0,5,4,4,1,0,0,1.36
2019-05-12,0,0,4.6,0,0,1.0,1,0,0,0,1,2,1.4
2019-05-14,0,0,4.32,0,0,1.0,0,0,0,0,2,0,1.44
2019-05-19,0,1,4.42,0,0,1.2,3,1,1,0,0,1,1.47
2019-05-23,0,0,3.86,0,0,2.2,2,0,0,0,1,2,1.43
2019-05-26,0,0,3.68,0,0,1.0,0,1,0,0,1,0,1.41
2019-06-03,1,0,3.12,0,0,4.0,2,0,0,0,2,3,1.35
2019-06-08,0,0,2.73,1,0,7.0,5,1,1,1,0,7,1.21
2019-06-15,1,0,2.77,1,0,6.0,4,2,2,0,2,8,1.18
2019-06-20,0,1,3.61,1,0,3.1,4,5,5,2,3,3,1.25
2019-06-26,0,1,4.57,1,0,3.0,8,6,6,1,1,2,1.37
2019-07-11,0,1,5.28,1,0,0.2,4,4,4,0,3,0,1.5
2019-07-15,0,1,5.58,0,0,4.0,6,7,4,1,4,4,1.58
2019-08-25,1,0,5.14,1,0,6.0,2,1,1,1,5,8,1.54
2019-08-31,0,1,5.55,1,0,5.2,9,6,6,2,3,5,1.59
2019-09-06,0,0,5.62,1,0,4.0,2,3,3,0,6,6,1.61
2019-09-10,0,0,5.56,0,0,4.0,4,2,2,0,1,3,1.59
2019-09-15,0,0,5.6,0,0,1.0,3,1,1,0,1,1,1.63
2019-09-22,0,0,5.86,0,0,0.0,1,3,2,0,2,0,1.67
2020-07-28,0,1,6.23,1,0,4.1,4,3,3,0,1,2,1.15
2020-08-02,0,0,2.53,0,0,6.1,5,1,0,0,1,8,1.03
2020-08-08,0,1,2.04,1,0,7.0,7,2,1,1,1,9,1.08
2020-08-14,1,0,1.9,1,0,6.0,4,1,1,0,3,5,1.1
2020-08-19,1,0,1.72,1,0,7.2,7,3,1,0,1,5,1.09
2020-08-24,1,0,2.35,1,0,7.0,6,4,4,1,2,11,1.1
2020-09-01,0,0,2.58,1,0,7.0,5,3,3,0,3,8,1.1
2020-09-06,0,1,3.61,1,0,7.0,11,8,8,1,2,2,1.2
2020-09-12,0,0,4.08,1,0,5.0,5,5,5,2,1,7,1.2
2020-09-17,1,0,3.82,1,0,6.1,4,1,1,0,1,11,1.16
2020-09-22,1,0,3.57,1,0,7.0,5,1,1,0,0,8,1.12
2021-05-28,0,0,2.25,1,0,4.0,2,1,1,1,2,4,1.0
2021-06-02,1,0,1.64,1,0,7.0,5,1,1,0,2,10,1.0
2021-06-08,1,0,1.47,1,0,7.1,5,1,1,0,0,8,0.87
2021-06-13,1,0,1.42,1,0,7.0,5,2,1,1,3,2,0.95
2021-06-19,1,0,1.67,1,0,7.0,6,3,2,1,2,5,0.99
2021-06-26,0,1,2.11,1,0,6.0,6,3,3,1,0,6,0.99
2021-07-01,1,0,2.18,1,0,7.0,4,2,2,0,5,6,1.04
2021-07-06,0,0,2.86,1,0,5.0,10,6,5,0,2,6,1.17
2021-07-11,0,0,2.98,1,0,4.0,6,3,2,1,6,5,1.31
2021-07-18,0,1,3.26,1,0,6.1,7,4,4,2,2,4,1.32
2021-07-24,1,0,2.97,1,0,6.0,0,0,0,0,6,4,1.29
2021-07-30,1,0,3.01,1,0,5.0,4,2,2,0,3,6,1.3
2021-08-05,0,1,3.22,1,0,6.2,6,4,4,0,3,7,1.3
2021-08-11,1,0,3.09,1,0,6.0,4,1,1,0,4,8,1.3
2021-08-17,0,1,3.16,1,0,6.2,9,3,3,0,1,5,1.32
2021-08-22,0,0,2.94,1,0,7.0,3,0,0,0,1,6,1.27
2021-08-28,1,0,2.91,1,0,7.0,3,2,2,1,1,7,1.22
2021-09-04,0,1,3.08,1,0,6.0,6,4,4,0,2,4,1.23
2021-09-10,1,0,3.26,1,0,5.0,6,5,4,2,5,6,1.27
2021-09-20,1,0,3.07,1,0,7.0,6,0,0,0,3,6,1.27
2021-09-25,0,0,2.98,1,0,6.2,3,1,1,0,4,3,1.26
2021-10-01,0,1,3.14,1,0,5.0,4,4,4,2,1,7,1.25
