W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-05-11,0,1,15.75,1,0,4.0,9,7,7,1,2,1,2.75
2019-05-15,0,1,13.5,1,0,2.0,3,2,2,1,2,3,2.67
2019-05-19,0,0,10.8,1,0,4.0,4,3,3,0,2,3,2.2
2019-05-24,0,0,11.2,1,0,3.2,6,5,5,2,1,4,2.12
2019-06-15,0,0,8.66,1,0,4.0,2,0,0,0,4,3,1.98
2019-06-29,0,0,8.44,1,0,3.2,4,3,3,1,1,1,1.88
2019-07-05,0,0,8.06,0,0,1.0,2,0,0,0,0,1,1.88
2019-07-07,0,1,8.14,1,0,2.0,3,2,2,1,0,1,1.85
2019-07-12,0,0,7.24,0,0,3.0,1,0,0,0,0,3,1.68
2019-07-20,0,1,8.69,0,0,1.2,6,6,6,2,1,2,1.83
2019-07-24,0,0,7.88,0,0,3.0,2,0,0,0,1,2,1.75
2019-07-27,0,0,7.41,0,0,2.0,3,0,0,0,2,4,1.79
2019-07-30,0,0,7.46,0,0,1.0,1,1,1,0,1,0,1.8
2019-08-02,0,0,7.25,0,0,1.0,1,0,0,0,0,0,1.78
2019-08-05,0,1,6.98,0,0,4.0,6,2,2,0,1,1,1.78
2019-08-10,0,0,6.97,0,0,1.1,0,3,1,0,2,2,1.77
2019-08-14,0,0,6.7,0,0,1.2,3,0,0,0,1,1,1.79
2019-08-17,0,0,6.5,0,0,1.1,1,0,0,0,1,1,1.78
2019-08-19,0,0,6.35,0,0,1.0,0,0,0,0,0,1,1.74
2019-08-22,0,0,6.41,0,0,1.0,3,1,1,0,1,0,1.79
2019-08-25,0,0,6.27,0,0,1.0,1,0,0,0,0,1,1.77
2019-08-28,0,0,6.14,0,0,1.0,0,0,0,0,1,0,1.76
2019-08-31,0,0,6.02,0,0,1.0,1,0,0,0,1,1,1.76
2019-09-02,0,0,5.9,0,0,1.0,2,0,0,0,0,1,1.77
2019-09-03,0,0,5.9,0,0,0.0,1,0,0,0,1,0,1.81
2019-09-08,0,0,5.82,0,0,0.2,0,0,0,0,1,0,1.8
2019-09-12,0,0,6.18,0,0,0.0,2,2,2,1,1,0,1.86
2019-09-13,0,0,6.06,0,0,1.0,0,0,0,0,1,0,1.85
2019-09-15,0,0,5.91,0,0,1.1,0,0,0,0,0,1,1.8
2019-09-17,0,0,5.86,0,0,2.0,4,1,1,0,1,4,1.83
2019-09-20,0,0,5.91,0,0,1.0,2,1,1,0,1,1,1.85
2019-09-25,0,0,5.88,0,0,0.1,1,0,0,0,1,1,1.87
2019-09-28,0,0,5.77,0,0,1.0,0,0,0,0,1,1,1.86
2020-07-24,0,0,0.0,0,0,0.2,0,0,0,0,0,1,0.0
2020-07-26,0,0,0.0,0,0,2.0,0,0,0,0,0,4,0.0
2020-07-28,0,0,0.0,0,0,1.0,0,0,0,0,0,2,0.0
2020-07-31,0,0,0.0,0,0,1.0,0,0,0,0,0,1,0.0
2020-08-02,0,0,0.0,0,0,1.0,1,0,0,0,1,0,0.35
2020-08-07,0,0,0.0,0,0,1.0,0,0,0,0,0,0,0.3
2020-08-08,0,0,0.0,0,0,1.0,0,0,0,0,0,2,0.26
2020-08-10,0,0,0.0,0,0,1.1,1,0,0,0,0,1,0.33
2020-08-12,0,0,0.0,0,0,1.0,1,0,0,0,1,3,0.5
2020-08-16,0,0,0.0,0,0,0.1,1,0,0,0,0,0,0.58
2020-08-18,0,0,3.48,0,0,0.0,2,4,4,0,1,0,0.87
2020-08-19,0,1,4.76,0,0,1.0,2,2,2,2,0,1,0.97
2020-08-21,0,0,4.38,0,0,1.0,0,0,0,0,1,2,0.97
2020-08-23,0,0,4.05,0,0,1.0,0,0,0,0,0,1,0.9
2020-08-25,0,0,3.77,0,0,1.0,0,0,0,0,0,1,0.84
2020-08-26,0,0,3.52,0,0,1.0,0,0,0,0,0,1,0.78
2020-08-29,0,0,3.31,0,1,1.0,1,0,0,0,1,1,0.86
2020-08-30,0,0,3.12,0,1,1.0,1,0,0,0,0,0,0.87
2020-09-04,0,0,3.63,0,0,0.0,1,1,1,0,2,0,1.04
2020-09-05,0,0,3.57,0,0,0.1,0,0,0,0,0,1,1.02
2020-09-08,0,0,3.38,0,0,1.0,2,0,0,0,0,3,1.07
2020-09-11,0,0,3.26,0,0,0.2,0,0,0,0,1,1,1.09
2020-09-13,0,0,3.1,0,0,1.0,0,0,0,0,0,2,1.03
2020-09-16,0,0,3.38,0,0,1.0,2,1,1,0,1,1,1.13
2020-09-18,0,0,3.32,0,0,0.1,0,0,0,0,0,0,1.11
2020-09-22,0,0,3.18,0,0,1.0,0,0,0,0,1,0,1.1
2020-09-24,0,0,4.3,0,0,0.1,1,3,3,0,3,0,1.26
2021-04-01,0,0,18.0,0,1,1.0,2,2,2,1,1,0,3.0
2021-04-05,0,0,9.0,0,0,1.0,1,0,0,0,1,2,2.5
2021-04-06,1,0,4.5,0,0,2.0,1,0,0,0,0,2,1.5
2021-04-11,0,0,3.6,0,0,1.0,0,0,0,0,1,3,1.4
2021-04-12,0,0,3.18,0,0,0.2,0,0,0,0,0,0,1.24
2021-04-14,0,0,2.7,0,0,1.0,1,0,0,0,1,0,1.35
2021-04-18,0,1,3.68,0,0,0.2,2,1,1,0,1,2,1.64
2021-04-21,0,0,3.24,0,1,1.0,0,0,0,0,0,2,1.44
2021-04-22,0,0,4.15,0,0,0.1,2,1,1,0,1,0,1.73
2021-04-26,0,0,3.72,0,0,1.0,2,0,0,0,0,0,1.76
2021-04-27,0,0,3.38,0,1,1.0,0,0,0,0,0,0,1.59
2021-05-02,0,0,3.09,0,0,1.0,0,0,0,0,0,2,1.46
2021-05-05,1,0,3.46,0,0,1.1,3,2,1,0,2,2,1.69
2021-05-06,0,0,3.38,0,0,0.1,1,1,0,0,0,0,1.73
2021-05-08,0,0,3.14,0,0,1.0,1,0,0,0,2,1,1.81
2021-05-11,1,0,3.07,0,0,0.1,0,0,0,0,1,1,1.84
2021-05-12,0,0,2.87,0,1,1.0,0,0,0,0,1,1,1.79
2021-05-13,0,0,3.94,0,0,0.1,2,2,2,0,1,0,1.94
2021-05-17,0,0,3.86,0,0,0.1,0,0,0,0,0,0,1.9
2021-05-19,0,0,3.63,0,0,1.0,0,0,0,0,0,1,1.79
2021-05-23,0,0,3.5,0,0,0.2,0,0,0,0,0,0,1.72
2021-05-26,0,0,3.32,0,1,1.0,0,0,0,0,1,1,1.68
2021-05-28,0,0,3.15,0,0,1.0,1,0,0,0,1,2,1.7
