W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020-07-26,0,0,0.0,0,0,2.0,3,0,0,0,0,4,1.5
2020-08-01,0,0,0.0,0,0,3.0,1,0,0,0,1,3,1.0
2020-08-06,0,0,3.38,1,0,3.0,4,3,3,1,2,2,1.38
2020-08-18,0,0,4.91,1,0,3.0,3,3,3,0,3,1,1.55
2020-08-23,0,0,4.8,1,0,4.0,4,2,2,0,1,6,1.47
2020-08-29,0,0,4.5,1,0,5.0,3,2,2,1,3,6,1.4
2020-09-03,1,0,3.96,1,0,5.0,7,2,1,0,1,5,1.44
2020-09-09,0,1,5.34,1,0,5.1,7,7,7,2,2,5,1.48
2020-09-16,0,1,4.79,1,0,5.1,5,1,1,0,1,4,1.43
2020-09-21,0,1,4.46,1,0,6.2,4,2,2,0,1,9,1.32
2020-09-27,0,0,4.94,1,0,5.0,7,5,5,2,2,3,1.37
2021-04-05,0,0,2.25,1,0,4.0,3,1,1,0,4,6,1.75
2021-04-11,1,0,1.93,1,0,5.1,4,1,1,1,1,4,1.29
2021-04-16,1,0,1.76,1,0,6.0,4,1,1,0,0,8,1.04
2021-04-23,0,1,2.01,1,0,7.0,5,2,2,2,0,5,0.94
2021-04-30,0,1,2.63,1,0,5.0,7,3,3,1,0,7,1.02
2021-05-05,0,0,2.78,1,0,5.0,6,2,2,1,3,7,1.14
2021-05-11,1,0,2.58,1,0,6.0,5,1,1,1,1,4,1.12
2021-05-18,0,1,3.27,1,0,5.2,8,5,5,1,3,3,1.23
2021-05-23,0,1,4.2,1,0,5.1,7,7,7,3,0,7,1.24
2021-05-29,1,0,3.74,1,0,6.0,4,0,0,0,1,5,1.19
2021-06-08,0,1,3.9,1,0,4.2,5,3,3,0,0,6,1.18
2021-06-14,0,0,3.88,1,0,5.0,4,2,2,0,2,1,1.18
2021-06-20,0,1,3.77,1,0,6.2,3,2,2,1,0,9,1.12
2021-06-26,0,1,3.82,1,0,6.0,6,3,3,2,2,3,1.13
2021-07-02,0,1,4.09,1,0,6.0,6,5,5,3,1,6,1.14
2021-07-09,0,1,4.47,1,0,5.0,6,6,6,2,1,7,1.15
2021-07-18,0,0,4.68,1,0,3.2,6,4,4,1,3,5,1.2
2021-07-25,0,1,4.67,1,0,4.0,3,2,2,2,1,6,1.19
2021-07-31,0,0,4.49,1,0,6.0,3,1,1,0,2,4,1.17
2021-08-06,0,1,4.95,1,0,5.0,7,9,8,2,4,5,1.22
2021-08-12,0,1,5.13,1,0,5.0,5,5,5,2,2,4,1.23
2021-08-18,0,1,5.49,1,0,4.0,8,7,7,3,2,6,1.27
2021-08-24,1,0,5.27,1,0,5.0,4,0,0,0,3,6,1.28
2021-09-04,0,0,5.36,1,0,3.0,4,3,3,0,2,5,1.29
