W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-03-30,0,0,0.0,0,0,6.0,1,0,0,0,2,6,0.5
2018-04-05,0,0,1.8,0,0,4.0,4,2,2,1,2,2,0.9
2018-04-11,0,0,1.13,1,0,6.0,0,0,0,0,2,3,0.69
2018-04-17,1,0,0.86,1,0,5.0,1,0,0,0,5,2,0.81
2018-04-23,0,0,1.0,1,0,6.0,4,1,1,1,1,7,0.81
2018-05-01,0,0,1.09,1,0,6.0,5,1,1,0,1,3,0.85
2018-05-07,0,1,2.68,1,0,4.0,6,7,7,3,2,3,0.97
2018-05-12,0,0,3.14,1,0,6.0,7,5,4,3,2,4,1.05
2018-05-19,0,0,3.8,0,0,2.0,4,4,4,2,2,0,1.13
2018-05-27,0,0,4.21,0,0,2.0,4,3,3,1,2,0,1.21
2018-05-29,0,0,4.13,0,0,1.0,1,0,0,0,0,1,1.21
2018-06-01,0,0,4.41,0,0,3.0,4,3,3,2,0,1,1.22
2018-08-04,0,0,4.58,0,0,2.0,3,2,2,1,0,3,1.23
2018-08-08,0,0,4.47,0,0,1.1,1,0,0,0,0,1,1.21
2018-08-10,0,0,4.39,0,0,1.0,0,0,0,0,0,0,1.19
2018-08-11,0,0,4.37,0,0,0.1,0,0,0,0,0,0,1.19
2018-08-13,0,0,4.37,0,0,2.0,3,1,1,0,1,2,1.21
2018-08-15,0,1,4.76,0,0,1.0,2,3,3,1,1,0,1.24
2018-08-17,0,0,5.03,0,0,0.1,2,2,2,0,0,0,1.27
2018-08-22,1,0,4.98,0,0,0.2,0,0,0,0,0,0,1.26
2018-08-23,0,0,5.16,0,0,1.1,4,2,2,1,1,2,1.31
2018-09-07,0,0,5.11,0,0,0.2,1,0,0,0,1,0,1.33
2018-09-13,0,0,5.05,0,0,0.2,1,0,0,0,0,0,1.33
2018-09-15,0,0,4.97,1,0,1.0,0,0,0,0,0,0,1.31
2018-09-17,1,0,4.95,0,0,0.1,0,0,0,0,0,0,1.3
2018-09-18,0,0,4.9,0,0,0.2,0,0,0,0,2,0,1.32
2018-09-22,0,0,4.87,0,0,0.1,0,0,0,0,0,0,1.31
2018-09-28,0,0,4.8,0,0,1.0,0,0,0,0,0,0,1.29
2018-09-29,0,1,4.91,0,0,0.1,1,1,1,0,1,0,1.32
2019-04-17,0,0,0.0,0,0,1.0,0,0,0,0,0,1,0.0
2019-04-21,0,0,0.0,0,0,1.2,0,0,0,0,0,2,0.0
2019-04-26,0,0,0.0,0,0,0.1,0,0,0,0,0,0,0.0
2019-04-27,0,0,11.25,0,0,1.0,4,5,5,0,2,0,1.5
2019-04-30,0,0,9.0,0,0,1.0,0,0,0,0,0,0,1.2
2019-05-25,0,0,5.63,0,0,3.0,1,0,0,0,3,1,1.25
2019-05-31,0,0,6.0,0,0,1.0,3,1,1,0,0,2,1.44
2019-06-02,0,0,5.4,0,0,1.0,0,0,0,0,0,0,1.3
2019-06-04,0,0,4.91,0,0,1.0,1,0,0,0,0,1,1.27
2019-06-09,0,0,4.38,0,0,1.1,0,0,0,0,0,3,1.14
2019-06-11,0,0,4.38,0,0,0.0,0,0,0,0,1,0,1.22
2019-06-14,0,0,5.65,0,0,2.0,4,3,3,1,0,1,1.33
2019-06-19,0,0,5.28,0,0,1.0,0,0,0,0,1,0,1.3
