W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-09-11,0,0,3.0,0,0,3.0,1,1,1,1,0,2,0.33
2019-09-15,0,0,3.0,0,1,3.0,2,1,1,0,2,4,0.83
2019-09-21,0,0,2.57,0,0,1.0,0,0,0,0,1,2,0.86
2019-09-24,0,0,2.25,0,0,1.0,1,0,0,0,0,2,0.88
2019-09-26,0,0,1.8,0,0,2.0,0,0,0,0,0,3,0.7
2019-09-28,0,0,1.5,0,1,2.0,1,0,0,0,0,3,0.67
2020-07-25,0,0,0.0,0,0,3.0,1,0,0,0,1,2,0.67
2020-07-29,0,0,4.05,0,0,3.2,5,3,3,0,2,5,1.35
2020-08-04,0,0,2.31,1,0,5.0,2,0,0,0,2,5,1.11
2020-08-09,1,0,2.6,1,0,5.2,5,2,2,1,2,5,1.15
2020-08-14,0,0,4.79,1,0,3.1,9,6,6,2,2,3,1.5
2020-08-19,1,0,3.67,1,0,6.1,4,0,0,0,2,7,1.37
2020-08-24,0,1,3.74,1,0,6.2,7,3,3,1,2,7,1.37
2020-09-04,0,1,4.23,1,0,4.2,6,4,4,0,0,4,1.36
2020-09-09,0,0,3.97,1,0,7.0,4,2,2,2,1,7,1.26
2020-09-14,0,0,4.32,1,0,4.2,7,4,4,3,0,7,1.28
2020-09-19,1,0,3.86,1,0,6.0,5,0,0,0,0,7,1.23
2020-09-24,0,0,4.12,0,0,3.0,3,3,3,0,3,0,1.27
2021-04-02,0,1,9.0,1,0,5.0,8,5,5,2,1,8,1.8
2021-04-07,0,0,6.1,1,0,5.1,5,2,2,0,4,6,1.74
2021-04-13,0,0,8.31,1,0,2.2,6,5,5,1,2,1,2.0
2021-04-20,1,0,5.89,1,0,5.1,2,0,0,0,1,6,1.58
2021-04-25,0,1,5.4,1,0,6.2,7,3,3,2,2,8,1.52
2021-05-01,0,1,5.79,1,0,3.0,5,6,3,0,2,1,1.61
2021-05-30,0,0,5.59,0,0,1.0,0,0,0,0,0,1,1.55
2021-06-01,1,0,5.06,0,0,3.0,2,0,0,0,1,6,1.5
2021-06-05,0,0,5.29,0,0,2.0,4,2,2,1,0,2,1.53
2021-06-10,0,0,5.91,0,0,1.0,3,3,3,2,0,0,1.57
2021-06-12,0,0,6.14,0,0,1.2,2,2,2,1,1,1,1.58
2021-06-15,0,0,6.21,0,0,1.0,1,1,1,1,0,0,1.57
2021-06-19,0,1,6.87,0,0,0.1,1,3,3,1,2,0,1.63
2021-08-02,1,0,6.7,1,0,5.0,4,3,3,1,3,5,1.6
2021-08-07,0,1,7.36,1,0,4.2,7,7,7,0,4,2,1.68
2021-08-13,1,0,7.52,1,0,5.0,6,5,5,2,4,6,1.71
2021-08-18,0,1,7.76,1,0,3.0,4,4,4,0,5,4,1.78
2021-08-24,0,1,7.91,1,0,4.2,10,5,5,2,1,3,1.82
2021-08-29,1,0,7.19,1,0,6.0,1,0,0,0,1,8,1.69
2021-09-03,0,0,7.0,1,0,5.2,5,3,3,1,2,3,1.65
2021-09-09,0,0,6.72,1,0,5.2,2,2,2,1,4,8,1.61
2021-09-14,0,1,6.8,1,0,4.1,7,4,4,1,2,1,1.63
2021-09-20,0,0,7.01,1,0,4.0,6,5,5,1,4,2,1.67
2021-09-26,0,1,6.9,1,0,4.0,2,2,2,0,2,5,1.64
2021-10-02,1,0,6.61,1,0,5.1,6,1,1,0,0,11,1.62
