W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2020-08-06,0,0,13.5,0.2,2,1,0,1,0,4.5
2020-08-08,0,0,6.75,0.2,0,0,0,1,1,3.0
2020-08-09,0,0,3.86,1.0,1,0,0,1,2,2.57
2020-08-11,0,0,2.08,2.0,0,0,0,0,3,1.38
2020-08-17,0,0,1.69,1.0,0,0,0,0,2,1.13
2020-08-18,0,0,1.35,1.1,0,0,0,1,0,1.05
2020-08-23,0,0,1.17,1.0,0,0,0,0,2,0.91
2020-08-26,0,0,1.04,1.0,0,0,0,0,2,0.81
2020-08-28,0,0,2.79,1.0,3,2,0,0,2,1.03
2020-08-30,0,0,2.45,1.1,1,0,0,0,2,1.0
2020-09-02,0,0,2.25,1.0,1,0,0,1,1,1.08
2020-09-05,0,0,2.13,0.2,0,0,0,0,0,1.03
2021-04-17,0,1,27.0,0.2,3,2,0,0,1,4.5
2021-04-19,0,0,10.8,1.0,0,0,0,0,2,1.8
2021-04-21,0,0,6.75,1.0,0,0,0,0,2,1.13
2021-04-27,0,0,4.91,1.0,1,0,0,0,1,1.09
2021-04-29,0,0,3.86,1.0,0,0,0,0,0,0.86
2021-05-01,0,0,3.18,1.0,2,0,0,1,1,1.24
2021-05-04,1,0,2.7,1.0,0,0,0,0,2,1.05
2021-05-05,0,0,2.35,1.0,1,0,0,0,1,1.04
2021-05-07,0,0,2.08,1.0,1,0,0,1,1,1.15
2021-05-11,0,0,1.86,1.0,1,0,0,0,2,1.14
2021-05-13,0,0,1.69,1.0,0,0,0,0,0,1.03
2021-05-16,0,1,4.76,0.2,4,4,0,1,0,1.41
2021-05-21,0,0,6.75,0.2,3,3,0,0,0,1.58
2021-05-26,0,0,6.23,1.0,1,0,0,0,1,1.54
2021-05-29,0,0,6.43,1.0,1,1,1,0,2,1.5
2021-06-01,0,0,6.28,0.1,0,0,0,0,0,1.47
2021-06-05,0,0,6.46,1.0,1,1,1,0,1,1.43
2021-06-08,0,1,7.71,1.0,1,3,0,2,3,1.53
2021-06-12,0,0,7.27,1.0,0,0,0,0,1,1.44
2021-06-18,0,0,6.87,1.0,1,0,0,0,1,1.42
2021-06-20,0,0,6.52,1.0,1,0,0,0,0,1.4
2021-06-21,0,0,6.2,1.0,0,0,0,0,0,1.33
2021-06-23,0,0,5.91,1.0,1,0,0,0,0,1.31
2021-06-29,0,0,5.64,1.0,0,0,0,1,2,1.3
2021-07-02,0,0,6.26,0.2,2,2,1,1,0,1.39
2021-07-07,0,0,6.08,0.2,2,0,0,1,2,1.48
2021-07-10,0,0,5.84,1.0,1,0,0,0,1,1.46
2021-07-19,0,0,6.04,0.2,2,1,0,2,1,1.58
2021-07-23,0,0,5.81,1.0,1,0,0,0,2,1.56
2021-07-25,0,0,6.0,0.2,1,1,0,2,0,1.63
2021-07-27,0,0,5.93,0.1,0,0,0,0,0,1.61
2021-08-01,1,0,5.86,0.1,0,0,0,0,0,1.59
2021-08-02,0,0,6.07,2.0,2,2,0,1,1,1.58
2021-08-06,0,0,5.87,1.0,1,0,0,0,0,1.57
2021-08-07,0,0,5.74,0.2,1,0,0,0,1,1.56
2021-08-10,0,0,5.63,0.2,1,0,0,0,0,1.56
2021-08-11,0,0,5.51,0.2,0,0,0,1,0,1.56
2021-08-12,0,0,5.35,1.0,2,0,0,0,1,1.57
2021-08-16,0,0,5.29,0.1,0,0,0,0,1,1.56
2021-08-20,0,0,5.14,1.0,0,0,0,0,2,1.51
2021-08-24,0,0,5.05,0.2,1,0,0,0,0,1.51
2021-08-27,0,0,5.25,0.1,2,1,0,1,0,1.58
2021-08-31,0,0,5.06,1.1,1,0,0,0,1,1.55
2021-09-05,0,0,4.97,0.2,0,0,0,2,1,1.58
2021-09-07,0,0,4.76,1.2,0,0,0,0,2,1.51
2021-09-08,0,0,4.65,1.0,0,0,0,0,2,1.48
2021-09-10,0,0,4.79,0.2,2,1,0,0,0,1.5
2021-09-16,0,0,4.75,0.1,0,0,0,0,0,1.49
2021-09-18,0,0,4.64,1.0,0,0,0,0,2,1.45
2021-09-20,0,0,4.6,0.1,1,0,0,0,1,1.47
2021-09-26,0,0,4.78,0.1,2,1,0,0,0,1.5
2021-10-02,0,0,4.66,3.0,5,1,1,1,2,1.53
