W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-03-30,0,0,0.0,1.0,2,0,0,0,1,2.0
2018-04-01,0,1,4.5,1.0,1,1,0,0,1,1.5
2018-04-04,0,0,3.0,1.0,0,0,0,0,1,1.0
2018-04-05,0,0,2.25,1.0,0,0,0,0,2,0.75
2018-04-08,0,0,1.8,1.0,0,0,0,1,0,0.8
2018-04-09,0,0,1.69,0.1,1,0,0,0,0,0.94
2018-04-11,0,0,1.42,1.0,0,0,0,1,2,0.95
2018-04-13,0,0,1.29,0.2,1,0,0,1,2,1.14
2018-04-18,0,0,1.13,1.0,0,0,0,0,1,1.0
2018-04-20,0,0,2.08,0.2,0,1,0,1,2,1.04
2018-04-22,0,0,3.6,1.1,2,2,0,0,1,1.1
2018-04-25,0,0,3.27,1.0,0,0,0,0,1,1.0
2018-04-26,0,0,3.0,1.0,0,0,0,0,0,0.92
2018-04-28,0,0,2.7,1.1,1,0,0,0,2,0.9
2018-04-30,0,0,2.57,0.2,1,0,0,1,0,1.0
2018-05-02,0,0,2.45,0.2,0,0,0,0,0,0.95
2018-05-05,0,0,2.4,0.1,0,0,0,0,0,0.93
2018-05-12,0,0,2.2,1.1,0,0,0,1,1,0.92
2018-05-14,0,0,2.16,0.1,0,0,0,0,0,0.9
2018-05-15,0,0,2.95,1.2,2,2,0,1,1,0.98
2018-05-20,0,0,3.2,1.1,1,1,0,2,1,1.07
2018-05-23,0,0,2.95,1.2,0,0,0,0,4,0.98
2018-05-28,0,0,2.78,1.1,1,0,0,1,1,1.01
2018-06-01,0,0,2.59,1.2,2,0,0,1,2,1.07
2018-06-03,0,1,2.84,1.0,2,1,0,1,3,1.14
2018-06-06,0,0,2.73,1.0,2,0,0,0,0,1.18
2018-06-10,0,1,3.29,1.0,1,2,1,1,2,1.21
2018-06-12,0,0,3.1,1.2,0,0,0,0,1,1.14
2018-06-17,0,0,3.07,0.1,1,0,0,2,1,1.23
2018-06-18,0,0,3.03,0.1,2,0,0,0,1,1.28
2018-06-19,0,0,3.0,0.1,1,0,0,0,0,1.3
