W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-06-23,0,0,18.0,0,0,1.0,2,2,2,0,2,2,4.0
2019-06-27,0,0,9.0,0,0,1.0,0,0,0,0,0,2,2.0
2019-06-28,0,0,7.71,0,0,0.1,1,0,0,0,0,1,2.14
2019-06-30,0,0,4.15,0,0,2.0,1,0,0,0,1,2,1.62
2019-07-03,0,0,3.0,0,0,1.2,1,0,0,0,0,0,1.33
2019-07-05,0,0,3.86,0,0,1.0,3,3,1,0,1,1,1.71
2019-07-07,0,0,3.0,0,0,2.0,1,0,0,0,0,1,1.44
2019-07-12,0,0,3.6,0,0,1.0,2,1,1,1,0,0,1.5
2019-07-15,0,0,3.27,0,0,1.0,0,0,0,0,0,0,1.36
2019-07-24,0,0,2.84,0,0,1.2,0,0,0,0,0,3,1.18
2019-07-26,0,1,3.38,0,0,0.2,2,1,1,0,1,0,1.35
2019-07-28,0,1,3.95,0,0,0.1,2,1,1,0,0,1,1.46
2019-07-30,0,0,3.68,0,0,1.0,0,0,0,0,0,3,1.36
2019-08-04,0,1,4.7,0,0,0.2,0,2,2,0,2,0,1.43
2019-08-06,0,0,4.08,0,0,2.1,3,0,0,0,1,3,1.47
2019-08-08,0,0,4.19,0,0,1.2,1,1,1,1,0,2,1.4
2019-08-10,0,0,4.05,0,0,0.2,1,0,0,0,0,0,1.4
2019-08-13,0,0,4.71,0,0,1.0,1,2,2,1,2,2,1.48
2019-08-17,0,0,4.57,0,0,0.2,1,0,0,0,1,1,1.52
2019-08-20,0,0,4.18,0,0,2.0,0,0,0,0,1,2,1.44
2019-08-23,0,0,4.07,0,0,0.2,1,0,0,0,1,1,1.48
2019-08-29,0,0,3.91,0,0,1.0,0,0,0,0,1,1,1.46
2019-08-31,0,0,3.86,0,0,0.1,0,0,0,0,0,1,1.44
2019-09-01,0,0,3.67,0,0,1.1,1,0,0,0,0,2,1.41
2019-09-03,0,0,3.95,0,0,0.1,1,1,1,0,0,1,1.43
2019-09-05,0,0,3.86,0,0,0.2,0,0,0,0,0,2,1.39
2019-09-06,0,0,3.72,0,0,1.0,0,0,0,0,1,1,1.38
2019-09-10,0,0,3.68,0,0,0.1,0,0,0,0,0,0,1.36
2019-09-12,0,0,3.64,0,0,0.1,0,0,0,0,0,0,1.35
2019-09-13,0,0,4.11,0,0,1.0,2,2,2,1,1,0,1.4
2019-09-16,0,0,4.26,0,0,1.0,2,1,1,0,0,2,1.42
2019-09-18,0,1,4.18,0,0,0.2,1,1,0,0,2,0,1.48
2019-09-20,0,0,4.05,0,0,1.0,2,0,0,0,0,1,1.5
2019-09-26,0,0,4.46,0,0,1.0,3,3,2,1,1,1,1.57
2019-09-28,0,0,4.33,0,0,1.0,0,0,0,0,0,1,1.53
2020-07-24,0,0,9.0,0,0,1.0,2,1,1,0,1,1,3.0
2020-07-26,1,0,4.5,0,0,1.0,1,0,0,0,0,1,2.0
2020-07-28,0,0,3.0,0,0,1.0,0,0,0,0,0,1,1.33
2020-07-30,0,1,4.5,0,0,1.0,1,1,1,0,0,2,1.25
2020-08-02,0,0,3.0,0,0,2.0,3,0,0,0,0,2,1.33
2020-08-07,0,0,2.7,0,0,0.2,0,0,0,0,0,0,1.2
2020-08-08,0,0,2.35,0,0,1.0,0,0,0,0,1,0,1.17
2020-08-10,0,0,3.24,0,0,0.2,2,1,1,0,0,0,1.32
2020-08-12,0,0,2.89,0,0,1.0,0,0,0,0,0,2,1.18
2020-08-15,0,0,2.61,0,0,1.0,0,0,0,0,2,1,1.26
2020-08-18,0,0,2.38,0,0,1.0,0,0,0,0,1,0,1.24
2020-08-19,0,0,2.08,0,0,1.2,0,0,0,0,0,2,1.08
2020-08-21,0,0,1.84,0,0,1.2,1,0,0,0,0,3,1.02
2020-08-23,0,0,1.76,0,0,0.2,0,0,0,0,0,1,0.98
2020-08-25,0,0,1.65,0,0,1.0,0,0,0,0,0,1,0.92
2020-08-26,0,0,1.62,0,0,0.1,0,0,0,0,0,1,0.9
2020-08-29,0,0,1.53,0,0,1.0,0,0,0,0,0,0,0.85
2020-09-01,0,0,1.45,0,0,1.0,1,0,0,0,1,2,0.91
2020-09-04,0,0,1.37,0,0,1.0,0,0,0,0,0,2,0.86
2020-09-05,0,1,2.21,0,0,0.2,3,2,2,0,1,1,1.03
2020-09-08,0,0,3.43,0,0,0.2,5,3,3,0,0,0,1.24
2020-09-10,1,0,3.22,0,0,1.1,1,0,0,0,0,2,1.21
2020-09-11,0,1,3.8,0,0,1.1,1,2,2,1,0,1,1.18
2020-09-15,0,0,3.6,0,0,1.1,1,0,0,0,1,3,1.2
2020-09-18,0,0,3.46,0,0,1.0,0,0,0,0,1,1,1.19
