W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-03-29,0,0,27.0,0,0,0.2,1,2,2,0,1,1,3.0
2018-04-03,0,0,18.0,0,0,0.1,1,0,0,0,0,0,3.0
2018-04-07,0,0,27.0,0,0,0.0,0,1,1,0,4,0,7.0
2018-04-28,0,0,12.0,0,0,2.0,1,1,1,0,4,4,4.0
2018-05-03,0,0,10.8,0,0,0.1,0,0,0,0,0,0,3.6
2018-06-14,0,0,8.31,0,0,1.0,1,1,0,0,1,1,3.23
2018-06-15,0,1,7.11,0,0,2.0,1,1,1,0,1,4,2.53
2018-06-18,0,0,5.87,0,0,1.1,1,0,0,0,0,2,2.22
2018-06-20,0,0,5.19,0,0,1.0,1,0,0,0,0,1,2.08
2018-06-22,0,0,4.22,0,0,2.0,1,0,0,0,0,2,1.78
2018-06-23,0,1,4.63,0,0,1.0,2,1,1,0,0,2,1.8
2018-06-26,0,0,4.5,0,0,0.1,0,0,0,0,0,0,1.75
2018-06-27,0,0,4.97,0,0,0.2,1,1,1,0,2,0,1.89
2018-06-29,0,0,4.5,0,0,1.1,0,0,0,0,0,2,1.71
2018-06-30,0,0,4.11,0,0,1.1,1,1,0,0,0,3,1.63
2018-07-02,0,0,4.11,0,0,0.0,0,0,0,0,1,0,1.7
2018-07-04,0,0,4.02,0,0,0.1,0,0,0,0,0,0,1.66
2018-07-05,0,0,3.71,0,0,1.1,0,0,0,0,1,1,1.59
2018-07-07,0,0,3.57,0,0,0.2,1,0,0,0,2,0,1.7
2018-07-11,0,0,3.5,0,0,0.1,0,0,0,0,0,1,1.67
2018-07-13,0,0,3.44,0,0,0.1,0,0,0,0,0,0,1.64
2018-07-20,0,0,3.38,0,0,0.1,1,0,0,0,0,0,1.66
2018-07-23,0,0,3.32,0,0,0.1,1,0,0,0,0,1,1.68
2018-07-24,0,0,3.32,0,0,0.0,1,0,0,0,1,0,1.79
2018-07-26,0,0,4.58,0,0,0.2,2,3,3,1,2,1,1.93
2018-07-28,1,0,4.35,0,0,1.0,1,0,0,0,0,1,1.89
2018-08-02,0,0,4.29,0,0,0.1,0,0,0,0,0,1,1.86
2018-08-03,0,0,4.15,0,0,0.2,1,0,0,0,1,2,1.89
2018-08-04,0,0,3.86,0,0,1.2,0,0,0,0,0,2,1.76
2018-08-07,0,0,3.6,0,0,1.2,0,0,0,0,0,1,1.64
2018-08-10,0,0,3.55,0,0,0.1,0,0,0,0,0,0,1.62
2018-08-13,0,0,4.5,0,0,0.2,3,3,3,0,2,1,1.77
2018-08-14,0,0,4.5,0,0,0.0,0,0,0,0,1,0,1.81
2018-08-18,0,0,4.44,0,0,0.1,1,0,0,0,0,0,1.82
2018-08-20,0,0,4.13,0,0,2.0,0,0,0,0,0,5,1.69
2018-08-22,0,0,3.9,0,0,1.2,2,0,0,0,0,0,1.67
2018-08-24,0,0,3.82,0,0,0.2,0,0,0,0,0,1,1.63
2018-08-27,0,0,3.62,0,0,1.2,1,0,0,0,0,1,1.58
2018-08-28,0,0,4.18,0,0,0.0,2,2,2,1,0,0,1.64
2018-08-31,0,0,4.19,0,0,2.0,1,1,1,1,0,2,1.57
2018-09-02,0,0,4.08,0,0,1.0,0,0,0,0,0,2,1.53
2018-09-05,0,0,3.93,0,0,1.1,0,0,0,0,1,2,1.5
2018-09-08,0,0,3.79,0,0,1.1,3,0,0,0,1,3,1.55
2018-09-09,0,0,3.66,0,0,1.1,1,0,0,0,0,2,1.53
2018-09-12,1,0,3.48,0,0,2.0,1,0,0,0,1,2,1.5
2018-09-15,0,0,3.38,0,1,1.1,1,0,0,0,1,0,1.5
2018-09-19,0,0,3.56,0,0,0.1,1,1,1,0,0,1,1.51
2018-09-20,0,0,3.5,0,0,0.2,0,0,0,0,1,1,1.51
2018-09-24,0,0,3.48,0,0,0.1,0,0,0,0,0,0,1.5
2018-09-25,0,0,3.4,0,0,1.0,1,0,0,0,0,1,1.49
2018-09-28,0,0,3.33,0,0,1.0,0,0,0,0,0,1,1.46
2018-09-30,0,0,3.28,0,0,0.2,1,0,0,0,0,0,1.46
2019-05-05,0,0,6.75,0,0,1.1,1,1,1,1,1,3,1.5
2019-05-06,0,0,3.86,0,0,1.0,1,0,0,0,1,1,1.71
2019-05-14,0,0,2.08,0,0,2.0,2,1,0,0,1,3,1.62
2019-05-17,0,0,2.84,0,0,2.0,2,1,1,0,1,3,1.58
2019-05-20,0,0,2.16,0,0,2.0,2,0,0,0,0,1,1.44
2019-05-21,0,0,1.93,0,0,1.0,1,0,0,0,0,1,1.39
2019-05-25,0,0,1.59,0,0,2.0,2,0,0,0,1,1,1.41
2019-05-26,0,0,1.46,0,0,1.0,0,0,0,0,0,1,1.3
2019-05-31,0,0,1.35,0,0,1.0,0,0,0,0,0,1,1.2
2019-06-04,0,0,1.17,0,0,2.0,1,0,0,0,0,1,1.11
2019-06-07,0,0,1.15,0,0,0.1,1,0,0,0,0,0,1.15
2019-06-10,0,0,2.16,0,0,1.0,1,2,2,1,1,0,1.2
2019-06-14,0,0,1.96,0,0,1.2,2,0,0,0,0,2,1.2
2019-06-15,0,0,2.84,0,0,0.2,2,2,2,1,2,1,1.37
2019-06-19,0,0,2.7,0,0,1.0,2,0,0,0,0,2,1.4
2019-06-22,0,0,2.42,0,0,2.1,1,0,0,0,0,2,1.3
2019-06-25,0,0,2.96,0,0,2.0,3,2,2,0,0,3,1.32
2019-06-28,0,0,2.96,0,0,0.0,0,0,0,0,1,0,1.36
2019-07-03,0,0,3.2,0,0,1.0,1,1,1,0,1,1,1.38
2019-07-04,0,0,3.81,0,0,0.2,3,2,2,1,0,0,1.46
2019-07-06,0,0,3.67,0,0,1.0,1,0,0,0,0,0,1.44
2019-07-12,0,0,3.9,0,0,0.2,2,1,1,0,2,0,1.55
2021-05-30,0,0,9.0,0,0,1.0,2,1,1,1,0,0,2.0
2021-06-01,0,0,6.0,0,0,2.0,1,1,1,1,2,1,1.67
2021-06-02,0,0,4.5,0,0,1.0,0,0,0,0,1,0,1.5
2021-06-04,0,0,4.26,0,0,2.1,2,1,1,0,0,3,1.26
2021-07-18,0,0,3.68,0,0,1.0,0,0,0,0,0,1,1.09
2021-07-23,1,0,3.24,0,0,1.0,1,0,0,0,0,1,1.08
2021-07-28,0,0,5.56,0,0,3.0,3,4,4,0,2,3,1.24
2021-07-31,0,0,5.11,0,0,1.0,0,0,0,0,1,2,1.22
2021-08-04,0,0,4.4,0,0,2.0,1,0,0,0,2,5,1.26
2021-08-06,1,0,4.02,0,0,1.1,0,0,0,0,0,2,1.15
2021-08-08,0,0,3.78,0,0,1.0,1,0,0,0,0,1,1.14
2021-08-11,0,0,3.5,0,0,1.1,0,0,0,0,0,3,1.06
2021-08-16,0,0,3.32,0,0,1.0,0,0,0,0,1,1,1.05
2021-08-18,0,0,3.86,0,0,2.0,2,2,2,1,2,0,1.14
2021-08-20,0,0,3.68,0,0,1.0,0,0,0,0,1,2,1.14
2021-08-24,0,0,3.47,0,0,1.1,1,0,0,0,2,0,1.2
2021-08-28,0,0,3.2,0,0,2.0,1,0,0,0,0,1,1.14
2021-08-31,0,0,3.08,0,0,1.0,3,0,0,0,0,1,1.22
2021-09-01,0,0,2.96,0,0,1.0,0,0,0,0,0,0,1.17
2021-09-04,0,0,2.83,0,0,1.1,0,0,0,0,1,3,1.15
2021-09-07,0,0,2.73,0,0,1.0,1,0,0,0,0,2,1.15
2021-09-10,0,1,2.84,0,0,2.0,2,2,1,1,2,2,1.2
2021-09-12,0,0,3.03,0,0,1.0,2,1,1,0,0,1,1.22
2021-09-14,0,0,2.94,0,0,1.0,1,0,0,0,0,0,1.22
2021-09-19,0,0,2.78,0,0,2.0,1,0,0,0,1,5,1.21
2021-09-22,0,0,2.7,0,0,1.0,1,0,0,0,0,1,1.2
2021-09-24,0,0,2.63,0,0,1.0,0,0,0,0,1,0,1.19
2021-09-29,0,0,2.56,0,0,1.0,0,0,0,0,1,0,1.19
2021-10-03,0,0,2.48,0,0,1.1,1,0,0,0,0,2,1.18
