W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019-09-12,0,0,27.0,1,0,0.2,0,2,2,0,5,0,7.5
2019-09-18,0,0,6.75,1,0,2.0,1,0,0,0,3,1,3.38
2019-09-24,0,0,3.86,1,0,2.0,1,0,0,0,0,1,2.14
2019-09-29,0,0,2.7,1,0,2.0,0,0,0,0,1,3,1.65
2020-07-29,0,0,6.0,1,0,3.0,1,3,2,1,3,2,1.33
2020-08-04,0,1,6.43,1,0,4.0,3,3,3,2,4,4,1.57
2020-08-10,1,0,4.85,1,0,6.0,7,2,2,0,3,2,1.62
2020-08-17,0,0,7.8,1,0,2.0,5,6,6,2,1,1,1.8
2020-08-23,1,0,5.57,1,0,6.0,1,0,0,0,1,6,1.38
2020-08-30,0,0,4.33,1,0,6.0,1,0,0,0,4,6,1.26
2020-09-06,1,0,4.09,1,0,6.0,4,2,2,2,4,4,1.27
2020-09-13,0,0,4.11,1,0,2.0,1,1,1,0,5,5,1.37
2020-09-20,0,0,4.2,1,0,5.2,2,3,3,1,4,6,1.33
2020-09-26,1,0,4.34,1,0,5.0,6,3,3,2,2,2,1.36
2021-04-07,0,0,5.79,1,0,4.2,1,3,3,0,8,3,1.93
2021-04-15,1,0,3.72,1,0,5.0,2,1,1,1,2,6,1.34
2021-04-22,0,0,3.68,1,0,5.0,6,2,2,1,1,5,1.36
2021-04-28,0,0,3.98,1,0,5.2,4,3,3,0,2,2,1.28
2021-05-04,0,0,3.51,1,0,5.1,3,1,1,1,4,6,1.29
2021-05-12,0,1,3.72,1,0,3.1,3,2,2,0,3,2,1.34
2021-05-18,0,1,3.63,1,0,5.2,5,2,2,1,2,9,1.33
2021-05-23,0,0,3.4,1,0,5.0,1,1,1,1,3,4,1.26
2021-05-29,0,0,3.18,1,0,5.2,2,1,1,0,2,8,1.19
2021-06-11,0,1,3.91,1,0,3.0,9,5,5,1,2,3,1.34
2021-06-17,0,0,3.75,1,0,2.0,1,0,0,0,0,1,1.31
