W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-03-30,0,0,1.5,6.0,4,1,0,3,5,1.17
2018-04-06,0,0,4.09,5.0,9,4,2,1,1,1.55
2018-04-12,0,1,3.71,6.0,5,2,2,3,7,1.47
2018-04-20,1,0,4.09,5.0,5,3,1,0,6,1.36
2018-04-26,1,0,3.1,7.0,4,0,0,0,5,1.17
2018-05-01,0,1,3.19,7.2,4,3,3,2,5,1.09
2018-05-07,1,0,3.02,8.0,6,2,0,0,3,1.03
2018-05-13,0,1,3.2,6.0,6,3,1,0,6,1.03
2018-05-19,0,0,3.4,5.0,6,3,0,2,6,1.08
2018-05-25,1,0,3.16,7.0,2,1,1,2,7,1.02
2018-05-30,0,1,3.19,5.0,7,2,1,1,1,1.06
2018-06-05,0,1,3.59,5.0,5,5,1,3,5,1.1
2018-06-10,0,1,3.48,5.0,3,1,1,2,4,1.09
2018-06-16,1,0,3.55,6.0,7,3,1,4,3,1.15
2018-06-21,0,1,3.73,5.2,3,4,0,4,5,1.15
2018-06-27,0,1,4.21,2.2,8,6,2,2,1,1.23
2018-07-03,0,0,4.27,5.0,7,3,0,1,2,1.25
2018-07-09,0,0,3.93,8.1,5,0,0,1,8,1.21
2018-07-14,1,0,3.92,5.0,5,2,1,0,3,1.2
2018-07-19,0,0,3.99,4.2,9,3,1,1,4,1.23
2018-07-24,0,1,4.05,5.0,7,3,0,2,8,1.26
2018-07-29,1,0,3.97,7.0,4,2,1,0,8,1.22
2018-08-04,1,0,4.07,5.2,5,4,1,0,7,1.21
2018-08-10,0,0,4.02,6.0,8,2,0,0,5,1.21
2018-08-15,1,0,4.11,6.0,7,4,0,2,8,1.22
2018-08-21,0,1,4.04,7.0,10,2,0,1,3,1.24
2018-08-26,1,0,3.86,7.0,2,0,0,1,5,1.2
2018-09-01,1,0,3.77,6.0,6,1,0,2,4,1.21
2018-09-06,0,0,3.71,5.0,6,1,1,0,6,1.21
2018-09-12,0,1,3.71,5.0,5,2,0,1,5,1.21
2018-09-17,1,0,3.58,8.2,3,1,1,1,8,1.17
2018-09-23,1,0,3.49,7.2,4,1,0,0,5,1.15
2018-09-28,1,0,3.44,8.0,7,2,0,2,2,1.15
2019-04-01,0,1,4.15,4.1,10,2,2,3,4,3.0
2019-04-07,0,1,6.48,4.0,8,4,1,1,4,2.64
2019-04-13,0,1,5.4,5.0,6,2,0,1,2,2.18
2019-04-19,1,0,3.54,7.0,3,0,0,2,11,1.67
2019-04-26,0,1,5.33,5.0,10,7,0,1,3,1.78
2019-05-03,1,0,3.93,9.0,4,0,0,0,3,1.43
2019-05-08,0,0,3.19,8.0,5,0,0,0,7,1.28
2019-05-14,1,0,2.86,8.0,3,1,1,1,7,1.15
2019-05-19,1,0,3.21,5.2,6,4,1,2,4,1.18
2019-05-24,0,0,3.34,6.0,6,3,1,1,9,1.18
2019-05-29,1,0,3.09,8.0,4,1,0,1,7,1.11
2019-06-04,1,0,3.16,7.0,6,3,1,1,10,1.1
2019-06-09,1,0,3.0,7.0,8,1,0,0,3,1.11
2019-06-14,0,1,3.36,4.1,6,5,2,2,1,1.14
2019-07-02,0,1,3.45,3.0,4,2,0,1,4,1.16
2019-07-07,0,1,3.49,4.0,4,2,1,2,6,1.17
2019-07-15,0,0,3.46,6.0,4,2,2,2,5,1.16
2019-07-21,0,1,3.41,7.0,4,2,1,2,5,1.14
2019-07-26,0,0,3.26,5.0,2,0,0,2,5,1.13
