W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-04-09,0,0,0.0,1.0,0,0,0,2,2,2.0
2018-04-14,0,0,13.5,0.1,1,2,0,0,1,2.25
2018-06-05,0,0,6.23,3.0,1,1,1,2,5,1.38
2018-06-12,0,0,5.06,1.0,0,0,0,0,1,1.13
2018-06-20,0,0,4.26,1.0,1,0,0,1,0,1.26
2018-06-22,0,0,4.05,0.1,0,0,0,0,0,1.2
2018-06-23,0,0,3.0,2.1,1,0,0,0,3,1.0
2018-06-25,1,0,2.7,1.0,0,0,0,1,1,1.0
2018-06-29,0,0,3.48,0.1,2,1,0,1,0,1.26
2018-07-03,0,0,3.38,3.0,4,1,0,1,5,1.35
2018-07-08,0,0,3.29,0.1,0,0,0,1,0,1.39
2018-07-13,0,0,3.07,1.0,0,0,0,0,2,1.3
2018-07-14,0,0,2.87,1.0,1,0,0,0,1,1.28
2018-07-22,0,0,3.24,1.0,3,1,0,0,2,1.38
2018-07-26,0,0,4.24,0.1,1,2,0,1,0,1.47
2018-07-28,0,0,5.0,1.0,1,2,1,1,2,1.5
2018-07-31,0,0,4.29,3.0,0,0,0,0,4,1.29
2018-08-07,0,0,3.91,2.0,1,0,0,1,3,1.26
2018-08-08,0,0,3.86,0.1,0,0,0,0,1,1.24
2018-08-11,0,0,3.7,1.0,1,0,0,0,2,1.23
2018-08-12,0,0,4.1,2.0,4,2,0,1,2,1.33
2018-08-16,0,0,3.95,1.0,1,0,0,1,1,1.35
2018-08-18,0,1,4.4,1.1,3,2,1,1,0,1.43
2018-08-23,0,0,4.25,1.0,1,0,0,0,1,1.42
2018-08-25,0,0,4.11,1.0,0,0,0,0,1,1.37
2018-08-29,0,0,3.86,2.0,3,0,0,0,0,1.38
2018-08-31,0,0,3.74,1.0,1,0,0,0,0,1.37
2018-09-03,0,0,3.67,0.2,0,0,0,0,1,1.34
2018-09-04,0,0,4.08,1.0,2,2,0,2,1,1.42
2018-09-06,0,0,4.04,0.1,1,0,0,0,1,1.43
2018-09-07,0,0,3.93,1.0,0,0,0,1,0,1.42
2018-09-09,0,0,4.42,0.0,3,2,0,1,0,1.53
2018-09-15,0,0,4.54,1.0,1,1,0,1,1,1.54
2018-09-17,0,0,4.31,2.0,1,0,0,1,0,1.51
2018-09-26,0,1,4.43,1.0,2,1,0,0,2,1.52
2019-03-28,0,0,36.0,1.0,2,4,1,2,0,4.0
2019-03-31,0,0,12.0,2.0,2,0,0,0,4,2.0
2019-04-03,1,0,9.0,1.0,1,0,0,0,1,1.75
2019-04-06,0,0,7.71,0.2,0,0,0,0,1,1.5
2019-04-08,0,0,6.35,1.0,1,0,0,0,1,1.41
2019-04-09,0,0,5.4,1.0,1,0,0,1,3,1.5
2019-04-11,0,0,4.7,1.0,1,0,0,1,1,1.57
2019-04-14,0,0,4.32,0.2,2,0,0,0,1,1.68
2019-04-16,0,0,3.86,1.0,1,0,0,1,2,1.71
2019-04-20,1,0,3.48,1.0,0,0,0,0,1,1.55
2019-04-24,0,0,3.18,1.0,0,0,0,1,0,1.5
2019-04-27,0,0,2.7,2.0,0,0,0,0,0,1.28
2019-04-28,0,0,2.57,0.2,0,0,0,0,0,1.21
2019-05-02,0,0,2.4,1.0,1,0,0,0,2,1.2
2019-05-05,0,0,2.25,1.0,1,0,0,0,2,1.19
2019-05-09,0,0,2.65,1.0,2,1,1,1,1,1.29
2019-05-10,0,0,2.5,1.0,0,0,0,0,2,1.22
2019-05-12,0,0,2.25,2.0,2,0,0,0,2,1.2
2019-05-15,0,0,2.05,2.0,0,0,0,0,3,1.09
2019-05-17,0,0,2.01,0.1,0,0,0,0,1,1.07
2019-05-18,0,0,2.31,1.0,2,1,0,1,2,1.16
2019-05-21,0,1,3.38,0.2,4,3,0,0,1,1.29
2019-05-23,1,0,3.12,2.0,1,0,0,0,3,1.23
2019-05-26,0,0,3.0,1.0,1,0,0,0,2,1.22
2019-06-01,0,0,2.83,1.2,1,0,0,0,5,1.19
2019-06-02,0,0,3.03,1.0,1,1,1,0,1,1.18
2019-06-08,0,0,2.9,1.1,1,0,0,1,3,1.19
2019-06-09,0,0,3.09,1.0,2,1,0,0,3,1.22
2019-06-11,0,0,3.09,0.0,0,0,0,0,0,1.22
2019-06-12,0,0,3.27,1.0,1,1,1,0,1,1.21
2019-06-13,0,0,3.18,1.0,2,0,0,0,0,1.24
2019-06-15,0,1,3.09,1.0,2,0,0,0,0,1.26
2019-06-19,0,0,3.0,1.0,0,0,0,0,2,1.22
2019-06-22,0,0,2.92,1.0,0,0,0,2,1,1.24
2019-06-23,0,0,3.08,1.0,2,1,0,1,0,1.29
2019-06-25,0,0,3.0,1.0,0,0,0,0,2,1.26
2019-06-28,0,0,2.93,1.0,0,0,0,0,1,1.23
2019-06-29,0,0,2.85,1.0,0,0,0,1,2,1.22
2019-07-04,0,0,2.79,1.0,0,0,0,1,0,1.21
2019-07-05,1,0,2.72,1.0,1,0,0,0,2,1.21
2019-07-07,0,0,2.66,1.0,3,0,0,1,0,1.27
2019-07-12,0,0,2.8,1.0,1,1,0,1,2,1.29
2019-07-13,0,0,2.93,1.0,2,1,1,2,1,1.35
2019-07-15,0,0,2.87,1.0,0,0,0,0,2,1.32
2019-07-19,1,0,3.19,1.0,2,2,1,0,2,1.33
2019-07-24,0,0,3.12,1.0,1,0,0,0,1,1.33
2019-07-30,0,0,3.6,1.0,3,3,1,1,0,1.38
2019-07-31,0,0,3.96,0.0,2,2,0,0,0,1.42
2019-08-03,1,0,3.88,1.0,0,0,0,0,3,1.39
2019-08-06,0,0,3.83,0.2,0,0,0,2,0,1.41
2019-08-07,0,0,3.78,0.2,2,0,0,0,0,1.43
2019-08-10,0,0,3.74,0.2,1,0,0,1,1,1.45
2019-08-11,0,0,3.67,1.0,3,0,0,0,0,1.48
2019-08-13,0,0,3.6,1.0,0,0,0,0,2,1.45
2019-08-15,0,0,3.54,1.0,2,0,0,0,1,1.46
2019-08-17,0,0,3.63,1.0,1,1,1,1,2,1.47
2019-08-20,0,0,3.57,1.0,0,0,0,0,2,1.45
2019-08-22,0,0,3.51,1.0,0,0,0,0,2,1.42
2019-08-23,1,0,3.39,2.0,1,0,0,0,2,1.39
2019-08-26,0,0,3.34,1.0,0,0,0,0,1,1.37
2019-08-28,1,0,3.41,1.1,2,1,0,1,2,1.39
2019-08-30,0,0,3.5,1.0,1,1,1,0,3,1.38
2019-09-01,0,0,3.58,1.0,2,1,0,1,2,1.41
2019-09-06,0,0,3.97,0.1,3,3,1,0,1,1.45
2019-09-12,0,0,3.92,1.0,1,0,0,0,2,1.44
2019-09-14,0,0,3.86,1.0,0,0,0,0,2,1.42
2019-09-18,0,0,3.8,1.0,0,0,0,1,2,1.41
2019-09-19,0,0,3.88,1.0,2,1,0,0,1,1.42
2019-09-22,0,0,3.95,1.0,3,1,0,0,2,1.44
2019-09-25,1,0,3.88,1.1,0,0,0,0,4,1.42
2019-09-29,0,0,3.84,0.2,0,0,0,0,2,1.4
2020-07-25,1,0,0.0,2.0,4,0,0,0,0,2.0
2020-07-28,0,0,0.0,1.0,1,0,0,0,1,1.67
2020-07-30,0,0,0.0,1.0,1,0,0,0,1,1.5
2020-08-01,0,0,1.93,0.2,2,1,0,1,1,1.93
2020-08-03,0,0,1.5,1.1,0,0,0,1,1,1.67
2020-08-09,0,0,2.7,0.2,1,1,0,1,0,1.8
2020-08-11,0,0,3.38,1.1,1,1,0,1,1,1.75
2020-08-14,0,0,4.5,2.0,5,2,0,2,2,2.1
2020-08-21,0,0,4.09,1.0,0,0,0,0,2,1.91
2020-08-23,0,0,3.75,1.0,1,0,0,0,0,1.83
2020-08-28,0,0,3.46,1.0,1,0,0,0,0,1.77
2020-08-30,0,0,3.86,1.0,2,1,0,2,1,1.93
2020-09-04,0,0,4.02,1.2,2,1,0,0,1,1.85
2020-09-05,0,0,3.94,0.1,0,0,0,0,0,1.81
2020-09-08,0,0,4.24,1.0,3,1,0,1,0,1.94
2020-09-14,0,0,6.05,2.1,6,5,1,2,1,2.12
2020-09-18,0,0,5.48,2.0,1,0,0,1,3,2.02
2020-09-23,1,0,5.33,4.0,3,2,0,0,5,1.82
2020-09-27,0,0,6.84,1.0,5,5,1,1,0,1.97
2021-04-03,0,0,0.0,0.1,0,0,0,1,1,3.0
2021-04-07,1,0,0.0,1.0,0,0,0,2,0,2.25
2021-04-09,0,0,0.0,1.0,1,0,0,0,1,1.71
2021-04-12,0,0,0.0,1.0,1,0,0,0,0,1.5
2021-04-14,0,0,0.0,1.0,1,0,0,2,1,1.85
2021-04-17,0,0,0.0,1.0,1,0,0,0,0,1.69
2021-04-18,0,0,0.0,1.0,1,0,0,1,3,1.74
2021-04-23,0,0,1.29,0.2,2,1,0,1,0,2.0
2021-04-28,0,0,1.04,1.2,0,0,0,0,1,1.62
2021-04-30,0,0,1.0,0.1,0,0,0,0,0,1.56
2021-05-01,0,0,1.8,1.0,1,1,1,1,1,1.6
2021-05-06,0,0,1.64,1.0,1,0,0,0,0,1.55
2021-05-08,0,0,1.5,1.0,0,0,0,0,1,1.42
2021-05-09,0,0,1.38,1.0,1,0,0,0,2,1.38
2021-05-12,0,1,1.93,1.0,1,1,1,0,1,1.36
