W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-06-30,1,0,3.0,6.0,6,2,2,1,5,1.17
2018-07-05,0,0,5.73,5.0,5,5,1,2,3,1.27
2018-07-10,0,1,6.35,6.0,6,5,0,3,6,1.35
2018-07-21,1,0,5.09,6.0,2,1,1,1,6,1.13
2018-07-27,0,1,5.34,5.2,9,4,1,2,3,1.29
2018-08-02,0,0,4.67,6.0,5,1,1,0,5,1.21
2018-08-07,0,0,4.32,7.0,4,2,1,1,5,1.13
2018-08-13,0,1,4.79,5.1,6,5,1,2,5,1.17
2018-08-21,0,0,4.42,6.0,7,1,0,1,4,1.19
2018-08-26,0,1,4.14,5.2,6,1,0,5,4,1.26
2019-03-30,1,0,5.06,5.1,5,3,0,0,7,0.94
2019-04-05,0,1,6.1,5.0,7,4,2,1,5,1.26
2019-04-11,0,1,6.6,4.2,7,4,0,1,5,1.4
2019-04-16,0,1,5.85,5.0,5,2,0,1,6,1.35
2019-04-23,1,0,4.44,6.1,2,0,0,2,6,1.18
2019-04-28,0,1,4.78,5.2,3,4,0,3,4,1.16
2019-05-05,0,0,4.03,6.0,3,0,0,1,6,1.08
2019-05-10,0,1,5.93,3.0,10,10,3,2,3,1.29
2019-05-18,1,0,5.06,7.0,1,0,0,2,7,1.17
2019-05-24,0,0,5.4,3.2,7,4,2,1,1,1.24
2019-05-29,0,0,4.99,6.0,4,1,1,1,5,1.2
2019-06-04,1,0,4.52,6.0,3,0,0,1,7,1.15
2019-06-09,0,0,4.26,6.0,4,1,0,1,7,1.12
2019-06-15,1,0,4.23,7.0,7,3,0,1,4,1.12
2019-08-26,0,1,4.41,5.0,5,4,1,1,3,1.13
2019-08-31,0,1,4.89,3.0,6,6,3,0,1,1.16
2019-09-06,0,1,4.75,6.1,8,2,0,0,6,1.16
2019-09-11,0,0,4.97,5.0,5,5,2,4,2,1.2
2019-09-16,0,0,4.94,6.0,5,3,1,0,6,1.18
2019-09-22,0,0,4.96,5.0,6,3,0,4,1,1.21
2019-09-27,0,0,5.09,4.1,8,4,0,0,3,1.24
2020-08-04,1,0,0.0,5.0,2,0,0,0,7,0.4
2020-08-09,0,1,1.8,5.0,5,2,0,4,4,1.1
2020-08-14,1,0,2.25,6.0,7,2,1,0,8,1.13
2020-08-19,0,0,2.42,6.1,7,2,0,1,5,1.16
2020-08-24,1,0,1.98,5.0,6,0,0,2,3,1.24
2020-08-29,0,1,2.1,7.0,6,2,0,0,5,1.17
2020-09-04,0,1,3.05,4.0,5,5,1,2,6,1.23
2020-09-09,0,1,4.5,1.2,4,7,1,4,2,1.38
2020-09-14,1,0,4.02,7.0,3,1,1,0,6,1.23
2020-09-19,1,0,3.96,5.1,3,2,0,3,7,1.22
2020-09-24,1,0,3.61,5.0,2,0,0,2,6,1.19
2021-04-02,0,0,0.0,5.0,2,0,0,2,4,0.8
2021-04-07,0,1,1.54,6.2,3,2,1,2,6,0.77
2021-04-13,0,0,4.6,4.0,9,6,2,1,6,1.21
2021-04-18,0,1,3.32,6.0,6,0,0,2,9,1.25
2021-04-24,0,0,2.93,6.0,2,1,0,1,7,1.08
2021-04-30,0,0,2.34,7.0,6,0,0,2,2,1.1
2021-05-06,0,0,2.04,5.0,3,0,0,2,6,1.08
2021-05-11,0,1,3.07,4.1,7,6,1,3,3,1.2
2021-05-16,1,0,3.12,5.0,7,2,0,1,3,1.24
2021-05-22,0,0,2.73,7.0,4,0,0,1,8,1.18
2021-05-27,0,0,2.71,7.0,4,2,1,1,5,1.13
2021-06-02,0,0,2.82,4.0,5,2,2,1,9,1.15
2021-06-08,1,0,2.76,8.0,5,2,0,0,8,1.09
2021-06-13,0,1,3.12,3.0,6,4,1,2,2,1.15
2021-06-19,1,0,2.86,7.0,1,0,0,0,7,1.07
2021-06-25,1,0,2.87,6.0,6,2,1,1,9,1.08
2021-07-02,0,1,2.97,0.0,0,1,0,0,0,1.08
2021-07-06,0,0,2.94,4.0,4,1,0,1,8,1.08
2021-07-11,1,0,3.03,6.0,5,3,1,2,9,1.09
2021-10-03,0,0,3.07,1.2,4,1,1,1,4,1.12
