W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020-09-22,0,0,6.75,1,0,4.0,7,3,3,1,0,4,1.75
2020-09-27,0,0,4.5,0,0,2.0,1,0,0,0,2,3,1.67
2021-04-18,0,1,4.15,1,0,4.1,5,2,2,2,1,3,1.38
2021-04-24,0,0,3.38,0,0,1.0,0,0,0,0,0,0,1.13
2021-04-27,0,0,2.84,0,0,1.0,0,0,0,0,0,1,0.95
2021-05-04,0,0,2.45,0,0,1.0,0,0,0,0,0,0,0.82
2021-05-05,0,0,1.93,0,0,2.0,0,0,0,0,0,1,0.64
2021-05-11,0,0,1.64,0,0,1.2,0,0,0,0,0,1,0.55
2021-05-14,0,0,2.08,0,0,2.0,2,1,1,0,0,1,0.62
2021-05-17,0,0,2.57,0,0,1.0,2,1,1,0,0,1,0.71
2021-05-29,0,0,2.4,0,0,1.0,1,0,0,0,1,1,0.8
2021-06-01,0,0,2.25,0,0,1.0,0,0,0,0,0,1,0.75
2021-06-03,0,0,2.12,0,0,1.0,0,0,0,0,0,2,0.71
2021-06-06,0,0,2.95,0,0,1.1,2,2,2,1,1,0,0.82
2021-06-08,0,0,2.79,0,0,1.0,1,0,0,0,0,2,0.83
2021-06-11,0,1,2.78,0,0,3.1,3,1,1,1,0,5,0.84
2021-06-16,1,0,2.28,1,0,5.0,3,0,0,0,0,2,0.8
2021-06-23,0,0,2.2,0,1,1.0,0,0,0,0,0,0,0.77
2021-06-25,0,0,2.35,0,0,2.0,3,2,1,0,1,2,0.85
2021-06-28,1,0,2.02,1,0,5.0,5,0,0,0,0,3,0.87
2021-07-03,0,0,2.48,1,0,4.1,3,3,3,0,3,2,0.93
2021-07-09,0,0,2.89,1,0,3.2,6,3,3,1,1,1,1.01
2021-07-16,0,0,3.33,0,0,2.1,4,3,3,1,1,2,1.07
2021-07-20,0,0,3.0,1,0,5.0,4,0,0,0,0,3,1.04
2021-07-25,0,0,3.21,1,0,5.0,5,3,3,3,1,6,1.05
2021-07-30,1,0,3.08,1,0,5.1,4,1,1,0,1,6,1.04
2021-08-04,0,1,3.66,1,0,5.0,8,6,6,1,1,3,1.1
2021-08-10,0,0,3.74,1,0,1.0,2,1,1,0,0,0,1.11
2021-08-15,0,1,4.16,1,0,4.0,8,5,5,3,2,3,1.19
2021-08-21,0,0,4.28,1,0,4.1,5,3,3,1,1,6,1.2
2021-08-27,1,0,4.13,1,0,5.0,3,1,1,1,0,7,1.17
2021-09-02,0,0,4.08,1,0,5.1,4,2,2,0,1,5,1.15
2021-09-07,0,0,4.35,1,0,5.0,7,5,5,1,2,7,1.19
2021-09-13,0,1,4.18,1,0,6.0,6,1,1,0,3,6,1.21
2021-09-19,1,0,3.94,1,0,5.2,3,0,0,0,3,7,1.2
2021-09-24,0,0,4.01,1,0,5.0,5,3,3,2,0,2,1.19
2021-09-29,0,0,4.27,1,0,2.0,4,4,4,1,1,0,1.21
