W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-08-08,0,1,6.75,1,0,4.0,3,3,3,0,5,4,2.0
2018-08-15,0,0,7.94,1,0,1.2,2,2,2,0,4,2,2.47
2018-08-22,0,1,7.59,1,0,5.0,9,4,4,1,3,4,2.44
2018-08-26,0,0,9.26,0,0,1.0,3,3,3,1,0,1,2.49
2019-03-31,0,0,4.5,0,0,2.0,2,2,1,0,0,3,1.0
2019-04-02,0,0,2.25,0,0,2.0,1,0,0,0,1,2,1.0
2019-04-07,0,0,1.69,0,0,1.1,0,0,0,0,0,2,0.75
2019-04-11,1,0,1.42,0,0,1.0,0,0,0,0,0,1,0.63
2019-04-14,0,0,1.23,0,0,1.0,0,0,0,0,0,2,0.55
2019-04-15,0,0,0.96,0,0,2.0,0,0,0,0,0,2,0.43
2019-04-18,0,0,0.84,0,0,1.1,2,0,0,0,0,3,0.56
2019-04-20,0,0,1.59,0,0,0.2,1,1,1,0,1,1,0.71
2019-04-23,1,0,1.5,0,0,0.2,0,0,0,0,0,2,0.67
2019-04-24,0,0,2.08,0,0,1.0,1,1,1,0,2,0,0.85
2019-04-28,0,0,1.93,0,0,1.0,1,0,0,0,0,0,0.86
2019-04-30,0,0,2.45,0,0,0.2,1,1,1,0,0,2,0.89
2019-05-02,0,0,2.3,0,0,1.0,0,0,0,0,0,1,0.83
2019-05-07,0,0,2.6,0,0,1.2,2,1,1,1,0,2,0.87
2019-05-08,0,1,3.12,0,0,0.0,1,1,1,1,0,0,0.92
2019-05-11,0,0,2.95,0,0,1.0,0,0,0,0,0,0,0.87
2019-05-15,0,0,2.79,0,0,1.0,0,0,0,0,1,2,0.88
2019-05-19,0,0,3.98,0,0,1.0,1,3,3,0,3,3,1.03
2019-05-22,0,0,3.63,0,0,2.0,0,0,0,0,0,3,0.94
2019-05-26,0,0,3.47,0,0,1.0,0,0,0,0,1,2,0.94
2019-05-28,0,0,3.96,0,0,1.2,2,2,2,0,1,2,1.0
2019-06-16,0,0,3.67,0,0,2.0,1,0,0,0,1,2,1.0
2019-06-22,0,0,3.54,0,0,1.0,0,0,0,0,0,1,0.96
2019-06-23,0,0,3.41,0,0,1.0,2,0,0,0,0,1,1.0
2019-06-29,0,0,3.3,0,0,1.0,2,1,0,0,1,1,1.07
2019-07-01,0,0,3.77,0,0,1.0,2,2,2,1,2,1,1.16
2019-07-07,0,0,3.9,0,0,1.1,1,1,1,0,0,3,1.14
2019-07-13,0,0,3.78,0,0,1.0,1,0,0,0,0,1,1.14
2019-07-14,0,0,3.57,0,0,2.0,0,0,0,0,0,4,1.08
2019-07-16,0,0,3.5,0,0,0.2,1,0,0,0,0,0,1.08
2019-07-18,0,1,4.66,0,0,0.2,4,5,5,1,1,0,1.2
2019-07-19,0,0,5.02,0,0,1.0,1,2,2,1,1,2,1.22
2019-07-23,0,0,5.35,0,0,1.0,1,3,2,1,1,2,1.24
2019-07-26,0,0,4.97,0,0,3.0,0,0,0,0,2,3,1.2
2019-07-29,0,0,4.85,0,0,1.0,1,0,0,0,0,2,1.2
2019-07-30,0,0,4.84,0,0,2.0,2,1,1,1,0,1,1.19
2019-08-03,0,0,4.8,0,0,0.1,1,0,0,0,0,1,1.2
2019-08-04,1,0,4.73,0,0,0.2,0,0,0,0,1,1,1.2
2019-08-06,0,0,4.7,0,0,0.1,0,0,0,0,1,1,1.22
2019-08-11,0,0,4.6,0,0,1.0,0,0,0,0,0,2,1.19
2019-08-13,0,0,4.5,0,0,1.0,0,0,0,0,0,1,1.17
2019-08-15,0,0,4.41,0,0,1.0,0,0,0,0,0,2,1.14
2019-08-20,0,0,4.32,0,0,1.0,0,0,0,0,0,0,1.12
2019-08-23,0,0,4.24,0,0,1.0,0,0,0,0,0,1,1.1
2019-08-25,0,0,4.15,0,0,1.0,1,0,0,0,1,2,1.12
2019-08-27,0,0,4.08,0,0,1.0,1,0,0,0,0,1,1.11
2019-08-29,0,0,4.0,0,0,1.0,0,0,0,0,0,0,1.09
2019-09-01,0,0,3.95,0,0,0.2,1,0,0,0,0,0,1.1
2019-09-04,0,0,3.88,0,0,1.0,0,0,0,0,0,0,1.08
2019-09-05,0,0,3.97,0,0,1.0,1,1,1,1,0,2,1.08
