W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2020-08-09,0,1,7.71,4.2,7,4,2,1,4,1.71
2020-08-14,0,0,7.88,3.1,7,3,2,2,2,2.13
2020-08-20,0,0,6.17,3.2,5,1,0,2,5,2.06
2020-08-31,1,0,5.4,5.0,5,2,1,2,4,1.86
2020-09-05,0,1,5.66,4.0,4,3,0,1,3,1.74
2020-09-12,0,0,5.92,3.2,2,3,1,2,5,1.64
2021-04-13,0,0,9.0,1.0,2,1,0,1,1,3.0
2021-04-21,0,0,3.86,1.1,0,0,0,0,3,1.29
2021-04-25,0,0,8.31,2.0,4,3,0,1,4,1.85
2021-05-22,0,1,7.36,3.0,1,2,0,4,5,1.77
2021-05-27,0,0,5.56,4.0,2,1,0,3,4,1.59
2021-06-05,0,0,4.61,2.1,1,0,0,2,2,1.54
2021-06-14,0,1,5.09,4.0,2,3,2,1,4,1.36
2021-06-20,0,0,5.59,1.2,2,2,0,3,3,1.5
2021-06-28,0,0,5.82,2.1,4,2,0,1,1,1.57
2021-07-21,0,0,5.11,3.0,1,0,0,1,2,1.46
2021-07-26,0,0,5.72,3.2,6,4,0,0,2,1.48
2021-08-05,0,1,6.16,2.1,3,3,1,2,3,1.53
2021-08-11,0,0,5.61,3.0,2,0,0,0,3,1.46
2021-08-19,0,0,6.56,2.0,5,5,1,1,3,1.54
2021-09-07,0,0,6.21,2.0,0,0,0,0,1,1.46
2021-09-13,0,1,7.38,1.1,6,6,0,1,2,1.59
2021-09-18,0,0,6.86,3.0,1,0,0,3,3,1.57
2021-09-24,0,0,7.04,4.0,6,4,1,0,4,1.57
2021-10-01,0,1,7.43,3.2,5,5,2,3,2,1.61
