W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
2018-03-29,0,0,0.0,1.0,0,0,0,1,3,1.0
2018-03-30,1,0,0.0,1.0,0,0,0,0,2,0.5
2018-04-04,0,0,0.0,1.0,0,0,0,0,1,0.33
2018-04-07,0,0,0.0,1.2,2,0,0,1,1,0.86
2018-04-10,0,0,0.0,1.0,0,0,0,0,1,0.71
2018-04-14,0,0,0.0,1.0,2,0,0,0,2,0.9
2018-04-17,0,1,1.17,1.0,1,1,0,1,1,1.04
2018-04-18,0,0,1.04,1.0,1,0,0,0,0,1.04
2018-04-22,0,0,0.93,1.0,0,0,0,0,2,0.93
2018-04-23,0,0,0.84,1.0,1,0,0,0,1,0.94
2018-04-27,0,0,0.77,1.0,2,0,0,0,0,1.03
2018-04-29,0,0,0.71,1.0,1,0,0,0,0,1.03
2018-05-01,0,0,0.66,1.0,0,0,0,0,1,0.95
2018-05-04,0,0,0.61,1.0,1,0,0,0,2,0.95
2018-05-06,0,0,0.57,1.0,0,0,0,0,0,0.89
2018-05-11,0,0,2.25,0.1,2,3,1,1,0,1.06
2018-05-12,0,1,2.65,1.0,2,1,0,1,2,1.18
2018-05-15,0,0,2.5,1.0,1,0,0,0,2,1.17
2018-05-17,0,0,2.37,1.0,2,0,0,0,1,1.21
2018-05-19,0,0,2.25,1.0,0,0,0,0,0,1.15
2018-05-20,0,0,2.14,1.0,2,0,0,0,2,1.19
2018-05-26,0,0,2.45,1.0,2,1,0,0,0,1.23
2018-05-28,0,0,2.63,2.0,3,1,0,0,1,1.25
2018-05-30,0,0,2.52,1.0,0,0,0,0,2,1.2
2018-06-01,0,0,2.42,1.0,0,0,0,0,2,1.15
2018-06-02,0,0,2.33,1.0,0,0,0,0,0,1.11
2018-06-06,0,0,2.25,1.0,0,0,0,0,2,1.07
2018-06-08,0,0,2.17,1.0,1,0,0,0,2,1.07
2018-06-10,0,0,2.1,1.0,0,0,0,0,1,1.03
2018-06-13,0,0,2.03,1.0,0,0,0,1,3,1.03
2018-06-14,0,0,1.95,1.1,0,0,0,0,1,0.99
2018-06-17,0,0,1.91,0.2,0,0,0,0,1,0.97
2018-06-18,0,0,1.87,0.2,0,0,0,0,1,0.95
2018-06-20,0,0,1.82,1.0,2,0,0,0,0,0.98
2018-06-23,0,0,1.75,1.1,0,0,0,1,0,0.97
2018-06-26,1,0,1.73,0.1,0,0,0,0,0,0.96
2018-06-29,0,0,1.69,1.0,0,0,0,0,0,0.94
2018-07-01,0,0,1.64,1.0,0,0,0,0,1,0.91
2018-07-04,0,0,1.6,1.0,2,0,0,1,0,0.97
2018-07-06,0,0,1.56,1.0,0,0,0,0,0,0.94
2018-07-08,0,0,1.54,0.2,0,0,0,0,1,0.93
2018-07-09,0,0,1.5,1.0,0,0,0,0,0,0.9
2018-07-11,0,0,1.67,1.0,2,1,1,0,2,0.93
2018-07-14,0,1,2.08,0.1,3,2,1,1,1,1.02
2018-07-20,0,0,2.03,1.0,0,0,0,0,1,0.99
2018-07-21,0,0,2.03,0.0,2,0,0,0,0,1.04
2018-07-24,1,0,1.99,1.0,0,0,0,0,0,1.01
2018-07-25,0,1,2.17,0.1,0,1,0,1,0,1.03
2018-07-29,0,0,2.12,1.0,0,0,0,0,1,1.01
2018-07-30,0,0,2.11,0.1,0,0,0,0,0,1.0
2018-07-31,1,0,2.06,1.0,0,0,0,0,1,0.98
2018-08-05,0,0,2.03,0.2,1,0,0,1,1,1.01
2018-08-07,0,0,1.99,1.0,1,0,0,0,1,1.01
2018-08-10,0,0,2.31,1.0,3,2,0,0,1,1.05
2018-08-12,0,0,2.28,0.2,1,0,0,0,1,1.05
2018-08-14,0,0,2.24,1.0,0,0,0,0,1,1.03
2018-08-17,0,0,2.19,1.0,0,0,0,0,0,1.01
2018-08-20,0,0,2.15,1.0,2,0,0,0,0,1.03
2018-08-21,0,1,2.77,1.0,3,4,1,1,1,1.08
2018-08-26,0,0,2.73,0.2,0,0,0,0,1,1.07
2018-08-27,0,0,2.7,0.2,0,0,0,1,1,1.08
2018-08-31,0,0,2.65,1.0,1,0,0,0,1,1.08
2018-09-03,0,1,2.91,1.0,3,2,0,0,1,1.11
2018-09-07,0,0,2.88,0.2,1,0,0,1,2,1.13
2018-09-10,0,0,2.83,1.0,0,0,0,0,1,1.11
2018-09-12,0,0,2.79,1.0,0,0,0,0,1,1.09
2018-09-15,0,0,2.74,1.0,0,0,0,0,3,1.07
2018-09-17,0,0,2.73,0.1,0,0,0,0,0,1.07
2018-09-21,0,0,2.71,0.1,1,0,0,0,1,1.08
2018-09-22,0,0,2.67,1.0,0,0,0,0,2,1.06
2018-09-25,0,0,2.63,1.0,0,0,0,0,2,1.05
2018-09-29,0,0,2.59,1.0,0,0,0,0,2,1.03
2019-03-30,0,0,0.0,1.0,2,0,0,0,0,2.0
2019-04-01,0,0,0.0,1.0,1,0,0,0,0,1.5
2019-04-03,0,0,3.38,0.2,2,1,0,0,0,1.88
2019-04-06,0,0,2.45,1.0,0,0,0,0,0,1.36
2019-04-11,0,0,1.93,1.0,0,0,0,0,1,1.07
2019-04-12,0,0,1.59,1.0,2,0,0,1,1,1.41
2019-04-16,0,0,1.5,0.1,0,0,0,0,0,1.33
