W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018-05-02,1,0,1.5,1,0,6.0,3,1,1,0,3,4,1.0
2018-05-08,0,0,1.42,1,0,0.1,1,0,0,0,1,0,1.26
2018-07-12,0,1,2.38,1,0,5.0,4,2,2,0,5,5,1.5
2018-07-20,0,0,1.56,1,0,6.0,4,1,0,0,2,2,1.33
2018-07-26,0,0,2.01,1,0,5.0,6,2,2,0,2,1,1.39
2018-07-31,1,0,1.53,1,0,7.0,2,0,0,0,2,5,1.19
2018-08-05,0,0,2.1,1,0,5.0,5,3,3,1,3,5,1.25
2018-08-11,0,0,2.23,1,0,6.0,6,2,2,1,1,0,1.24
2018-08-18,0,1,2.18,1,0,5.0,4,4,1,1,1,7,1.21
2018-08-24,0,0,2.32,1,0,5.0,10,2,2,0,1,4,1.31
2018-08-30,0,0,2.18,1,0,7.1,5,1,1,0,1,6,1.25
2018-09-04,1,0,2.12,1,0,6.0,3,1,1,0,0,5,1.18
2018-09-10,1,0,2.23,1,0,5.0,4,2,2,0,3,1,1.19
2018-09-17,1,0,2.08,1,0,5.0,5,0,0,0,0,2,1.18
2018-09-23,0,0,2.32,1,0,4.0,4,4,3,0,1,1,1.18
2018-09-29,0,0,2.57,1,0,3.0,5,3,3,0,1,2,1.21
2019-03-31,0,1,4.5,1,0,6.0,8,3,3,1,0,4,1.33
2019-04-06,1,0,2.31,1,0,5.2,4,0,0,0,2,4,1.2
2019-04-12,0,0,3.45,1,0,4.0,6,3,3,0,1,2,1.34
2019-04-17,0,1,3.32,1,0,6.0,4,2,2,1,1,1,1.2
2019-04-23,0,0,3.58,1,0,6.0,3,3,3,1,1,7,1.08
2019-04-28,0,0,3.24,1,0,5.2,6,1,1,1,2,3,1.14
2019-05-04,1,0,3.2,1,0,6.0,6,2,2,1,2,2,1.17
2019-05-09,1,0,3.18,1,0,6.0,2,2,2,1,2,7,1.1
2019-05-14,1,0,3.51,1,0,6.0,7,4,4,1,2,5,1.15
2019-05-19,0,0,3.51,1,0,5.0,7,3,2,1,0,2,1.17
2019-05-24,1,0,3.32,1,0,6.0,4,1,1,1,2,8,1.16
2019-05-29,0,1,3.25,1,0,7.0,6,2,2,2,1,9,1.14
2019-06-04,0,0,3.39,1,0,5.0,3,3,3,1,3,6,1.14
2019-06-09,1,0,3.14,1,0,6.0,6,0,0,0,2,5,1.16
2019-06-17,0,1,3.3,1,0,4.1,4,3,3,0,4,6,1.19
2019-06-22,0,0,3.51,1,0,5.0,2,4,4,1,4,7,1.19
2019-06-28,0,0,3.39,1,0,6.0,3,1,1,1,2,2,1.17
2019-07-03,1,0,3.28,1,0,6.0,5,1,1,0,2,6,1.17
2019-07-13,0,0,3.32,1,0,6.2,4,5,3,3,1,5,1.14
2019-07-18,1,0,3.25,1,0,5.1,3,2,1,0,2,3,1.13
2019-07-23,0,0,3.18,1,0,8.0,4,2,2,0,2,6,1.11
