,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,March,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2019-03-31,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,2019-04-01,4,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
4,2019-04-03,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,2019-04-05,3,3,1,1,1,0,0,0,0,0,.143,.143,.286,.429
6,2019-04-07,4,4,1,1,0,0,1,1,0,1,.182,.182,.545,.727
7,2019-04-08,3,3,0,0,0,0,0,0,0,1,.143,.143,.429,.571
8,2019-04-09,1,1,0,0,0,0,0,0,0,1,.133,.133,.400,.533
9,2019-04-12,3,2,1,1,1,0,0,0,1,1,.176,.222,.471,.693
10,2019-04-13,3,3,0,0,0,0,0,0,0,1,.150,.190,.400,.590
11,2019-04-14,1,1,0,0,0,0,0,0,0,1,.143,.182,.381,.563
12,2019-04-15,0,0,0,0,0,0,0,0,0,0,.143,.182,.381,.563
13,2019-04-16,0,0,0,0,0,0,0,0,0,0,.143,.182,.381,.563
14,2019-04-17,5,4,0,0,0,0,0,0,1,2,.120,.185,.320,.505
15,2019-04-19,4,4,0,1,0,0,0,0,0,3,.138,.194,.310,.504
16,2019-04-22,1,1,0,1,0,0,0,2,0,0,.167,.219,.333,.552
17,2019-04-23,3,3,0,0,0,0,0,0,0,2,.152,.200,.303,.503
18,2019-04-24,2,2,0,0,0,0,0,0,0,1,.143,.189,.286,.475
19,2019-04-26,2,2,0,0,0,0,0,0,0,1,.135,.179,.270,.450
20,2019-04-28,1,1,0,1,0,0,0,0,0,0,.158,.200,.289,.490
21,2019-04-29,4,3,1,1,0,0,0,0,1,0,.171,.227,.293,.520
22,April,45,41,4,7,2,0,1,3,3,17,.171,.227,.293,.520
23,2019-05-01,1,1,0,1,0,0,0,0,0,0,.190,.244,.310,.554
24,2019-05-01,4,4,2,3,0,1,0,1,0,0,.239,.286,.391,.677
25,2019-05-02,3,3,0,0,0,0,0,0,0,0,.224,.269,.367,.637
26,2019-05-03,4,2,1,0,0,0,0,0,1,2,.216,.286,.353,.639
27,2019-05-04,1,1,0,0,0,0,0,0,0,1,.212,.281,.346,.627
28,May,13,11,3,4,0,1,0,1,1,3,.364,.462,.545,1.007
29,2019-07-19,5,5,2,2,0,1,0,1,0,3,.228,.290,.386,.676
30,2019-07-20,4,3,0,2,0,0,0,0,1,0,.250,.318,.400,.718
31,2019-07-21,3,3,0,2,0,0,0,1,0,0,.270,.333,.413,.746
32,2019-07-22,3,3,0,0,0,0,0,0,0,2,.258,.319,.394,.713
33,2019-07-23,3,2,1,0,0,0,0,0,1,1,.250,.320,.382,.702
34,2019-07-24,3,2,0,0,0,0,0,0,0,0,.243,.321,.371,.692
35,2019-07-25,4,4,0,2,0,0,0,0,0,1,.257,.329,.378,.708
36,2019-07-26,3,3,1,1,0,0,1,2,0,0,.260,.329,.416,.745
37,2019-07-27,4,4,0,1,0,0,0,2,0,1,.259,.326,.407,.733
38,2019-07-28,3,3,0,0,0,0,0,0,0,1,.250,.315,.393,.708
39,2019-07-30,4,4,0,1,0,0,0,0,0,2,.250,.313,.386,.699
40,July,39,36,4,11,0,1,1,6,2,11,.306,.359,.444,.803
41,2019-08-01,3,3,0,0,0,0,0,0,0,1,.242,.303,.374,.677
42,2019-08-02,3,3,0,0,0,0,0,0,0,3,.234,.294,.362,.656
43,2019-08-03,1,1,0,0,0,0,0,0,0,1,.232,.291,.358,.649
44,2019-08-04,2,2,0,0,0,0,0,0,0,0,.227,.286,.351,.636
45,2019-08-05,0,0,0,0,0,0,0,0,0,0,.227,.286,.351,.636
46,2019-08-06,4,4,0,1,1,0,0,1,0,2,.228,.284,.356,.641
47,2019-08-06,4,3,0,1,1,0,0,2,0,0,.231,.292,.365,.657
48,2019-08-10,0,0,0,0,0,0,0,0,0,0,.231,.292,.365,.657
49,2019-08-11,3,3,0,0,0,0,0,0,0,1,.224,.284,.355,.640
50,2019-08-13,3,2,1,0,0,0,0,0,0,2,.220,.286,.349,.634
51,2019-08-13,4,4,1,1,0,0,0,1,0,0,.221,.285,.345,.630
52,2019-08-14,4,4,1,1,0,0,0,0,0,2,.222,.283,.342,.625
53,2019-08-15,2,2,0,0,0,0,0,0,0,1,.218,.279,.336,.615
54,2019-08-16,0,0,0,0,0,0,0,0,0,0,.218,.279,.336,.615
55,2019-08-17,3,2,0,0,0,0,0,0,1,0,.215,.280,.331,.611
56,2019-08-19,0,0,0,0,0,0,0,0,0,0,.215,.280,.331,.611
57,2019-08-20,1,1,0,0,0,0,0,0,0,0,.213,.278,.328,.606
58,2019-08-21,4,2,0,0,0,0,0,0,1,1,.210,.285,.323,.607
59,2019-08-22,3,3,1,1,1,0,0,0,0,0,.213,.286,.331,.616
60,2019-08-23,4,4,0,1,1,0,0,2,0,2,.214,.285,.336,.621
61,2019-08-24,3,3,0,1,0,0,0,0,0,1,.216,.286,.336,.622
62,2019-08-25,4,4,1,2,1,0,0,0,0,1,.225,.291,.348,.639
63,2019-08-27,2,1,0,0,0,0,0,0,0,0,.223,.294,.345,.639
64,2019-08-29,4,4,0,1,0,0,0,0,0,1,.224,.293,.343,.636
65,2019-08-30,4,4,0,1,0,0,0,1,0,1,.224,.292,.340,.632
66,2019-08-31,4,4,0,2,0,0,0,0,0,0,.232,.297,.344,.641
67,August,69,63,5,13,5,0,0,7,2,20,.206,.275,.286,.561
68,2019-09-01,4,2,2,1,0,0,0,0,2,0,.235,.308,.346,.654
69,2019-09-02,4,3,0,0,0,0,0,0,1,1,.231,.306,.340,.646
70,2019-09-03,0,0,0,0,0,0,0,0,0,0,.231,.306,.340,.646
71,2019-09-04,0,0,0,0,0,0,0,0,0,0,.231,.306,.340,.646
72,2019-09-05,4,4,0,1,0,0,0,2,0,2,.231,.305,.338,.643
73,2019-09-06,3,1,1,0,0,0,0,0,2,1,.230,.311,.335,.646
