,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-26,5,4,1,1,0,0,0,0,0,1,.250,.400,.250,.650
1,2020-07-29,3,3,0,1,0,0,0,1,0,1,.286,.375,.286,.661
2,2020-07-31,4,2,1,1,0,0,1,1,1,0,.333,.500,.667,1.167
3,July,12,9,2,3,0,0,1,2,1,2,.333,.500,.667,1.167
4,2020-08-04,4,3,0,0,0,0,0,0,1,1,.250,.438,.500,.938
5,2020-08-06,4,3,0,0,0,0,0,0,1,1,.200,.400,.400,.800
6,2020-08-09,4,3,1,1,0,0,0,0,1,2,.222,.417,.389,.806
7,2020-08-10,4,2,1,1,0,0,0,0,2,1,.250,.464,.400,.864
8,2020-08-12,1,1,0,0,0,0,0,0,0,0,.238,.448,.381,.829
9,2020-08-15,3,3,0,0,0,0,0,0,0,2,.208,.406,.333,.740
10,2020-08-16,3,1,2,1,1,0,0,0,2,0,.240,.457,.400,.857
11,2020-08-18,5,4,0,0,0,0,0,0,1,2,.207,.425,.345,.770
12,2020-08-19,1,1,0,0,0,0,0,0,0,1,.200,.415,.333,.748
13,2020-08-22,3,2,0,0,0,0,0,0,1,2,.188,.409,.313,.722
14,2020-08-24,2,2,0,0,0,0,0,0,0,2,.176,.391,.294,.685
15,2020-08-26,3,3,0,0,0,0,0,0,0,2,.162,.367,.270,.638
16,2020-08-29,2,2,0,0,0,0,0,0,0,1,.154,.353,.256,.609
17,2020-08-29,0,0,0,0,0,0,0,0,0,0,.154,.353,.256,.609
18,2020-08-30,2,2,0,1,0,0,0,0,0,1,.171,.358,.268,.627
19,August,41,32,4,4,1,0,0,0,9,18,.125,.317,.156,.473
20,2020-09-01,1,1,0,0,0,0,0,0,0,1,.167,.352,.262,.614
21,2020-09-04,0,0,0,0,0,0,0,0,0,0,.167,.352,.262,.614
22,2020-09-16,4,4,0,1,0,0,0,0,0,0,.174,.345,.261,.606
23,2020-09-19,2,1,0,1,1,0,0,0,1,0,.191,.367,.298,.664
24,2020-09-27,2,2,0,0,0,0,0,0,0,1,.184,.355,.286,.641
25,September,9,8,0,2,1,0,0,0,1,2,.250,.333,.375,.708
