,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-06-02,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2019-06-09,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,June,7,7,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2019-07-14,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,2019-07-17,4,4,0,1,1,0,0,0,0,2,.071,.071,.143,.214
5,2019-07-19,4,4,1,1,1,0,0,1,0,1,.111,.111,.222,.333
6,2019-07-21,4,4,0,1,0,0,0,0,0,2,.136,.136,.227,.364
7,2019-07-22,1,1,1,0,0,0,0,0,0,0,.130,.130,.217,.348
8,2019-07-24,5,3,2,1,0,0,1,2,2,0,.154,.214,.346,.560
9,2019-07-27,4,4,0,1,0,0,0,0,0,0,.167,.219,.333,.552
10,July,25,23,4,5,2,0,1,3,2,6,.217,.280,.435,.715
11,2019-08-04,4,3,0,1,0,0,0,0,1,1,.182,.250,.333,.583
12,2019-08-05,1,1,0,0,0,0,0,0,0,0,.176,.243,.324,.567
13,2019-08-06,4,4,0,1,0,0,0,0,0,1,.184,.244,.316,.560
14,2019-08-11,5,4,1,1,0,0,0,1,0,2,.190,.261,.310,.570
15,August,14,12,1,3,0,0,0,1,1,4,.250,.357,.250,.607
16,2019-09-01,4,4,1,1,0,0,1,2,0,1,.196,.260,.370,.630
17,2019-09-05,2,1,0,1,0,0,0,0,1,0,.213,.288,.383,.671
18,2019-09-07,0,0,1,0,0,0,0,0,0,0,.213,.288,.383,.671
19,2019-09-12,5,5,0,2,0,0,0,1,0,2,.231,.298,.385,.683
20,2019-09-25,1,1,0,0,0,0,0,0,0,0,.226,.293,.377,.670
21,September,12,11,2,4,0,0,1,3,1,3,.364,.417,.636,1.053
