,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-09-02,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2018-09-03,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2018-09-05,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,2018-09-07,2,1,1,1,0,0,0,0,1,0,.500,.667,.500,1.167
4,2018-09-10,0,0,0,0,0,0,0,0,0,0,.500,.667,.500,1.167
5,2018-09-12,3,3,0,1,0,0,0,0,0,1,.400,.500,.400,.900
6,2018-09-19,0,0,0,0,0,0,0,0,0,0,.400,.500,.400,.900
7,2018-09-21,1,1,0,0,0,0,0,0,0,1,.333,.429,.333,.762
8,2018-09-25,0,0,0,0,0,0,0,0,0,0,.333,.429,.333,.762
9,2018-09-26,0,0,1,0,0,0,0,0,0,0,.333,.429,.333,.762
10,2018-09-27,1,1,0,0,0,0,0,0,0,1,.286,.375,.286,.661
11,2018-09-29,3,3,1,1,1,0,0,0,0,0,.300,.364,.400,.764
12,2018-09-30,1,0,0,0,0,0,0,0,0,0,.300,.417,.400,.817
13,September,12,10,3,3,1,0,0,0,1,3,.300,.417,.400,.817
