,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,5,2,1,1,0,0,0,1,3,0,.500,.800,.500,1.300
1,2019-03-30,5,4,1,0,0,0,0,0,1,0,.167,.500,.167,.667
2,March,15,11,3,3,0,0,1,3,4,1,.273,.467,.545,1.012
3,2019-03-31,5,5,1,2,0,0,1,2,0,1,.273,.467,.545,1.012
4,2019-04-01,4,4,0,1,0,0,0,0,0,1,.267,.421,.467,.888
5,2019-04-03,5,3,1,1,0,0,0,0,2,1,.278,.458,.444,.903
6,2019-04-04,4,3,1,1,0,0,1,2,0,0,.286,.464,.571,1.036
7,2019-04-05,5,4,1,1,0,0,0,0,0,1,.280,.455,.520,.974
8,2019-04-06,6,5,1,1,1,0,0,2,1,1,.267,.436,.500,.936
9,2019-04-07,4,4,1,0,0,0,0,0,0,1,.235,.395,.441,.836
10,2019-04-08,4,4,1,1,0,0,0,1,0,3,.237,.383,.421,.804
11,2019-04-10,4,3,0,0,0,0,0,0,1,2,.220,.373,.390,.763
12,2019-04-11,4,4,0,0,0,0,0,0,0,2,.200,.345,.356,.701
13,2019-04-12,4,4,1,1,0,0,1,2,0,0,.204,.339,.408,.747
14,2019-04-13,5,3,2,0,0,0,0,0,2,0,.192,.344,.385,.728
15,2019-04-15,5,3,1,0,0,0,0,0,2,0,.182,.348,.364,.712
16,2019-04-16,4,4,0,0,0,0,0,0,0,1,.169,.329,.339,.668
17,2019-04-17,4,4,0,0,0,0,0,0,0,1,.159,.312,.317,.629
18,2019-04-19,5,2,0,1,0,1,0,1,2,0,.169,.341,.354,.695
19,2019-04-20,4,3,0,1,0,0,0,0,0,0,.176,.349,.353,.702
20,2019-04-21,4,3,1,2,1,0,0,0,0,0,.197,.367,.380,.747
21,2019-04-23,4,4,1,1,0,0,1,2,0,1,.200,.362,.413,.775
22,2019-04-24,4,3,1,1,1,0,0,1,1,0,.205,.367,.423,.790
23,2019-04-25,4,4,0,1,0,0,0,0,0,1,.207,.363,.415,.777
24,2019-04-26,4,4,0,0,0,0,0,0,0,0,.198,.349,.395,.744
25,2019-04-27,5,5,3,3,2,0,1,2,0,1,.220,.360,.462,.822
26,2019-04-28,8,7,0,1,1,0,0,0,0,2,.214,.353,.449,.802
27,2019-04-30,5,3,1,2,0,0,1,2,1,0,.228,.371,.485,.856
28,April,109,90,17,20,6,1,5,15,12,19,.222,.358,.478,.836
29,2019-05-01,4,3,1,1,0,0,1,2,0,0,.231,.367,.510,.877
30,2019-05-03,4,3,1,3,0,0,1,3,1,0,.252,.386,.551,.938
31,2019-05-04,4,4,0,0,0,0,0,0,0,0,.243,.375,.532,.906
32,2019-05-05,5,5,0,1,1,0,0,2,0,0,.241,.369,.526,.895
33,2019-05-06,5,4,1,2,0,0,1,2,1,0,.250,.377,.550,.927
34,2019-05-07,4,3,0,0,0,0,0,0,1,2,.244,.373,.537,.910
35,2019-05-08,4,4,1,2,0,0,0,0,0,0,.252,.377,.535,.912
36,2019-05-09,4,4,1,2,0,0,1,2,0,2,.260,.380,.557,.937
37,2019-05-10,4,3,0,0,0,0,0,0,1,0,.254,.377,.545,.921
38,2019-05-11,7,5,0,1,0,0,0,0,1,0,.252,.379,.532,.911
39,2019-05-17,6,5,1,1,0,0,0,0,0,1,.250,.377,.521,.898
40,2019-05-18,3,3,0,0,0,0,0,0,0,0,.245,.371,.510,.881
41,2019-05-19,5,4,1,1,0,0,1,1,1,1,.245,.372,.523,.895
42,2019-05-20,5,5,0,3,1,0,0,1,0,0,.256,.378,.532,.910
43,2019-05-21,5,4,1,1,1,0,0,0,1,0,.256,.378,.531,.910
44,2019-05-22,4,3,2,1,0,0,1,3,1,0,.258,.381,.546,.927
45,2019-05-23,5,5,3,4,0,0,1,3,0,1,.274,.391,.571,.962
46,2019-05-24,4,4,2,2,0,0,1,1,0,1,.279,.393,.587,.980
47,2019-05-25,5,4,0,1,1,0,0,2,0,0,.278,.393,.585,.979
48,2019-05-26,4,3,0,2,0,0,0,0,0,0,.285,.400,.587,.987
49,2019-05-27,4,3,1,2,0,0,1,2,1,1,.291,.406,.604,1.011
50,2019-05-28,5,4,0,1,0,0,0,0,1,1,.290,.406,.597,1.003
51,2019-05-29,4,4,0,1,0,0,0,0,0,2,.289,.404,.589,.993
52,2019-05-31,4,4,0,1,0,0,0,0,0,0,.289,.401,.582,.983
53,May,108,93,16,33,4,0,9,24,10,12,.355,.435,.688,1.123
54,2019-06-01,4,3,1,2,0,0,1,1,1,1,.294,.407,.599,1.006
55,2019-06-02,4,3,0,0,0,0,0,0,1,0,.290,.404,.590,.994
56,2019-06-03,4,4,0,0,0,0,0,0,0,1,.284,.398,.578,.976
57,2019-06-04,4,4,1,1,0,0,0,0,0,0,.284,.395,.572,.967
58,2019-06-05,4,4,1,1,0,0,0,1,0,1,.283,.393,.566,.959
59,2019-06-06,4,4,0,0,0,0,0,0,0,1,.278,.387,.556,.942
60,2019-06-07,4,2,1,1,0,0,0,0,2,0,.280,.392,.555,.947
